[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
SEC_Run: 	0
ChOutFlow:  	0.5
SlotFlow:   	0
EndTime:    	40
Spacer:     	350
[Injection]
InjectFlow: 	0.2
InjectXFlow:	4
InjectTime:	10
Transtime:  	1
[Elution]
Rowanz:     	3
Row:          	1
Time 0:       	0
Time 1:       	15
Flow 0:       	4
Flow 1:       	4
Typ:          	1
Exp:          	0
Row:          	2
Time 0:       	15
Time 1:       	20
Flow 0:       	4
Flow 1:       	0
Typ:          	2
Exp:          	1
Row:          	3
Time 0:       	20
Time 1:       	40
Flow 0:       	0
Flow 1:       	0
Typ:          	0
Exp:          	0
[Rinsing]
RinseTime:     	5
RinseTipFlow:  	1
RinseFocusFlow:	0
RinseSlotFlow: 	0
RinseValve: 	1
[End Method]
[Rundata]
Runnumber:  	1
User:       	postnova analytics
Viscosity:  	0.0088
RefIndex:   	1.33
Solvent:    	NaCl_15mM
Vial:       	0
InjectVol:  	1000
Conc:       	650
dndc:       	0.165
Extinction: 	0.152
Sample:     	Bromophenol_250mgL_1ml_Carrier_NaCl_15mM_09102014
Description:	Bromophenol_250mgL_1ml_Carrier_NaCl_15mM_09102014
sample volume 1ml
UV1 at 254nm aux range 3
UV2 at 355nm range 0.01
Fluorescence 1 Ex/Em 350/450
sensitivity 1 gain 3 mode 0 range 1
Fluorescence 2 Ex/Em 275/340 
sensitivity 1 gain 3 mode 0 range 1
membran: 300Da rc(regenerated cellulose)
sample volume 1ml
carrier solution NaCl_15mM
Measurement time with cross flow 15 min
Measurement time with decaying cross flow 5 min
Measurement time with no cross flow 20 min










































































[End String]
CycleAnz:   	2
WhenInject: 	0
ProjectDir: 	C:\AF2000 Data\20140910
RunID:      	Bromophenol_250mgL_1ml_Carrier_NaCl_15mM_09102014
[Data]
Startdate: 10/09/2014 15:33:56
Stopdate: 10/09/2014 15:46:31
DetAnz:31
LSDetType:	8
Detector 1
UV_1
Volt
1
1
0.310000
9.33300E-02
635.000000
Detector 2
FLD1
Volt
2
1
0.000000
1.00000E+00
635.000000
Detector 3
FLD2
Volt
3
1
0.000000
1.00000E+00
635.000000
Detector 4
PN 3621 7°
Volt
27
2
0.000000
6.30615E-04
532.000000
Detector 5
PN 3621 12°
Volt
28
2
0.000000
1.12645E-03
532.000000
Detector 6
PN 3621 20°
Volt
29
2
0.000000
7.72195E-04
532.000000
Detector 7
PN 3621 28°
Volt
30
2
0.000000
5.97365E-04
532.000000
Detector 8
PN 3621 36°
Volt
31
2
0.000000
5.24461E-04
532.000000
Detector 9
PN 3621 44°
Volt
32
2
0.000000
4.20173E-04
532.000000
Detector 10
PN 3621 52°
Volt
33
2
0.000000
5.44659E-04
532.000000
Detector 11
PN 3621 60°
Volt
34
2
0.000000
5.24713E-04
532.000000
Detector 12
PN 3621 68°
Volt
35
2
0.000000
5.86385E-04
532.000000
Detector 13
PN 3621 76°
Volt
36
2
0.000000
5.32716E-04
532.000000
Detector 14
PN 3621 84°
Volt
37
2
0.000000
6.02573E-04
532.000000
Detector 15
PN 3621 92°
Volt
38
2
0.000000
6.30615E-04
532.000000
Detector 16
PN 3621 100°
Volt
39
2
0.000000
6.08138E-04
532.000000
Detector 17
PN 3621 108°
Volt
40
2
0.000000
5.87052E-04
532.000000
Detector 18
PN 3621 116°
Volt
41
2
0.000000
5.56162E-04
532.000000
Detector 19
PN 3621 124°
Volt
42
2
0.000000
4.84035E-04
532.000000
Detector 20
PN 3621 132°
Volt
43
2
0.000000
5.57881E-04
532.000000
Detector 21
PN 3621 140°
Volt
44
2
0.000000
4.19575E-04
532.000000
Detector 22
PN 3621 148°
Volt
45
2
0.000000
6.08388E-04
532.000000
Detector 23
PN 3621 156°
Volt
46
2
0.000000
5.03688E-04
532.000000
Detector 24
PN 3621 164°
Volt
47
2
0.000000
6.34944E-04
532.000000
Detector 25
FLD1_2
Volt
48
1
0.000000
1.00000E+00
635.000000
Detector 26
UV_2
Volt
49
1
0.000000
1.00000E+00
635.000000
Detector 27
RI
Volt
50
0
0.000000
1.00000E+00
635.000000
Detector 28
PN 3621 Aux 4
Volt
51
1
0.000000
1.00000E+00
635.000000
Detector 29
Pressure
bar
4
4
0.000000
1.00000E+00
635.000000
Detector 30
Temperature
°C
52
4
0.000000
1.00000E+00
635.000000
Detector 31
Laser Power
%
53
4
0.000000
1.00000E+00
635.000000
LastEval:   	
DataAnz:	3312
0.001817	0.101500	0.015500	0.220167	4.346354	0.264059	0.213827	0.229333	0.203965	0.219237	0.204403	0.211728	0.195331	0.211772	0.209782	0.209065	0.202873	0.202282	0.195888	0.205538	0.205429	0.199736	0.231982	0.323626	0.373783	0.083968	0.184074	-0.004282	2.059685	4.010000	35.000000	97.743904
0.005325	0.101500	0.015333	0.221833	4.346354	0.264047	0.213826	0.229335	0.203965	0.219237	0.204403	0.211727	0.195331	0.211771	0.209782	0.209064	0.202874	0.202283	0.195888	0.205539	0.205429	0.199733	0.231982	0.323625	0.373791	0.083969	0.184075	-0.004297	2.059685	3.818000	35.000000	97.723579
