Wavelength	220	225	230	235	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
240	12169.7833086897	12598.4717811736	9267.34153300661	9125.14651419122	16782.9581369124	6468.69026201367	1292.29546218841	770.834412689609	762.783135159896	541.847935094156	418.608590832092	402.921231771879	344.342922867571	275.531614119209	215.63562728071	199.818336597029	192.795304957985	180.535103505373	151.939221052035	163.526301953649	115.255273582954	137.663347295927	113.901610085803	111.361173111199	113.278991808309	102.175392670111	115.298012435372	104.529864075963	98.8806387733718	87.6152981151378	78.955988108553	69.6398642254568	79.4105897858121	77.6518710495156	78.497617008588	53.11612971529	68.206988565451	56.2423433823351	56.5696579909406	50.1607322731874	66.4537154711946	63.2383432867718	54.5912203104092	47.4044697775373	52.3810287039673	43.0352206617005	44.532018487327	38.5540217521114	37.8797110491939	45.4244317237737	52.319673673797	47.6835697371689	63.1206770058593
242	13592.0521875561	16264.5196298698	10475.5042736738	6536.34140244777	17059.5393626029	15364.9418998806	2234.28149258599	769.163855930341	626.222637101443	501.499854501067	419.40079797594	380.449499903688	315.820591212309	294.539242403459	245.512909988065	217.848608637828	227.085392690186	188.646423626696	160.541056400463	159.787492538063	132.647314832058	137.884032798392	125.975029919276	116.235422798056	118.045202458349	102.167617615782	89.6991074979587	96.2150628939794	96.4884573634416	77.6645717519684	96.7836596823745	77.510680292094	68.7715154922584	79.7546894503648	66.7317202015645	67.5869944975553	61.9598159310757	58.1445196561948	57.1419383752826	74.6494099948819	51.5065629452681	66.9597984485609	49.5423895408534	42.9434421880644	49.8657882818981	48.5741132106301	37.0791404207537	52.0222807132977	44.8971883255357	43.9813821354638	32.2498029738686	38.709496540173	56.5492767650469
244	13998.8300311895	10652.3928230399	7743.79395464746	4608.10128316901	12331.8754042562	25377.7499108583	7438.10994901808	1029.12942179633	657.179258548838	524.341355076113	548.573499174086	327.671301219875	272.623485317915	286.091482417224	220.293450044674	211.597252108946	208.886213240331	177.057182227252	159.14164231082	151.576171231068	130.091210477125	135.393988620713	119.430417231214	113.354415455034	125.875764611604	97.577929449156	81.1577476126875	80.0209355069064	98.0552081548712	91.5508001661604	89.4292485155357	77.4472712750718	70.1421575551532	73.4614334804471	73.2059516797018	57.57243491335	74.5609908880605	62.6290355410337	57.7715784143065	69.0562994324613	63.9953305366237	59.9377945856402	55.2184637760972	52.3766106644047	57.3352916455034	52.2819193194235	42.7601880647535	47.3745147495608	42.7980632718333	38.2829676506624	32.7089024362466	44.0503202506426	45.8812582723398
246	10757.5920517414	12406.5702156252	7904.552323723	4776.25594671693	6986.76175907265	27208.0870889916	20020.7186389077	2078.59947219938	612.603869481796	581.464419705255	538.439125398423	395.15331011731	319.223667889115	307.588779486553	220.677122396861	229.764123199207	212.633128814777	186.949840157115	160.790397220206	152.965759692745	132.639709882802	130.675993770907	127.019184910099	142.846199871263	110.4378778487	87.53531302382	119.713668751292	102.076569455646	82.2706685266059	89.9079231825571	83.5887790784333	73.9377933337531	69.4248666215877	87.1675384267017	54.709648117113	60.0049194700783	65.6711542004191	47.9786352095495	69.682491403743	62.6853919496131	68.4025740703923	65.6889643581579	56.5340409907259	51.7620592829951	49.9555418447576	46.7118505142212	46.7302752512142	47.3241800035483	48.8075500508617	40.2361529574587	37.6104003284405	51.7449492226955	49.4475100826225
248	12982.576308482	9307.45316174424	12146.9525815777	6195.96727927599	3692.99024029035	21830.8397402467	35039.2458743197	6399.43588682769	792.722750651441	547.612806455842	497.184498838576	361.044006197656	400.659644830088	299.811140794473	227.32380267742	221.822886607955	208.870539029564	169.051373340899	191.232751666254	143.70689343374	151.365317713737	116.787983154448	123.663740873784	119.340517227259	105.595462565239	109.322803874398	84.4930738311443	95.349613319802	86.2240973356729	102.299309493846	84.2001693318753	83.4426553740001	75.9126920105017	76.2489332116726	71.2028885147103	70.5655114676399	56.8505565795342	59.3923439409973	61.576314612688	61.4774511352438	55.2155687343299	52.9529224287317	58.3938761725961	44.8125624300208	54.9149763393138	53.0311177506404	47.9030008173815	50.2029462761602	37.3393730711684	46.3973047873172	36.6866302079539	47.6188175368803	47.6480712134436
250	14198.0056882296	11238.0058146148	13353.0240292546	6284.12170274815	3643.65170403142	13871.1962857169	43719.3244069177	17403.4693493581	988.380374162455	536.517341159141	391.632277939784	422.303672002568	338.090599359312	278.069110107274	250.204567213514	232.320009650153	201.771642891353	138.595516554791	157.648351169117	150.253051490615	137.562954147623	115.825835998754	115.007978152401	124.517906370289	88.3806833224591	91.3500456837552	98.2853389239352	88.0964740703604	78.3075949329902	80.0062814389356	75.9813191504404	87.631311513942	82.8589213370088	64.6812498841917	61.4058111860339	60.6549145963888	56.3038761566043	54.3021512718098	62.2121057203584	57.7385366560823	47.227759815693	58.7597206479885	62.9123058591302	62.5488857989969	51.7780443685743	50.4742367217818	49.0797443656971	52.0234955225245	51.4101376964973	44.4461913067972	48.8494814297513	45.8658614111191	53.0221967909204
252	15016.4935449958	12208.2763428658	10477.274718147	7463.72857023443	3689.2919096836	5971.88060700662	41103.5629872317	38217.8323533858	4138.24672904808	593.059949974398	373.648947677949	399.315443241282	306.916650188195	331.788363744312	229.328621404983	245.907731926225	176.953967703249	192.007382434529	145.988356793036	194.553860649751	136.228257223645	144.735837528676	129.436478935092	110.270533742907	95.0985110327714	95.7233510335543	90.6885438570591	79.235269093678	86.1558531590012	81.5231973862596	88.6334528481014	91.9129953120467	89.8351679121777	74.9072143261189	49.5119077514296	66.9969644548503	57.5033764827965	70.9502842030647	52.1049722362863	52.0895095133042	54.665408710074	66.9539584531449	52.6566332234451	53.6720569237148	57.3139574410758	55.4353806846958	45.0263050812332	45.0846006125797	44.9447802492026	49.2797333793252	42.4696570600413	36.3175333756386	45.8597970961795
254	11366.0708441685	11616.3670765043	8659.22038059736	9796.59439320348	4814.67465073526	2751.45057800727	28398.6603254022	58719.6543722682	15421.4521993987	639.073315328666	428.157257246525	398.817768853518	347.806585188405	280.908655105147	227.383857930822	231.784218452892	187.55962424515	160.958723174263	150.428819174427	170.353510115685	157.455547300074	128.415429083598	125.915711420356	115.197945372342	115.151859280164	104.768455612983	87.0523485176419	77.4980234959348	86.1614668389457	82.3278608838705	79.077636623044	69.5431678086546	68.0176036431149	57.0149656368788	71.8572519787678	76.2549082840492	64.4545406613468	51.1220063470932	48.9036391367035	43.2771402048113	52.1963191290869	49.6991030286407	66.7835276100006	49.8550435974517	52.4259336725872	50.4356940372106	47.8578933598034	53.2099772752449	42.8454323918334	41.6965882727153	41.0213783715661	41.6194349547638	47.1036117809235
