Wavelength	220	225	230	235	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
240	6514.36230936678	5444.46549422546	4445.68073032884	5689.50204419358	11674.3600439437	4616.91448253627	622.616280372266	472.208731969508	357.630374843204	324.82056902957	255.033442348684	193.555543351661	201.478084986028	145.111835328834	122.384536449661	129.667945839274	88.0308289398517	132.669275996204	105.498514863723	79.4503882005529	70.8930318529086	84.7114491692344	81.5965550056259	62.3805886354324	49.0612219376016	43.4996407053987	45.4010064074246	44.9945321835974	38.8472491678617	37.8360358594231	44.0452229989882	42.057864160941	39.3577976169913	32.9825333369216	31.028560698167	29.4371463566738	24.6671369132399	36.4449695145554	34.5778413714969	27.603316093641	19.8895473231224	29.9667487267532	25.7050907027998	31.6190736548533	37.43862694154	27.4768349744956	27.3952471389029	22.2268240570505	24.9345392189627	25.8651466867396	19.04773383257	27.9559843140506	40.5911564136399
242	5090.47901418957	5645.79577082197	3986.59814831015	4161.6267265433	12385.6292926761	10580.3824647799	1307.77282370207	398.705388869229	327.117208871977	290.065269961791	199.627011859722	166.657924608317	198.364242624867	145.293338776816	124.834371636351	107.524158093649	100.474107253044	71.1589306586422	89.4397064648395	102.389159064154	89.5226799850776	67.2831791550619	70.7339345305524	44.9990646415057	58.6734288537971	51.6185406844651	52.2459168277774	38.4533899236783	41.3044393548589	43.9368556343661	36.5921876712312	32.6268289745948	36.5333702127208	37.1353333830335	31.0850598575219	25.0366864742328	28.4544140327505	33.9265065918198	37.1179327601555	34.5586881083811	31.0515604312104	35.1179827584359	34.0798517409907	32.2260913613893	21.2249680501324	25.5933426346095	28.5235125949993	29.8570836481558	18.4360161849576	17.7498148084807	23.9247472747353	25.5736559278019	26.8886877756143
244	5291.17696241392	4477.40797789216	3830.23465574077	1950.82951798575	8711.49333031126	18923.1093712469	5647.74262332552	503.926969815397	266.222883900988	237.761267387939	222.414595220635	182.088798218395	160.788979434113	142.72192240293	168.769882612579	109.554118996696	98.8465058907781	122.973782797248	93.9183613554072	84.8182586598262	74.5681512284215	67.3206801300948	62.1248456437086	62.4379859703759	49.1059576946889	42.5128496720785	54.793606615477	54.0085579843303	47.6070579203181	52.3902511182218	36.6173385584428	37.773234758874	50.5551292187371	39.9337780223374	34.3231407060241	36.3497459771101	29.6942106264903	28.1348927950356	35.196460996816	32.0597162718308	28.593488598484	28.7510449769457	30.203345291617	29.0809061609788	33.1295479022456	39.2958005032088	31.4045401912948	23.3975975744069	16.8619158390765	20.1652898882689	20.5211386370545	36.889566381019	27.4687195580524
246	5493.34935509151	4281.38485983333	6132.96596270612	3224.57583176076	3876.33476784292	19903.3490963947	15941.7171258848	1344.4983481588	372.627259089285	307.20242871332	199.438013893142	227.64887737371	167.071262295709	137.117051000876	133.981932346455	99.2742426091807	100.562838215549	90.5732128114938	101.159525712857	66.0287299545778	70.86612349837	67.3024789690267	50.0952954902778	61.44545617478	57.7968707766731	60.6837486667557	52.2359388637604	36.8760694592917	47.5904275286385	47.7901383736067	42.617776924189	42.8808567064778	30.9102178913541	38.476667940446	39.6131084063294	30.699283462682	26.5407011128568	31.3115967975882	27.0230122110084	30.7380976173405	35.4304566293618	31.8771721211025	25.7047861631157	33.5025488679864	33.6809579358372	24.3253598626264	25.6442393635628	28.0923254024622	30.9514437015896	27.3081617339684	29.3182404827002	26.1718223938457	23.9034765643831
248	2644.27140963183	5450.3318474171	5519.78193805564	2887.33283407377	2191.95461500685	15898.5137014867	26449.8486888169	5141.44473670391	349.825735906345	260.946861322001	218.436742525939	219.677138246143	192.07855018792	118.262954823576	126.884638073053	135.733508622895	95.1247936204724	79.3309013579107	92.4697269732019	88.806280859649	62.1917761902215	52.2402318895883	80.4648824061778	62.3608625464841	48.0772351703497	67.0211946525526	41.9326034953896	39.2684288444961	34.8608865578247	33.9815487337364	37.3219021258012	38.4334272058545	33.7435615786274	38.5422010296605	31.733795724326	25.6679823965892	33.5424308451325	28.121551216779	27.6793185317903	30.7762037617213	30.4534434714798	22.3430438133197	36.0218973847837	25.9295989754215	25.6078366882905	24.9525929941265	21.6918535039742	28.0888283130877	27.1091704786422	23.9864876809711	25.863104336765	32.686917167733	29.2372961552035
250	3256.43782791713	3506.81898634876	7046.56279857061	3476.43041849911	1641.43917720662	10291.196351852	32014.381134499	12835.0597517391	678.569276093863	348.097227203751	264.179071053358	216.207791941771	176.183777603639	123.725343381842	103.981273002146	113.553963979249	129.319903171487	82.5343967175314	70.351411080641	61.8805307012159	78.2728773691644	80.0315761831758	48.9856667258528	54.284703275089	62.6373145210256	49.8231341925041	42.8516752715518	36.8002903703227	42.0530407652828	44.7194492323609	35.83326584119	37.724260015413	30.2276914939823	37.1489463361313	32.3817008566035	35.7293675447407	29.674332791571	30.7279242234401	35.868083545345	29.5281424396554	31.6942185338179	24.240006125246	34.063059639787	32.2635268822412	26.8542820720385	28.085741655496	26.2601315813083	28.6400571302465	24.9637595837486	28.2969150475894	25.88221598227	21.3989447378392	34.6638375852494
252	4880.22431862101	6230.12463153633	6743.85949265321	5090.93060999619	2370.57567873888	4041.39589828363	29819.6662400266	27892.2800115382	3059.75549767405	336.152692519208	255.141464338633	223.884106460731	204.759258492193	129.271177200842	118.021421912215	113.773919311537	97.0079591717397	95.3832562822227	89.3870828837496	80.85763049337	69.6699944935894	46.4357168125578	69.7519583968029	68.5222251696393	55.8505884710301	44.3763268226806	46.2864366301067	49.8857496950705	46.8639919999365	47.0187853176775	44.0719443720162	35.5258852853347	40.0734868696166	28.1953782004712	33.6996426305162	27.5932781393931	31.6328416630268	33.2735938143747	27.6419046608645	26.9799801473986	26.0895858486885	39.5436822994319	25.7129856677999	32.2202859402541	17.478908573369	24.349873260856	23.9586509258066	32.7650162644175	24.4394078972873	30.1917617474712	23.9458562104692	22.5810277041405	23.9183724497073
254	5287.90959051207	5449.68630434442	6443.77469101969	8323.75483604505	2466.82353202448	1880.61804024234	20596.9820262157	43866.8373216855	10801.3522843717	394.185575649007	287.862810097736	227.300969914581	164.035027249846	172.142236773448	129.296734029861	115.578838717152	125.612636602663	101.889714766083	89.3952476957785	79.3978501480804	92.1122462877963	78.9477886356656	59.8955999369476	52.1546096030494	50.9935624619697	51.5674292766895	50.5126020934892	38.4835631402423	41.232171548917	43.1441772184054	35.1272131093132	44.283765047711	30.1968968320145	37.1626476938296	39.0162015241099	21.9260055681694	27.8249535725298	30.6953465069991	33.3371188886974	24.4831358200618	28.6020765909794	26.7988996297561	30.8629529936938	27.7983044484704	20.5982212818645	28.6672843024318	26.8425266108983	26.9123742164942	24.9821139280159	27.3279331844966	22.9511530587245	26.1840747473257	27.449591320814
