Wavelength	220	225	230	235	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
240	12392.7290520595	12212.1692755701	8201.34435105055	8646.14470339422	15370.5896472614	6057.03176789559	1338.18933072832	841.582239379666	626.72118409848	467.040833975039	455.734447069446	373.40516633547	315.72528683633	285.787915093156	236.277142277158	223.557395836385	182.368910135799	180.316896117383	160.486032866711	167.636350162695	126.331927654211	142.25395758045	133.620839450486	115.287136215058	111.474110253673	127.417260794362	87.1574566980042	85.6205168515765	76.7281484439495	90.7396004908989	80.4137213343402	84.0459191651089	72.2829423010951	67.9698161537295	69.9680760129844	57.4976071718634	61.370010190923	63.249018150863	49.6272594536187	55.1237673425583	57.7438301351807	46.59705183045	72.4881086762502	65.0102540803185	52.384577846311	49.1891525025976	51.2891015273283	43.2304296861001	54.0780665848782	45.9563609746113	47.401045412644	45.800420759053	59.6338099530706
242	14599.5819833125	13382.5431683237	10015.052441798	5692.79123440227	17248.6513998372	14175.0467451914	1908.01791089453	1102.50748513677	573.614108115763	420.354777870559	354.103640291732	368.854917140246	318.634141596483	283.319494067845	270.570619195663	221.690885236594	178.554960511021	173.9698976503	176.744652208076	163.871751346842	161.208389270427	128.329545955902	122.645684648281	106.289283452818	127.63734756507	110.421134387223	82.0467012090876	109.272436212073	87.7871452425764	86.2220914456988	72.9991016369586	73.2438941971776	66.0906342453174	72.7500125911302	55.3847958013093	57.5311176473324	66.9796799959241	62.6692845103448	54.1009201718238	47.6457058141921	63.9560102654595	57.3387140743855	64.8693769950426	54.2302000725094	41.1783270888682	57.333457266554	42.784661715339	49.7108272756412	48.1911088301422	41.1477773559567	43.4150690508213	43.4772440758707	54.8233351166857
244	13603.1752340406	13983.0890542573	8962.18373423459	5867.20090832253	13174.8242537613	23484.040086455	6975.73101870818	852.275401818907	643.14163336486	471.931061837936	418.77048171321	357.662233268195	319.151902593105	299.10786252391	291.851309522856	183.435655172701	221.428037783875	159.425706437592	167.76015189531	158.232973951456	141.421583747078	142.267071794024	127.956317976658	119.377313717191	116.19769674663	116.58184453681	101.715267394619	88.92084512165	79.2181171679677	79.2672860718992	88.7548779058944	80.4078329554219	89.8207103040227	74.3376902173457	63.2865007225846	54.522484715203	63.1405949447283	54.9168343151276	59.0172217107146	52.0538435702062	49.6526337553905	44.0051602829612	53.9583343815669	61.3204037629379	43.6649841197756	49.1829085623888	42.2226064519441	49.6714258527752	45.5514994596265	34.8936209433281	40.5223439585098	51.7917277110739	51.8449160067667
246	11369.9015986373	13005.9821658508	10021.8348589934	4695.96524724992	6172.61244068466	27808.6387628588	19088.0824411483	1682.54536876526	717.308799761318	454.486960271161	535.052755927533	372.782909916508	335.122189265292	285.691928516927	206.736807854699	195.360204221212	225.182563248819	175.359803316117	154.718385794482	142.011641632547	133.784464937164	136.642549306728	122.664514180267	134.610487749902	124.123430991598	103.885267459794	86.2150990569504	87.3617425414531	83.1372234189552	85.3569771492489	90.8577701707305	83.9302478656507	69.4544839801055	73.5306409778752	62.6894365937242	63.8004269330204	43.5915513976691	62.5207952948581	50.8459672731396	67.1078985491438	39.0590761310425	63.7611752406282	48.1321796447353	53.6621023917677	41.7512765883078	56.646598191529	45.6194834954304	46.1384108046179	36.2712802411155	50.2389303362958	46.3983072546883	52.358237625031	43.5452391245766
248	11969.9264828198	9895.11963712434	10484.7413661793	5531.69278263819	3820.55522151707	20924.0963458734	32293.8258363344	6455.40739242088	626.871353372663	524.318980091953	423.537034731677	392.14875672985	306.657331437663	243.225985165709	270.838654114527	231.797154857208	175.143486359672	186.744810093833	176.615898547881	143.407268437445	154.746792265333	126.053835298162	138.068269872634	109.125742658903	111.42585713363	106.584201098936	98.2534983437979	87.2790754828977	90.1777633022961	86.2261993011327	82.6989059489172	80.422870887977	81.3916275310953	65.2658173272704	63.3592042637873	58.1983510281948	52.5295410149463	55.5537063007352	71.5758379887828	57.0206674956344	45.9505092523884	47.8282907275861	73.9091094784189	57.4160953275993	56.7284160143346	53.5448642885786	54.1350691815192	39.7743490519011	36.258049891256	37.8335324860681	39.0627239065792	41.6075554097679	47.0935508350708
250	11969.4329721342	13964.9274279465	10635.5354412909	6374.63310743505	2517.44629725458	13297.5510578462	41323.8938695051	16828.748141806	988.915174061212	507.172266195504	409.766641980571	425.727895246992	296.965976384225	301.898779776193	263.818141291247	237.906570182094	199.948763466686	188.736712483177	163.352837000514	138.350459411353	142.485543769355	137.543556184132	121.523351445494	121.542921689105	111.434555915363	109.405631595527	76.9743032802646	84.1097019069707	104.347508046765	94.5590896672983	105.158951054249	81.2138058045201	71.6802740126869	56.9882341151634	64.6781421564981	60.0510171773664	60.6659221377736	62.0679031398404	65.356649169571	57.6180165957762	52.8081663438547	56.1347166989966	59.1397892760213	58.1022520963706	57.3683047862412	52.2761110923061	47.8877073632682	44.9801174339831	36.8114372452177	34.9043089883272	38.0992344818497	46.4024289097105	51.2365953639791
252	14808.7287405278	13391.3982301105	13811.9906676117	7875.10216379167	3822.94056420517	5835.56182610058	39105.9311859697	36824.7810739961	3791.99509861678	656.230676085756	428.019848965986	451.804297607424	334.707031786384	350.180819383531	234.329529594438	225.841432476128	173.176464099773	189.884086429342	161.949618656862	143.552350443026	135.236860418314	115.610930939126	129.192175922975	122.533680966267	118.254545580239	99.3900967743648	86.2213157702447	96.2860461303296	78.4329364301456	82.291331560531	87.894239728384	60.8601504803933	70.2327321745907	68.0540484952378	61.9578146602351	53.8717805288106	68.2085841587496	69.6628239501957	54.6592440009781	49.5992535286827	57.064298191839	69.4966555458154	62.2123316145993	53.6575397256597	49.2667623921974	60.9928529053018	44.4590052163663	44.9999368537823	37.418779914131	37.3412397215963	47.8444768135474	48.2711285670677	53.6149581860818
254	11979.9100468641	11651.2231707448	13362.4510743731	9796.62206657864	3694.50611834214	3019.00905835494	27170.9609223573	58062.7729719723	14273.2335180898	615.75670089094	543.651247263118	466.768437900708	291.558473632616	280.731672978532	301.264960044473	183.381983909192	187.404609600769	173.894633283934	167.738749133643	150.225198576726	121.426742549287	154.006182283588	135.697732062941	79.5821375240739	107.676951484768	107.469083499095	92.3555590350724	81.564196474242	84.8144971419567	67.7856108527459	70.8296361728061	78.9090793876301	90.5408920615155	70.8474731622738	59.3592519102066	66.9871697844703	62.5711568662282	57.4994918545843	54.6058154083545	55.1749925290242	56.449481789609	54.1399763238394	59.7149250697451	60.0562931592151	50.483937848891	49.8386334410409	55.8838075354242	48.5480392432719	39.5330006970703	36.3578482451885	46.3296127182683	54.7624510247031	43.5243733658985
