Wavelength	220	225	230	235	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
240	10371.3939572364	6226.57329038673	6555.36064469085	8150.91500073044	19230.1895305956	8295.54858065106	1497.97135306869	959.560039263698	870.168758109403	761.973383604313	710.798930365583	695.573709276397	618.665823822477	554.324602690844	534.310147770048	485.06849697871	467.410216977374	501.783470797964	498.34488192117	455.698885438137	450.274690509026	429.649860983722	378.58353896102	400.35422322813	371.133888634963	314.906700495966	339.510140295155	303.9668224594	279.386942560981	253.392114527314	274.904698917343	236.85314403626	217.569997718923	208.132997309992	171.843394427084	173.952595113421	161.929877976259	155.884034411342	116.268962794152	129.940781660293	120.043607656957	121.852089447671	121.474179654857	93.4669092217719	95.5781933791565	77.305125635838	100.960769206615	90.5901215884193	65.0689800427314	57.507247247849	69.8699815329992	74.362125759062	76.3046034088313
242	8747.52928124662	7196.68138064291	6861.04867654637	5633.02255400689	17358.3441366126	18515.5277322443	2657.71159306053	1075.40192078822	892.91495330133	825.872736261694	733.743826313044	784.774640068297	633.84702077791	535.284860952279	575.323416478174	537.115104969068	481.733570365841	468.114291597442	520.872663837551	472.874045148318	425.72807370972	425.812216623418	429.563010377659	380.764594593139	375.880292133453	347.410884878971	300.353548329199	315.40964049097	290.753307771648	279.361189770529	252.209330273375	240.034686865002	232.172332892272	204.129015173914	177.515183404382	152.31368759392	146.450770907261	139.364646141621	144.589679830691	133.849794185165	117.447990354549	118.728211550537	97.7436817906049	103.702450632817	109.136406927695	84.1607292249087	79.3056262502923	78.3800352105638	72.6499272635835	72.330965618315	64.5707678468539	59.4755220989188	76.2636852460149
244	10584.8671586121	10314.3649862813	6404.57254146311	5549.14932245978	13177.1126233878	34117.6011304778	10507.5363677875	1106.52172944395	877.402631861564	768.345084747076	711.253160891376	702.290179658768	561.165004836309	619.33313560949	572.389527488163	517.161325821977	544.600961647653	443.65593711478	456.643533659624	456.701007621263	458.318934090326	412.108167941321	426.035698448128	404.804139424583	383.690306810578	355.486283151078	327.748834091869	296.743528598584	293.953220294089	276.317258719062	249.083894850816	244.437459118814	218.954204320671	215.331358028276	174.912925782525	161.450165038787	138.219788556268	148.371283419743	144.710829675703	129.9479939901	111.804419144613	103.427079331461	122.061698374197	86.6258095428384	97.4122265495167	87.3226205897745	80.3939752574236	84.2973702543277	69.9223268371959	67.9503486535187	59.1236730440652	68.4549797731142	59.6119151102108
246	10377.404664257	11291.6713641522	7614.92684750741	4712.93822688201	7081.29126799494	35804.2659844513	28383.7060976811	2650.85684397158	924.558045483578	791.510275353858	665.238084518174	660.762740641673	674.678243763255	442.568138215256	580.520022580362	537.825725425675	490.249838400489	469.847403974979	452.920732959061	430.000163691885	388.165110315289	447.682472867785	429.673412711037	407.678763652087	374.856425933254	320.357952149143	289.846513687382	329.85724040989	270.730284627185	262.689890314528	256.578238095205	238.414854539275	196.015399709761	199.049914676189	178.821731472629	157.002182223537	164.914755966329	153.014228043895	133.808704339795	116.173256263436	123.502057259498	100.078243485829	117.013912140234	99.2815266748253	84.9453787747864	81.7854720761426	77.0822626018373	67.8591081276331	87.3182874887487	71.7567693791508	61.0677685893946	63.6729454108456	56.0779105581365
248	10374.5051085982	8947.81700051553	7012.8142372923	4203.58810389836	3068.01346751907	28780.4123220511	50538.0487328904	10277.7853591347	1035.77158779677	785.658205267918	656.427241647661	709.618504558471	618.175997436696	551.619794838258	555.05945785374	545.239057001037	511.683719509846	514.753662499943	525.544372956492	445.081559604101	444.700798465227	399.573185810556	379.719329902776	389.182334650815	374.745118944241	347.578024166267	319.803938482504	313.883972557497	288.391027855499	267.954580050392	255.169187170806	216.203009803863	239.420922894322	222.88285140881	195.979555856726	176.907499679921	141.029773157036	143.870670976161	125.111966867773	121.862525322351	123.06776320504	112.349714939569	111.858363319139	110.040098214068	94.7596014306254	83.5819939356537	85.0037967795583	80.6706138775082	66.1888374095245	56.4928838810288	61.6235369128196	64.8732264799056	69.7434891892954
250	9968.82174316811	7191.76160800085	6104.62370419191	3950.94152066772	3072.91558555291	18383.1774146887	63878.1968051755	26166.4012728442	1535.59733230175	761.873430021312	762.070287232741	759.104927208568	677.207227283172	530.021517816871	522.200635019047	501.451622053684	490.542829486946	506.594755516569	460.824953230373	440.44879033093	438.280272464681	408.716918959528	396.902450337878	386.45349223177	368.371669511113	331.155668219823	313.958080741839	305.442116363901	263.160966119034	264.075154721884	262.485085551715	212.519767707451	198.543045183106	183.412011779506	194.713196681221	187.027455304706	143.36571579108	157.777286929708	137.715398415433	126.138609603249	118.132311303528	114.401248506943	114.279257979771	99.1431139936493	89.9274422730234	84.2121687032999	86.6880204887566	81.2631172701681	71.4875940820248	58.4573841718986	62.5801390386593	64.2526675193097	58.4252451357794
252	10176.6020343934	8166.93676805583	6859.52538774044	5304.1292856184	3200.70376685638	7653.9798780098	62207.9446066012	60985.1451207658	6177.37535328282	790.339927863107	733.897598016266	815.718390098179	718.711020965819	592.193761840638	575.60185958555	502.496871555555	472.858849078269	489.712943235777	469.383879717893	444.449433314508	437.7545027113	401.658401247364	422.912287036412	349.890376983732	362.390269514119	324.654912382115	311.587117808553	295.552496120373	296.308027687497	262.628886703158	263.182296704532	247.090424986757	187.434831839811	175.145784775238	196.009271674105	182.825783760132	162.881122067758	131.688121797282	144.40928165351	114.857561380848	99.3712929268247	107.126696949548	108.566919397249	97.931367326327	88.0479231963318	89.2286948358486	90.7482052355024	72.6447644332794	70.9728728033468	63.618681547569	59.1214305246053	70.2866800303146	53.0797051882795
254	9559.03947426795	9536.37517606461	7622.38086170191	6478.10302038525	3427.51267315271	3202.64253411036	45058.1996184267	95081.3405684154	25073.3206361687	1126.08931293737	915.120331015067	664.15767918429	668.411641877025	541.806672455499	616.828042609913	488.81112604081	490.469755621801	486.092282074672	412.700743263481	478.247834009961	393.361890710565	420.866439645681	396.95143294107	400.501015091758	380.757937712369	352.945904068242	312.020340714749	299.239732587308	293.969688302167	254.067696517664	237.863587214965	229.045313589983	205.264671074607	183.57675579523	170.834609657868	166.965947554144	156.640140809273	134.253788689908	122.571353154312	133.808815070542	106.783703403974	131.56541033066	112.500891951124	106.18966226948	109.81712654741	90.352395833537	93.006602423316	70.1879397479415	69.9359180841437	61.2102446005149	61.130193010712	71.3945730519063	56.0308266322387
