Wavelength	220	225	230	235	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
240	13013.146820219	11076.9487105356	9737.6282709063	16661.0227360634	41721.0210197354	18646.4309890284	1832.77401494588	1393.94924489334	1373.45629775519	1255.14649219577	1265.7240585847	1311.37347675093	1270.56784007387	1082.75774630309	1049.52135331093	919.681091034488	988.142765875221	844.674476821776	815.833678332326	836.901347480708	872.221832855275	804.290459849196	756.966298964178	781.119054285911	668.051715605899	676.540197007514	643.718909441523	629.611923638855	589.083242345437	597.770208494046	571.511336346321	583.386526534823	547.628442187164	468.980296798654	419.711598989204	353.941454747557	368.519344450453	328.762050738188	310.946398784607	296.924293120552	279.944097699504	279.007104087459	275.631775210533	252.02718937859	210.583797194463	227.441152265376	200.428922472397	187.901436792866	172.670557448544	141.542186625169	156.024788579616	152.454756057736	174.700102251563
242	12598.3423238504	12053.6286577338	10180.8990011625	9207.77036208982	44741.2985150408	45854.7475425291	5493.81291679531	1738.11215436291	1410.74480104808	1175.56531813314	1366.63117434231	1209.82142687218	1044.45225145523	1092.54369268784	1025.59887687812	894.57496286561	970.024033209605	881.702601165442	886.984072967485	805.21881301985	817.430637596948	720.472842950371	703.734274646636	715.752012061393	727.111759031574	653.120628805994	633.357632742729	625.456668153542	588.659751833685	571.677620576848	573.045920741654	530.965947599676	512.934044148039	423.271018080119	425.588488902073	390.056110742566	369.433435407688	327.761952454356	277.107811963042	291.012572313906	296.660796542742	263.697690719254	239.331304650991	241.957466554321	219.717077260715	198.507789698808	190.576923885401	185.58017122654	163.792006338339	161.176995653496	133.187357169278	139.988945981744	166.880814528847
244	13839.3078157847	12250.2554456295	9583.83430938979	5281.73220328915	33142.1473627044	78240.6458428881	23333.2396146235	1792.8707201784	1526.26624318948	1145.58168602621	1307.8233131555	1332.36864543409	1139.24488430436	1086.11973481255	1070.39256977747	1003.6904784303	866.347800750597	855.423627741581	804.494823480607	777.192055090837	802.556838950712	793.60556395935	751.915912259628	716.495026947219	661.686662459132	671.071745023991	657.522406943415	610.133428073101	610.159147272025	592.946105772358	548.224203534665	504.375221663667	526.598576289791	491.590126543487	436.065228195688	368.786378624623	381.08568223926	315.823099744783	334.91746321644	319.874795123435	297.26981620041	267.275871534482	257.067543377746	227.980463351147	239.014970403566	196.916103593475	185.915578434025	182.896467701792	187.760986849221	144.218683997365	145.227095214744	152.973380967182	161.004439157096
246	12815.9048194276	11455.1371551638	8826.12570080235	6521.52824495471	13304.4827531228	88570.3326232144	66681.5465950599	5539.82950207252	1637.40250907774	1283.57387560308	1192.35630170608	1363.94628487789	1323.65352326805	1220.13311103761	1093.29458249061	1025.94435366418	957.594835908659	848.988679836009	814.895659712505	807.843028854818	796.964595119895	733.189229858426	769.869704726537	720.896572912579	626.803822464362	663.99428709621	659.973008712576	607.208893200072	571.60071249581	565.198773232987	531.341060794727	477.934812560685	490.806524789007	465.515498902365	444.47874063785	414.531258256359	390.951096671775	360.85230549408	325.995365815454	310.804734146092	278.5182499252	266.187048301984	251.61878041101	225.54699390923	240.301285596689	198.424621521026	184.813336860861	192.372213999147	170.991380749727	141.722380088476	161.839371051301	147.698178950032	130.018105149387
248	12602.4207464417	13782.4959012394	10350.4387251953	4859.41432744364	6298.16296452983	71833.3947043529	121351.898044226	23296.8502924473	1606.83925710533	1330.81590281289	1329.7073170458	1417.05713201384	1250.60273502941	1073.7623403355	1070.2678153846	1070.69789313996	879.35050263057	857.690762990218	779.511181859943	810.715405026231	784.532594871998	754.264989337407	758.09291317892	708.813627782406	688.051676540188	617.511276833253	598.602445249257	606.202270154865	621.376883736791	572.899977574534	515.076096118806	508.178967039031	485.795093502816	463.219998706787	426.570956919297	397.391699042798	343.491976292348	374.182190783861	325.201304757095	289.140008374802	308.41588240929	284.717372169539	223.547484833336	239.428535739023	204.812639747803	214.42648596209	195.73510586881	162.592842307921	161.862811957408	158.852317019442	152.527803136103	141.760175254917	122.933796215692
250	10975.5661111818	12626.5810384917	10345.9568535794	4775.61281518921	3820.31107531011	44268.0153218016	157858.981846957	66537.471343553	2856.68470962909	1336.83184435381	1444.49265742193	1389.56490954406	1289.90915475743	1229.06383834594	1017.10148359481	987.109559828513	895.460027998287	925.361207434801	866.372509793753	838.746419061269	811.953042104707	763.935694982869	685.300335570426	685.462022318697	638.245699332402	653.106863663951	603.109509728375	558.277668357201	558.442906439186	547.669513007134	535.560563064961	482.951279184229	442.24735731844	449.864631205581	481.720248654536	447.410560358197	362.494330949302	323.427314564316	335.258300522878	282.287013138388	295.938084084221	280.679459055312	275.103680980033	229.940372945094	212.116025085994	201.976189845259	192.787881534267	174.25147263144	163.567647514163	155.851549147378	147.362701252524	138.762838136689	140.747223253223
252	13829.6736279604	13029.4745126006	10044.5564165211	7117.50874558346	4583.15193844419	17467.3056572564	154580.474527132	152987.225501597	16066.0998892426	1409.91728815123	1354.22116470607	1345.91831503787	1277.57617753394	1127.04894523498	1003.37931306615	912.51991289307	871.647475119097	888.729891178162	931.788220911728	799.178636851492	781.710604983495	725.788051248054	674.094731602314	716.445512999449	677.333533695249	633.523960341778	617.566445894289	588.833271108331	568.222289373035	507.527290448389	527.05611336584	517.505363486059	499.453772846533	419.29904831004	420.80185115727	427.146602035943	382.444076545671	348.139682652405	315.571670775676	298.127130789641	278.890381871342	275.13493994134	266.471524329015	230.014152645826	203.369764923328	198.295118665161	197.3653106202	189.992951229769	166.431988122018	149.87497617347	135.040965191358	141.694684308858	140.599923058625
254	12193.3504035819	13211.4800538279	12023.1395001918	6201.10209776602	5387.1329423399	5049.59600554923	104142.700812303	242421.26470404	64781.3469692571	1950.42452959575	1449.91220709608	1413.45473210099	1273.07757268847	1169.87643644801	1076.48345319602	915.287044575869	914.430131055466	906.135637117545	820.908710401928	802.01023404017	805.335073475092	737.483655766315	692.429199325066	721.904811997213	680.920821558933	651.654331578879	590.546325930081	547.111779117847	542.909861665918	544.843569495844	520.615049666955	497.045028666084	467.447339283637	432.815132867216	412.630052078408	428.488853167825	384.785093338549	359.831378664305	312.809861722342	284.980209074513	275.987612096896	280.266105651265	250.555106995308	247.662284542416	227.981401851277	211.404450610457	191.272943571971	176.494204818756	176.607157235965	161.367189534411	143.718997006352	156.668900948913	134.73408217577
