Wavelength	220	225	230	235	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
240	2593.86709334228	4171.14064063567	1896.5739101038	5633.35080604213	16058.3412775363	6372.45707744372	647.544410613075	313.042138745708	313.64988736013	289.463744625615	179.584291651968	168.462722869901	149.207683900403	130.214793988812	168.902335091785	82.8869749361582	97.4603190657345	83.5600558893597	68.8398450542707	78.8061353832057	65.7233482549884	67.9969263581485	62.8083150158695	47.3468466837523	62.1664283162452	41.0665600952748	49.625867847076	49.8504616494178	33.7627632323369	39.5505518085664	41.9312143701041	39.9959003884565	44.1678525304217	37.2387585704192	32.644249720705	24.2963006992558	27.6043790573811	29.7833698212107	34.1529343991401	34.6969738211251	26.5504441820907	18.6021512187246	23.7283159730111	29.4412047199829	17.5984488582225	27.2398352038589	20.5426328260056	29.5710443579672	19.5187374398384	19.1532847654727	21.0268968723247	23.7640791184925	31.3866854877741
242	4184.33685055881	4734.2398393575	3935.81601754638	2816.73065785493	16993.4637100377	15959.6759110391	1770.13088774219	342.861067128188	299.326915828127	289.934637870542	197.248804315388	161.275233323604	152.271681506354	148.001768977185	146.94342941239	96.4189294571925	121.521623576509	112.993653080066	87.0624145080824	77.5457254641491	81.2501006473674	61.3750610610935	58.6784257289113	62.1519592433849	50.9977326244641	47.1982341309239	48.8607985518789	46.71068281528	49.1860262251641	27.5830995002064	47.6358468808295	29.4330722333621	34.6894195111402	29.2917930245089	31.953574533758	29.7617067213824	37.4704683669259	27.8886372703356	26.8404442623584	23.1644588082475	28.4179025674508	34.6785654231294	29.9500627725262	23.3078163146103	27.3216071448296	20.5634002177555	26.1061654919698	30.1183501144824	23.1921498513016	25.6882127258047	16.2512319741304	20.8568732523623	30.791577748628
244	2787.94002280629	3220.33763164909	2771.88734963938	1641.90567470554	12503.2822139695	27293.8592213204	7658.00561457963	518.144793866369	313.244165538869	250.956344976542	196.856750803062	204.45592189181	167.243455713529	176.077377007203	118.532319375922	133.032583869825	104.410924854916	105.250067035548	74.5179148227378	102.194472088898	85.9503988232398	62.5299000952354	62.9057324913865	47.3463417897745	48.3099668254895	46.3934110289262	47.1801131995256	51.4266655955002	48.3825013118756	38.7488782440457	36.8301739433849	37.8923781377955	31.9155768965899	29.9320896995451	33.2180007592481	27.9086111299052	31.9036706376096	26.66646176626	25.6273280552092	33.4871941819751	30.7886154029005	30.3382275701374	33.0764819346205	22.1175778535915	26.7138373340188	20.5951164638785	27.2161116675473	22.7337478051791	23.2204603810501	17.7435827344539	17.2052630460922	23.7576219854405	26.1328728250999
246	2987.14928137946	3796.80373507098	4667.99208499827	1643.71282000084	5419.56965244831	29963.0250460771	21911.2965251165	1585.37787273206	427.782122785171	229.320707458402	249.487605266022	243.975381008283	229.788450606741	145.707407088315	151.392904111009	102.291696604119	109.4866407147	91.2814679860709	84.3785769423514	69.7149869972849	85.9798640487632	51.3695886771456	58.606165931203	47.3061107314339	55.7472107033118	55.9855202436715	41.3905704642128	42.7029690189884	42.9925456833985	44.730148254079	43.3839506823523	34.4107186653891	36.7321127723944	43.88461227253	39.6976292093161	34.6149791359615	35.5668888395915	24.8289366196534	31.7043269983617	26.7878513185919	22.9233760575541	24.1663813872925	26.8218918027745	27.5990624764659	29.7360520613242	20.0071357880157	21.6421452472203	19.3356747375572	21.106556663368	21.0174978091399	18.6320265741264	18.5518734429775	25.5754133959134
248	3189.42974627252	3791.73408404982	5099.49296652481	2035.64403086713	2372.85591554817	22534.4757997608	36569.0970618683	7015.70800603616	334.601070109024	284.265869928045	188.53271728118	233.014438937067	184.922423953352	142.848760052283	103.125655012882	102.10030185653	121.599925983677	119.070232246556	78.6378086251155	89.1517332147683	78.8154124874406	60.2879737906101	59.7144790192521	54.258129334645	41.7577633014706	41.9516721582433	51.330084798252	47.4615488680606	41.4764753039518	35.0696073864452	39.7412459487444	38.5694867362799	37.4050770684776	32.6334006916024	26.2105936660838	23.6824540211723	36.7882986624556	31.0013527612465	27.4247344591067	43.8707657007069	29.6053395510903	24.1827608767573	20.6065727016057	26.3571515719462	20.6153664445417	26.6165891561626	21.0803670524112	26.1682076790593	18.9768098004681	19.6065484127548	21.0235385858504	26.6738554540528	25.0100252975709
250	2590.11325309012	2843.14784500303	3937.2205174628	2734.83599684615	1040.80290422052	14218.5095949496	45463.3887592626	18746.1957981229	811.171338833406	240.350280164047	170.73909011782	189.895427693051	152.191084815826	155.67459045058	158.062924375597	113.776972646499	114.764465152789	89.8038318390757	91.406427320317	100.849195844789	64.5508442862369	71.3930086582032	58.7055747435708	35.5097257502215	51.0665672518375	57.6778887900665	33.1219021142528	41.1539944934479	53.0313419508489	43.2418640412879	44.7729514192409	32.2738549375384	38.7424793940693	27.2930002521562	37.0753170519122	31.5473386455074	25.7830941151711	22.9389352759877	26.829039503429	35.9315553110198	28.3737546484866	24.1586152898157	25.5803558015417	22.0945745556101	24.8605078606956	20.5908374643454	24.4049754751416	18.173144118071	22.1724155050815	20.5282225937677	15.7845378685896	16.8088221584909	21.5133115517151
252	3186.43895538848	2843.92366076259	5254.45689986369	5011.35493650823	1749.16431769086	5395.83240766362	42002.2138186016	41704.6324767637	3787.83701896399	322.120976395472	288.804697978807	197.232525720611	137.206805574331	196.59444745648	114.112796702071	100.309941303389	97.5129446046831	89.6485191172541	95.6497279814703	77.5289095550707	59.6910375350923	78.1723764324101	64.9218741399538	56.1679117672918	58.5007862117783	53.3628871630067	48.0136291883854	40.3054368395492	35.2980616459839	24.6200611687321	38.3252152571676	36.4702255077166	26.5142670651474	26.594738103614	40.9731854479773	30.9416987382145	23.9446725588902	29.7977271738205	35.9834301307605	26.1947923736074	29.5669826548347	26.6683396978201	30.5696299595943	26.9923543944654	16.9919924209073	27.2765592027758	31.0594185722785	15.3589313183959	29.0056888978263	18.6762779358574	20.5228205139515	23.7394299704403	19.7525479948987
254	3186.40564006183	3792.43802831556	6125.08614711458	7202.11603632161	2707.32381211558	2137.85701597532	28587.8795675221	62181.9731505417	16080.4175697519	426.458288170823	232.096960339068	222.428468870937	203.015895461069	150.568378255654	144.771858001756	107.909039841859	102.69079659777	80.4530562983567	85.6644634112208	80.0521394162039	58.5765509194459	58.1111971781173	72.3337587393459	47.3455066231049	52.0481912912903	38.4146332315791	39.69797335685	46.6801124473156	40.6823280593233	38.0636925151453	52.7698546161583	38.5749204250324	41.5201609886483	27.2976109438201	30.0192405581857	38.8779841380708	34.9771028417638	33.4759537272285	31.0595283403403	26.2043983648991	27.1660781200672	26.6546622578592	26.8443665185744	29.4503738200345	24.2532748769591	29.6447119156092	27.2060988021235	26.1467956080914	25.8136811839825	24.2991982099319	20.5433147401922	26.0654692755884	19.7617462982352
