Wavelength	220	225	230	235	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
240	7194.52710303593	7696.99976829573	5035.7919803363	5285.87700442269	9764.24343857199	4090.55565366412	930.580633032012	813.224582375439	580.886793383992	568.71058139531	514.729194707669	495.881457336928	420.732477022452	370.223014490543	415.171321659351	371.429316946965	411.339477196071	365.472737993623	377.333976164964	345.685386515905	365.790108350979	368.355995760386	353.544653584735	333.741233287261	290.226815112273	307.303993759466	279.354391659474	261.714203854686	265.842292174732	240.673419540878	236.929272899817	229.705768762059	197.095841461278	190.534855216678	176.506989774822	159.735741244989	155.415760699859	125.386683570837	124.848817340922	116.80807055383	111.693063754427	100.856981172867	93.5353132136076	87.2190774513374	84.8288258472456	78.1038364275579	73.6031763391232	67.2329729407032	70.678454825176	54.2714777803699	54.4030578602233	66.4870882155968	67.1686283071635
242	6392.14508413262	7696.78594795127	5887.85658699757	4579.35185025628	9890.85215417795	8928.52098500089	1497.29964948706	712.172787532049	688.518935859429	536.46809454157	536.07913671587	470.435911683148	409.817309596872	408.914743561469	411.91655144748	411.824324286577	396.50784940067	363.858278916273	379.878078416666	386.484049294223	354.194199068024	330.166656122281	338.445823762453	325.91267812883	294.258007434894	305.335221136059	273.708168562538	290.619965128565	267.20310641149	227.861824279566	234.247206594389	214.372910481555	195.6314350463	189.114466252121	158.831411492806	154.577975363651	151.125256535587	127.230078337164	129.261166981006	119.613513727085	103.679737037291	107.563909701584	94.5029953137735	85.4954165444794	80.5654839300382	89.0766276101324	76.2644072366925	72.1437837983262	67.4438205211811	56.3365624526708	58.6329842521159	61.1816225756763	62.323894514363
244	6591.04861910764	5833.48607276061	5834.71021029166	3413.34651262857	6897.69914272099	14950.8349693596	4978.27577186953	775.599290246629	688.496057200678	596.473236111673	526.566000107928	402.796994798885	450.390825364156	410.044898310161	401.071344426086	348.829453856247	391.430800780372	358.388652048923	340.144420332653	359.437821237816	335.032084860813	341.546328566656	353.11684151457	343.153473289556	307.717115220078	300.655313404192	279.556856896401	247.897085958003	263.689504971255	234.973667285039	238.113150305245	212.31789821477	183.334885275392	183.576142448573	170.433206305439	145.728799384774	134.727705654843	133.580066004863	125.872180149904	106.198583117638	111.002845297569	100.558841202137	101.238038430754	90.0555076794275	82.2006040396481	72.5993649759033	69.5631116969524	58.1798229686995	63.7384468418996	50.7968612368087	50.7302401582206	56.6797125645341	55.6340610630563
246	6794.84091182559	8590.76915940766	5187.33547751226	3415.45114358393	3526.02131395466	16617.364470454	12642.5924450576	1596.5122280093	617.872601128793	573.938864605424	553.875327923815	446.657691953281	440.358435403359	398.509986048423	369.945314214765	382.73022277927	381.034802524805	366.045465515827	358.479796580042	380.198966111167	333.951472909958	344.80901635682	353.192650790238	337.732248940539	278.091746545359	299.957424175279	269.542538690344	268.745383546826	259.449821043802	263.668854015492	230.241486065066	189.510443090974	183.920173316699	179.887315497244	169.869449352874	149.427785585352	132.488388068241	124.581526172588	121.035405201324	119.670489094066	99.9798175101013	96.0180613361746	92.4372823193531	92.5803257608836	88.9557717277209	82.6244671615051	71.7313262711176	70.855290333531	64.2691875222789	47.6447435100565	51.1662970014459	55.3369582150645	54.0569890939992
248	8545.27930110937	8212.13303301544	5632.35610453647	3062.3820787503	2443.64291282983	13887.5381005775	22531.0680729305	4998.47526766789	725.676943926036	581.707444448744	532.882833978801	560.042014110494	450.582295617557	420.009007311665	393.953443843658	393.028177969098	380.253105613755	391.291072347371	372.83483367904	353.509655433927	341.338682655569	356.592251460207	328.814645034852	326.163750879487	289.079143433455	279.655202022138	270.35860183867	271.706259114424	239.477360281697	256.09448421621	239.320988185857	207.295701908974	187.727935239192	168.871599960794	176.232409392721	150.690038988559	149.579122993496	133.007667332742	122.584400699573	113.261840479636	105.156328593657	89.9053886939336	86.2993801943165	86.3846177653553	77.8383440675102	79.6180064259425	75.6684424884122	68.3502637688873	61.0469721419015	51.1255659097309	56.1832201198246	62.9582382904407	62.0503223374443
250	7333.92099112545	7058.3379677869	6085.40460485925	3226.41663840753	1748.64476360509	8515.19747466986	27241.2186268421	11795.6664934857	911.436940502708	601.502208254236	568.934344839263	519.508463442725	440.011741752074	438.672847178386	379.835927057579	380.121990122816	392.520516595022	389.331933676045	371.925874418027	373.336468751272	345.192077905592	346.22363235452	352.769021686792	338.653245281081	305.644272248665	292.046973688755	281.510377747826	264.466708684938	241.66632492861	247.543336805791	227.331057811375	192.147842883129	184.198248653326	177.940099327365	174.60588385332	157.47374900673	142.256339729445	122.010532426667	119.701932899797	123.496403803538	106.509000952561	88.8384740411137	88.9988469321459	88.5966549357068	79.5263712917247	73.2473312554401	73.8401063505599	63.5279473261625	67.9588935333988	53.6202438480256	55.7295411473214	64.9394374586844	53.6505454687738
252	6657.28147262167	6221.86725591427	5934.10680193751	3710.70908620062	1993.60967330388	3928.33830062042	26586.6276689297	26804.4836756857	3005.12140494825	645.269302923906	556.601478764242	486.32876600171	453.351562607996	496.695278095168	423.390442779053	403.358463423678	397.258757570912	385.655384195691	361.319803669856	359.905134146887	356.359310407584	323.615971406427	329.718563685551	327.715142054101	308.800350192919	286.965499624912	280.082813014573	270.269437616053	250.942322429623	263.763071810413	235.163309061085	207.423390920229	186.881382260358	177.212174192387	171.120831261113	159.862930095921	143.591204184239	131.704447001896	114.166112183249	108.468083437346	102.657851502915	95.7968088671565	97.3227001881084	81.9748239945536	81.3958040699605	86.3213314198591	66.7166644828988	64.948127503409	66.5494175704206	52.3702200609412	54.2828347664553	63.9479573000391	52.067053681235
254	7867.27159873135	6544.91099855161	6782.582632137	5205.10397169027	2167.74012296394	1714.40074891605	17933.9494644377	40196.3679119232	10858.3016373975	673.27467152727	507.365426225203	517.141140658209	441.420952052058	461.781036137993	440.746896468045	370.18607092204	386.036540128316	390.770503992658	381.45472682717	342.312704728145	345.865170340485	345.565233183658	333.618046205133	332.724115975373	283.33663409647	295.260665441554	268.835568776392	255.073726507804	239.585913282998	231.998914299677	232.262382454994	197.936415482008	187.880577884026	175.800060576313	162.449087419425	149.256204248287	142.310212357288	135.822130996266	118.712444474879	112.957546575165	108.650472853231	99.7650493538598	92.8767478324958	86.6056500379414	69.4193633891001	83.2865153631708	67.0756343826822	67.182275133203	56.044558534996	53.8022560865274	52.4692205197886	58.227453741889	53.4563415875626
