Wavelength	220	225	230	235	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
240	8247.29027718096	8446.36819485195	6859.37279947495	7703.345943089	13627.352581223	5317.20407478848	896.729992859898	729.434595986747	529.876597113918	432.356652757908	328.089321282063	357.08606520643	262.910184340642	271.597126247355	190.595733077075	152.03883741035	173.163309673983	165.888356971631	110.260612922495	105.309696207367	98.5969003780303	89.82198465214	85.3406995535381	76.2098708666979	73.5860941443318	57.8048180255711	69.7958830182104	74.6841772577451	55.3705058212897	65.1747179783256	46.9451476640401	60.5930523975861	51.1362921967415	54.7930773639722	54.4360679274772	39.3834160046495	42.377389845314	43.3976242670467	28.4602621196889	44.481129285911	33.6831948678115	37.7557256773979	40.5444866589578	31.712066451933	36.2914279972633	40.512303712326	25.8737168386219	36.3244232995829	27.2284020923626	33.9716365890579	24.1753628272253	35.2566203399602	31.1513183902508
242	6847.06882979018	6526.05107739384	5365.13474312151	4948.71570063329	12706.853015315	12946.4168912496	1645.74776927439	617.449331675547	573.561520926198	522.384444124011	399.643441924966	286.979917013477	259.841243484044	235.034670138544	246.959829437351	147.799093950411	202.855290828464	134.297682746396	95.9580706898587	110.679193315926	92.5735877985959	79.5480476253614	107.585304735079	70.2892107526116	73.7061667699384	80.8787767566726	79.0928047256269	74.7165019380832	58.4493915854807	52.9729904066837	60.1306027002872	59.8249310891495	51.1050318585922	46.5859636342944	49.9132261754266	38.8059983024905	46.6571904342307	40.2492582630216	42.7335324418284	43.2890095946659	42.9029230677723	38.3322399381854	39.2270817165033	39.2467698524165	35.7204869168176	30.0649492727505	36.535743740893	32.2456933350723	42.13984345783	26.8855313483123	25.0939681840808	34.6904820247671	35.8987644360944
244	8856.85596299292	8069.65675107778	8651.33713825645	3733.55442263832	10565.7885705765	20813.1898836191	5699.37497128038	687.611692704202	514.586788165064	523.162317464157	458.342415588041	349.274980436054	299.823165022814	240.227741292558	219.888437210085	167.517976728177	125.893550296686	121.686712919605	104.444545105297	101.428895194223	91.2484293861618	96.6670230570946	66.0688678997977	89.273043539361	62.2611672618935	86.9980895814869	67.2855784713196	62.6960966777031	63.8017296195812	43.1171081425508	46.1669472530637	58.478013470527	42.7934972793679	48.6117630501845	34.4117529075971	40.0304015586466	34.1832125939161	43.4611495131087	31.5393238939858	35.2169510813216	36.6929469218381	27.0345330530603	34.1748458387145	33.661270349684	33.8274695088258	33.1393797598591	35.4178163597481	38.0449709594018	34.7128214255219	35.375160560599	23.1873607407396	22.3343708446355	32.3532095026644
246	9868.30034426556	8255.04450304902	8202.0979224701	3248.86846704487	5088.31171288832	22943.496135466	16505.1253521648	1698.82242400751	581.363401063849	483.395930877289	341.638183218152	360.000763098513	266.234923895026	227.169849494898	217.491361648537	179.332785496665	145.103603707772	145.329684634797	138.960691165707	107.829570822527	98.5807547920629	90.9960367207236	74.6957304015329	82.1754184534535	74.5012682374331	79.9290797723873	57.9712442400236	68.3223599680063	63.8502426462211	50.7168134192389	52.828512687016	50.6605761600502	51.0427866838527	51.3383313311845	42.817179402781	42.4438878859314	33.6022097541897	46.5812564351989	37.7152371397325	43.8748303353912	42.2611202619734	35.830759751531	31.0250488901676	31.7256693895106	37.4959334278986	25.1621904351539	41.0809293764	25.3586363781766	29.3827571975694	30.671834072249	27.0881652236369	27.6122627089184	32.9298368126784
248	8861.66642982439	11322.612637295	6853.7307780753	4298.4088487427	2786.84992569946	18458.100335429	28410.8315800125	5925.76712141888	632.574388611898	410.15974863163	417.85426009177	301.356377587499	259.720582804395	224.459749476949	233.266858498474	179.360551269744	141.860474327966	156.32653369405	117.44597794046	118.572507917409	86.4738083559819	105.710453696149	88.4412608636207	84.1623274775598	98.0759167526864	72.0848878464841	70.5559612112164	64.2907949129447	58.4781288092931	58.3921455956552	60.9610848346131	55.573470033319	53.8472823615607	42.6177403985623	49.90535980209	35.6405065250578	39.2680778546869	37.7385239701405	40.2070202689107	44.4890979028078	41.0107955841137	41.5094505193278	36.7245149714871	37.3210255564134	31.3509069249596	28.2032474763031	38.2073341318711	34.5808474086919	32.0478368202075	30.1924922098211	28.0112002692811	28.816877371191	34.6669763806701
250	8247.00467528353	8263.26303696025	10884.4412691443	4872.37125445269	2390.050683586	12391.6093580391	36705.2076486634	14644.5657671365	785.999391661674	443.631947762164	390.848383054351	383.163735783305	311.753968445997	255.962881858531	204.294280957626	187.384668083842	136.304409710079	137.401878843713	113.152012755771	121.184950207151	97.4176347819123	105.67604488981	80.0128400952086	88.2969107438852	84.0361373932029	67.5552742326433	48.7597714038706	73.9681529597003	58.4311325502767	62.8483956935085	47.6733692163376	54.8243183782587	61.5043523095034	45.2853234405234	48.5697996274148	52.9142855943121	46.705689730928	34.572104538354	49.5469216491555	46.8932206022394	45.8987096875074	39.6377723926483	34.8243967343138	38.5797566440773	46.1920639083118	38.6478897505242	38.2572243546687	32.8572175143372	29.3734364759737	33.9356611503464	29.9610908951732	39.3787851334392	41.7416170526026
252	8454.42448500026	10373.5286178671	6709.31556707002	6177.14635868579	3089.26504493537	5679.84295497316	34744.815816198	31752.6585720129	3225.70839150017	455.357314563801	386.449973492936	320.022741210982	308.865574073625	282.581854485584	215.313285779217	157.686448977272	166.072161637764	137.575006646304	110.320598045085	89.4670247677182	92.4558560671959	97.7571720432133	90.6183467546028	79.2610548271746	85.002790432934	63.9412249731485	68.972906219489	59.4707429776181	63.8261547309304	54.4816998291924	55.7189919617649	54.1235660032664	48.314127299817	45.9280979150453	38.9056978104633	37.5963679395932	49.1680679750687	46.5713262092219	44.5720483107835	34.6095984189634	37.3730311868408	34.5785352288039	36.0595406030459	40.5333886649115	27.6993843937168	38.6838411992881	37.7079466892594	32.8617616173038	33.6638659464374	37.2765505470388	33.3486850758753	25.2612214238	34.1293283307616
254	7051.0897963275	8826.57769435056	9242.28372212676	8525.41389951779	3394.70208776429	2037.91546405792	23771.4598555654	49913.9427019358	12633.6763252638	630.478900168442	445.32599408198	367.673977412743	339.297567380791	258.34225288011	233.338071153023	149.688006720919	139.830688449911	130.99993814436	139.096969495554	108.045197594177	92.5922266781588	93.2602947434295	92.7687318357656	76.1651358064108	69.8389912652827	71.9334901535116	60.5508434655581	59.4076525507041	50.5622077330246	65.8026615758862	66.0077670972331	48.5249511834987	52.4207971383232	54.6832757978804	40.9263881615432	46.7882087768054	59.0521192809494	57.3284529545493	42.6805936760843	41.418172987202	44.7013819149145	35.8402288815408	39.8804644733564	43.592252446829	37.5128392790248	34.9409808768354	33.7320175077932	40.9290234342878	38.991148846256	27.8400112237945	30.9272498856314	39.9993512244945	23.5061412901841
