Wavelength	220	225	230	235	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
240	3350.888200372	3715.16877205298	1896.86263857993	4080.47199457192	11754.5831073509	5081.73541708097	639.460858409461	371.402052817366	348.051659633386	304.504355757952	285.248871568416	287.538535730515	251.063906059118	205.981265208229	209.740628881723	205.392886967678	192.643835621488	176.045192614333	166.066608934743	156.988194575927	164.609349923735	145.388323699837	124.241008667769	119.632906594507	112.591090644417	112.946115106302	98.4758247941774	97.4302996237183	91.9060294849135	82.6774440124733	83.4660379919979	62.087235027004	65.7126306221085	57.5317020973173	57.0151081500871	61.0394015682181	44.2526893185935	46.9667440226371	51.9264330842357	46.0267270899384	41.497004327161	32.9961899472128	37.8705483720951	33.98052050752	33.5647131571592	32.6719905369529	37.8017067228751	34.9043087878941	25.9742292947987	25.4829182115029	31.4711385643299	31.9399067379744	36.7879568960202
242	2549.59603153283	3584.95478638395	1996.09444429254	2343.08491253519	10707.5552400286	11497.235729474	1570.57050613207	466.173216428562	358.53101235466	319.030311249305	302.889507153319	257.827609637134	230.601085538818	249.451956623326	208.531753319318	223.550346081765	212.176031091791	208.4919698397	175.645025618269	150.005977262284	162.202811669898	139.959687751992	139.128933459595	128.878670116995	126.380878736527	101.316895028018	105.835955298578	95.86322070485	93.9807125977701	100.316233185522	79.1948579036082	66.9633715363287	76.3372239916813	61.5876318184571	56.9583549026378	52.5176120756896	51.3899025868617	46.0315609573674	51.8465336952077	44.3631629983499	41.106068572254	37.645074916743	37.5250786585576	41.8227815014948	43.7681955501707	35.5965183251276	29.9132882388478	29.5478117957897	23.5098490970914	23.5942233614867	23.7475188447983	22.2429968495603	30.9275257223898
244	3623.56113847691	2306.0589958094	2997.73695857345	2289.73354937714	8125.48911970657	19501.3706768777	6006.95246204492	567.858713034974	446.020744655728	408.928272899449	308.952004316238	366.275910467187	278.073901349346	247.922220281178	238.173345485871	197.397001168853	192.686163311084	165.215191691082	164.263598087816	153.494753724441	164.606997282705	136.973215541854	134.39648880403	115.106471372904	117.761870282065	116.001535700569	105.978241544057	90.4566128651929	85.1938596542216	76.7294335390753	81.0601879471973	72.1462913491659	68.4151441854678	70.2035744032957	59.1301432819581	52.8851077898641	50.0601358191196	37.6483098370815	44.0129295084819	45.2790519072156	39.5268539987512	48.5256211325901	29.9155885420186	32.3239106625869	35.6115112482324	28.6114000961449	27.6958882960275	34.1364780401308	29.5215836533223	26.7476737831567	28.589057154951	24.9610507690607	30.1329346668249
246	2814.54278092425	2817.73623820992	2596.86347157223	1687.97663174444	4335.4367900975	21635.9407593212	16654.3533925829	1357.33939320428	431.240357631328	353.225642846021	318.555656232071	275.54444869354	279.817932786198	267.120426657773	223.039010198496	190.778729408943	215.983380939257	212.746243701229	181.347680524725	183.443413025638	170.955867660542	144.786216908927	136.360164198163	136.994294413829	123.283556960078	126.01877609263	112.561941454791	86.7527602988183	86.6202349307279	87.8127991980956	82.9885669817839	67.7784870579767	70.704279810325	54.3776473948516	60.1156182605834	47.5228303546971	53.346677550596	44.4351792687349	34.198815115862	41.5186221413998	50.4633555944016	41.7822499509496	42.0961920837688	33.9542272786386	23.3429939935486	26.9580944443432	28.467616951402	33.7775226644037	25.973397740631	26.411343891434	23.1058343367913	16.3885179802374	20.3473363979652
248	3353.45682611781	5128.11404936878	2296.91942689621	1579.92060996499	2121.93496070605	16432.950234775	28926.4218725788	5475.2929542573	500.607454096062	353.244352914698	341.969638722473	348.709632735811	273.352211351808	266.927001198282	230.846401502886	232.697345038326	177.417451186668	160.154051203169	162.534926935195	140.426146164223	174.357106084737	130.936078288494	135.56413254508	114.172922696131	119.447998757885	110.060941748293	110.287938711473	87.2323859304223	80.9101897173025	70.0927278344533	77.6606293053813	66.8810484804895	63.0176113528919	52.1104075105698	57.3964664109539	49.5831175997621	45.1186331941924	41.0246597684505	41.9799387545777	47.225472068138	45.1542539982784	33.8399733419528	31.9953636255176	36.0767027498187	33.5363588283327	27.79258117753	34.4193536662814	29.9305386936547	32.7609936385542	23.5935878035661	25.3744685791451	30.8180665540165	27.8165576908094
250	3756.87348181053	4228.39784727894	4793.60274172866	3216.99558923562	1339.14170725159	10430.7741827824	36117.4718466938	13708.1957543462	672.018565141391	390.376256213376	321.060909186374	336.414712628377	253.369998406593	235.356412188115	220.552986511087	213.226851101311	190.308929048331	178.927995774683	158.448405588871	170.194714782097	165.220799490766	140.687670015035	125.114830378334	123.68442763419	110.722612628994	104.881295169822	91.4198463665447	88.3821097886785	94.568397366447	77.6780415083081	73.8265848489718	65.0748910152956	66.1346822911194	59.4012208364624	62.5437027298355	57.4488648745662	51.3444336110017	45.1761215048864	42.7863385438067	46.4727564625949	44.4245567420401	35.5860615643933	37.5432553057389	38.1149049849825	28.2544508574	36.8257247747715	28.0650767037796	34.973093720403	32.3726788174723	27.3386168255498	24.096508245719	24.9410848978679	29.3581901796844
252	4027.36834601952	3842.55182943863	3898.04778112834	3811.90372096589	1339.7443090039	3996.5127129126	34699.4836569632	33350.893019545	3288.4849516907	367.916060014657	372.663937751669	351.848009187149	272.095431291809	256.869231710465	223.272694180691	248.576101471928	192.632565105349	178.833545849394	149.932358318855	148.406614996928	163.764423841504	135.626271586371	115.153631725893	123.077385116535	115.878485328851	114.146301153088	106.955254092626	90.4807837791672	85.1315234601867	79.8269545922437	69.8152344099985	63.0840815152191	64.2741898831553	65.6501693321363	55.7483454503376	56.9590800452741	47.1553817701819	39.3566905648847	42.0099231449332	47.7131326223869	46.8185494305109	36.7808720796032	45.4750780575802	24.4421489243904	38.0306951964536	31.4710795200288	30.7272066683173	30.6908033486518	24.9204239133661	23.9028345047596	26.0031562553429	24.5695302446234	26.2437075052789
254	4429.81529000976	3459.76640779648	3793.16641090193	4575.6685679566	2006.77910043473	1683.52250017593	22814.6980828426	51413.7539921436	13615.7888229273	451.244088840402	333.297438485254	331.722647203138	279.910838596529	303.604240452418	242.680023258278	230.454100881781	193.819091365549	191.870759621552	149.026756937023	141.242741213444	145.212445418234	149.081278369877	136.361290480972	133.56863053416	123.897993271488	106.460813131647	81.7214021420577	95.2734565151931	77.2424370457525	88.7851484721079	68.3389812684712	63.0801759108717	62.5484091992128	53.4780574094488	45.7577003819595	54.473109824554	55.8381724589613	49.8732765101363	43.2305014765846	41.0872979181037	43.943837032426	45.9527198550985	41.2605191044427	36.4736041112022	38.4547160151185	30.634826639748	34.4163087631413	33.3902396673341	32.7441816770948	31.4559998333804	30.523414313942	33.5501439013948	25.4187244522257
