Wavelength	220	225	230	235	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
240	7865.23119230568	5759.82149105058	6073.88941753783	6406.25767497735	13573.4304151163	5957.17161527831	821.008585666148	617.563866954634	485.862840747336	304.224671410333	247.832006860687	224.588406933362	232.560373732283	169.958886495954	170.667155261983	128.252509761136	138.466744435933	118.848262711475	107.771926521256	113.6692892672	84.3253565862059	76.4889459219802	72.7821859677241	75.5760376486247	67.2327273311321	67.030650492424	55.7856078058357	54.8523083418111	51.680694723699	60.8865663715392	60.4807288293488	54.3870953428245	47.8275748146489	52.8649060888171	46.8204134195602	38.9060892968114	34.4140624117534	32.8691634157729	48.45092224462	44.0619106010777	35.6479152321186	40.4239008108786	35.5902844934214	33.1049593530789	30.896837875251	26.4649112349316	29.3473026855133	27.7473251114509	27.7947475781539	25.9820995864796	30.6349681635273	36.6254309988258	54.2657374778065
242	7669.12876313614	6140.23164114184	5182.62269747284	5208.35649891565	14754.8352306303	13386.810897432	1687.66428456132	526.437571494805	404.85129797117	315.058954411133	256.452971540694	228.518772677007	235.826219011692	193.743612142404	141.585797488151	151.950218605277	126.300023630934	117.300579824327	103.5216392895	97.9400309980593	114.817973957149	96.0230455255459	80.3744656412087	70.4907984084244	70.154317024584	63.3407016220564	81.9853373048326	79.1779565113521	47.7129024109268	55.563897978045	48.5981367578172	46.5106229389733	51.9789383247102	52.9635546861717	45.5825542762571	38.9006449372269	33.7860638983548	29.6748935181527	26.7448682298516	37.2112393201425	42.4068748613145	34.7128244994423	36.277609773673	32.510630251749	29.0475465141853	38.7805235767429	24.8369880644446	30.0734827759894	37.4034575109035	25.4690518369044	31.6303634847535	20.7096415789488	34.8134388466266
244	5852.70220351472	6528.28224557618	5928.60439004626	3845.27752390464	10283.8893079282	22187.8157990932	6176.12608561087	628.044354056999	500.618925833815	399.765885034071	283.560078100919	279.489595519285	226.511050194409	203.908095086967	168.565790254791	173.740788965103	147.055008525235	144.302373327554	94.8526932306353	91.1619199708501	92.8719314027681	86.7703454381381	80.4047816855361	73.5117986470467	69.2706276330113	70.4947697411644	65.9608968588737	59.8511661690427	52.4600159293933	59.3032716037038	46.3752601071175	59.3393985100667	58.1921097705676	44.7153535283401	36.4529767773444	41.9922646796609	41.9070548607125	32.8655179286264	29.1737602375117	48.355895404653	38.0976489757709	34.7194275623053	34.9839793968861	38.1392824664798	41.4148789217395	33.880155493019	33.3173628361194	29.471361544249	38.5277426894353	30.2117915356515	24.8006636362295	28.9726311587121	24.1718371945544
246	7063.96887971964	7104.52996715156	5782.25112399283	3122.84846272652	4495.19092802564	24608.015422697	17711.8890369906	1468.36620385782	523.537180475996	410.945849985118	270.338666146493	246.762691415032	247.851722252477	177.915858040712	188.664898692361	144.182924204389	136.751030158505	101.441515903805	122.359182678159	128.290538213324	85.5101617961783	82.1997778570788	74.9574707919829	83.6006509361743	55.8657399416779	79.3962475713554	52.4155217111105	56.4783998837949	48.5707769830243	52.5109503894351	32.4524906288998	42.9357652001827	50.5741921267536	44.7501292089421	39.0407964429765	36.442339979361	33.7442296696672	32.2337798878693	34.1797003490794	43.4612399935871	33.2273344970794	36.0186470237351	33.0552819840803	34.3712073597244	37.691488690505	33.8558463300811	20.3050623917642	46.214204547076	34.7669088604861	20.2844043897584	29.1809626525359	35.4764511327493	26.5483704162983
248	8678.52828166609	5950.65382096513	7552.31879509188	3765.49841416486	2360.37356746421	19692.1560835849	28728.1077284028	5658.17286310204	419.99620894815	337.509406686824	351.28481006035	268.872752478871	223.505460366663	193.737951498522	197.754125962255	140.062581749719	138.393829529571	110.945878068885	113.668124580393	105.856971537017	107.483527418082	89.0667766693821	90.0060684807242	74.5895399920874	64.459745970123	56.2038969229214	52.3366357167055	60.5525834384284	53.2440539270182	53.3297780089617	56.7506378412247	57.9435485209562	41.5931982391986	36.6283012032136	43.6284991090276	36.4536627045398	49.3916769972559	37.2781248802928	31.0635726343392	30.4119244681445	36.2626642913228	34.1217262124326	31.7910123568887	36.8873944733178	35.8412251993201	34.4898738813467	32.1665009133597	37.5823956398134	29.9447110001586	23.5972833381402	32.1016500401399	23.0337436335352	31.2661432608049
250	8065.60596598566	8830.48328503118	8295.00353064133	3926.78794107801	2141.63745473996	10948.2778338296	36183.7867125001	14713.0641058249	699.295964436162	433.705372668827	283.513241619843	287.257496069716	196.046014833384	175.47340156368	179.818270435538	153.929435384485	134.800725311206	134.81316808785	106.349217780671	87.253322348886	90.4216461415001	107.370150877308	85.7803144760613	79.4951267785088	70.2178730997399	72.3205451636351	60.7988827727483	55.7705664882506	47.7606690691608	52.4209374750813	54.4911272676948	51.5119367758539	48.4823361353213	47.4527939696294	59.9239543709704	46.276418997932	41.3545624926722	33.4551302070096	37.2400506218303	37.8109560288499	27.0457773762855	34.7476518788146	29.8864609997943	45.6634426965394	28.4422343330879	34.4971833242123	32.7548523083619	29.4869434644796	25.1397129839719	23.1246836164323	22.3942755389604	24.8290796154773	29.4620243043219
252	7466.97821026292	6725.4165689618	9189.58084245328	6479.62124944503	2010.90102268856	5811.74642784107	33924.3237068415	32193.0266289648	3362.7112891571	416.774161040531	396.578888431696	305.51723112996	226.672200753158	219.784866760166	163.858605206375	158.153749470617	143.717009359808	125.351991856021	103.396161728315	108.469939582808	102.675615404062	90.1804993467087	78.1557210147114	75.5836069867723	62.5526075415354	66.0485507488933	59.9782708355318	56.4857676589647	56.4113596507505	66.1771338291043	60.4272918364672	40.770361878223	51.2850019684086	53.5958635583953	42.9180453249574	31.4728032238299	35.6550718343215	35.9514312996733	31.057009117368	40.3109772774711	39.9512928379365	39.7655148944775	34.3486488925563	41.8826798398334	35.2462295126127	35.0704305457527	30.4630082256348	31.7905364949449	31.5673838129723	26.426599411474	23.8364769616198	30.8060815595713	30.0677838791849
254	10089.4793988141	9025.17334435129	7552.49249047423	9527.33847183896	3001.49175779079	2314.2579581532	23249.3603231436	49665.9012925583	13025.2209915149	439.069994944312	360.288676458494	243.06859906859	250.911098539831	212.069534910613	166.214749247685	124.381649980227	129.784323901054	136.229978083739	90.5697148464842	108.519254208753	101.496470230751	92.4847430024613	81.3951558801081	74.5432696798237	64.4768169914023	56.1715400749598	63.36850704625	58.9972513676927	57.9558471358677	59.406991314156	46.400460157542	46.5490866021922	48.5114431058483	34.600189033405	44.2842071573058	33.9932383505024	51.9201841474842	29.7113341082587	52.7853133787929	40.3455447507022	39.312901488964	36.6209821011986	34.9551126544862	36.8570269004774	30.277915398983	30.148191363897	36.7033021227108	28.8955675556431	27.7863814204463	20.2909126494388	26.2819166018072	29.5890147294841	29.4784300189661
