Wavelength	220	225	230	235	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
240	3833.7383263716	2697.05390879196	4061.58786545399	3292.67472086573	13509.8194581856	5343.23484714047	638.260430527972	348.846875551624	298.411257289352	273.400041024402	204.817189197437	119.068796325898	148.479492903905	142.552237270694	136.163602037775	119.467623486466	86.5049359455587	94.1040112142125	85.1393971639438	74.2987099957768	78.4160095951685	80.0921286714399	74.1627829226037	69.6749015652585	50.3320155520022	49.2113892019703	53.3608209655327	50.1243482099569	46.320822742722	65.5757567745158	42.0417369747311	39.4155944136591	43.0797743628431	27.8642583475982	28.7201777621157	30.3668792170609	25.0169907210175	34.1769379427619	25.5161355897251	26.0876749691566	24.6247172002421	23.9946064800005	24.1918258567501	20.6097030599463	20.9881167453736	22.2200402629846	23.1664374777693	26.0727699936398	22.5332061481832	16.1139036393185	22.2819989539508	24.161269651094	26.0363182960704
242	4234.01702196397	4423.46609054339	2403.06748175474	2632.73101438653	13415.7785198408	11909.2767963676	1411.22039792824	348.794996420691	238.328220069978	227.652345215412	236.594786643223	186.293454812407	176.385235148412	150.467352819393	167.926239698413	111.580139818286	116.388011764442	74.9157690613975	85.2136162424383	87.5533998480157	98.2028891846078	77.7525731901302	77.3005183423841	68.670081369386	47.5244791580369	49.1241282507348	56.7694880578126	39.5848602361947	43.1273944654564	45.7086273545798	41.2982804549345	30.1061552675144	37.4434735598176	32.6048959013373	26.0796907237609	17.9519808993234	22.4929611914516	28.4909723008337	29.1914316520636	31.0225062960251	25.1935524175374	18.2975492784717	26.710781784534	28.7369287658213	25.9272566606033	23.4342362416049	20.341256745417	28.9243529685159	21.9879565073706	21.8038125668276	18.8935130450897	20.0298420863715	34.2632143883195
244	3226.40236530789	5585.70065152943	2101.32610169344	1317.48817204796	8969.94494424026	19648.4783458815	6642.90523337919	544.048201501443	313.215951342318	256.234362025341	273.08950482931	204.941717179349	176.033868282525	153.292489745223	117.888317032108	123.333396378515	98.8605372514258	79.6274715997094	102.607955182514	92.863811451581	84.5793096896355	60.6724682807562	60.0928492801836	59.6887411888946	71.3633432035743	50.0573089895376	43.9976892059006	50.1422530383107	43.8921069651175	40.3963473664927	38.3487025364938	44.4214909295527	27.0698954216932	38.0364907294655	31.9226042925576	25.9966018961926	25.0362417496877	27.1928860536945	25.4833183948561	29.1600474101179	22.1474678603074	28.4068162321987	27.3248690970412	24.3920565324197	26.5584928606933	21.5982358974175	25.9512217712687	28.9295998288979	21.4212515974255	19.4245038478305	19.8419800177797	21.2183643539626	21.2693502182328
246	4233.70857610731	2503.64164233488	3457.64927589959	1892.0823537796	3490.00322677537	21991.7883335488	17115.3483952081	1527.79804041609	342.791353308519	245.218929336705	191.177223144916	294.055329076333	160.741442053274	158.442262159919	142.872548651805	123.414185958594	72.4199126940478	100.251612250958	85.1542664144526	77.0154118009073	71.061434305443	59.6005804230011	68.6184592991398	59.6394862600457	64.6061323026067	61.7909797444689	38.0476536543581	38.8694821719398	47.0882645602722	48.0269327060328	42.0783043700978	30.7980858209136	30.5807041677118	35.3754824789534	34.552888545013	28.4522285355863	29.3983759417831	29.0928187819928	29.248081485442	29.1988525844576	34.4151662104024	24.6297380769494	27.9639781506857	18.7505675348758	19.1549999375466	24.690079950721	31.0618400880508	27.2279721036794	24.6611976123934	18.4664973443596	18.8823441949616	18.2763611899687	23.0320493221072
248	3425.26886033477	2888.62461319162	5256.70245519022	2219.23564822408	2073.67664440128	18036.582886894	30480.3458613421	5798.85793211835	312.659812869329	307.157772329796	286.897623120218	264.435144476596	238.284027425832	179.404733799265	147.445021078015	99.632202571572	79.348068519397	97.1909297601265	92.3096064564689	74.3557399999064	75.9330991936645	74.407747649137	73.0481892802972	57.585373188727	53.1902424282903	62.6097053071594	42.3162046274361	51.75285284161	35.293991168914	38.1326113836418	37.6424276573676	36.5601518921554	39.5370878342544	33.9786275210549	39.8502982828807	26.6281139075362	30.0344450041426	29.0868969806514	22.9895317063054	35.3729298047403	38.7212601749917	34.0674971107736	31.8104327605056	21.257542434826	24.7029996411881	22.2155927732048	24.878994020683	20.2570458252447	25.2287292179088	19.8861638721489	25.7036243690998	20.0234234442876	15.3786509508985
250	3224.62998905136	3083.04443618906	5258.20734874635	2551.58694030449	1369.64457734466	11527.8285508517	36199.9269013609	14972.7992749805	648.040007762769	256.486825661775	222.801714687454	268.214744870672	182.283210872264	190.263618141871	129.38204272879	111.575635729376	116.561020699688	82.8877204067179	76.4818627257753	86.2197874225284	74.8413974136384	81.2453489322107	63.4119161372956	60.5615178086757	45.6446972459934	39.3464700037062	51.6944615106986	63.0616756969025	35.3047668304662	37.3609242658964	33.8994201095171	40.1533611406734	41.6522283633483	38.0110463470083	43.0367566141198	39.0223320436832	35.0257773022632	31.6113312627772	33.5680390823402	25.4311789145528	25.848197828152	28.3958057956419	33.1059805840103	19.3697665764723	22.8512079565554	28.3789751154194	28.2221127147356	22.5703494610622	20.3796706991763	27.9667722542035	15.0144159298433	24.2059949836856	22.4765387955647
252	3027.26602394541	3275.83993967185	7214.16726010862	5928.6002628896	1369.24683538932	4997.32211774912	34645.2205962506	32587.0010819561	3199.77548130655	336.246523187692	209.258233058182	178.647279071261	182.384895070971	150.518086059071	115.648424382608	145.303355183212	100.629606991053	119.44492281164	99.7603798438561	79.5408615315466	71.1932637523778	65.1877366083182	71.9219387291525	64.6640889724528	44.6103842187409	45.5834610043316	44.0054035126183	46.9110987812913	43.1701503594275	38.0997061634203	47.1931460055544	35.0980434743876	37.4838202304915	32.6215310190008	35.8613311923379	35.8885803801974	31.9080000917158	34.1876384099015	15.5465958043964	24.2085055755359	28.2905906373466	24.0055907230139	31.7905122395489	25.0093731421584	24.7130014357575	24.6953314969896	20.8849207089486	18.5357256732385	22.4943053211717	13.7622746675867	21.782609177692	21.8045223313148	18.8990473453119
254	3626.57955165163	4620.598392254	5556.41760114089	6662.93884528087	2249.96246683284	1490.9187556385	22696.5789391541	49536.0059449186	13129.5208859815	347.346207446216	255.206739271623	163.716525696112	210.464948817761	145.167991060281	135.914839581346	131.550484915497	91.7644142649504	87.5510151184444	86.6077443291505	86.2395019527314	96.8162773013274	77.8889556426399	58.9839917463447	59.658032156523	51.3248738721777	49.2140609957231	39.7687486622415	46.1652373632815	54.1562603996651	40.416997679466	33.2474802282416	32.9600811677324	36.085710118119	33.997868330437	28.6836806410486	42.6669917767482	27.5234041675842	24.6760991491388	30.4890366886018	23.6085788424069	25.8013700176225	18.9519897799078	20.3414366530461	28.1652516959302	23.5071818349472	26.551751724364	18.651993698562	20.2676680620645	27.8556217193575	20.8352088428525	22.2672691311092	30.6406056787958	25.389991241737
