Wavelength	220	225	230	235	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
240	6065.85581042244	7703.1983735279	3589.7030408985	6369.58985531779	14054.78195222	5337.59953567838	1026.21596982129	522.059379904444	349.057692592073	340.285807785426	303.569357902923	251.943649378604	231.095035066103	184.372517555253	187.71427001342	146.973591572032	102.098738838209	117.688951937174	129.62112420881	91.4735953965745	102.99395656223	59.4717346063233	74.0597648818615	66.6880764400314	75.0637829191129	68.022878370223	75.3811518811892	65.4620929863386	58.9165193217151	38.8634885980176	53.9766099231505	50.9323529888587	47.2776594205154	42.1624142169687	41.7743788074945	37.15280772695	36.3157144087709	35.3911187786758	44.8027313059407	40.356567544628	35.0553901561915	34.8004732536705	35.6317680647172	35.692533953294	34.0315284361303	36.9853778198039	26.0000393172211	31.2623655589791	26.2593010489811	24.601833561563	25.2111572219503	39.5717705176773	41.912822392448
242	6669.3459598566	6739.01312508266	6135.76275674956	4488.32564102651	14967.4571640303	12084.3388075846	1647.90087566303	500.911791877611	467.424008056387	380.219897366929	312.613594626307	259.794743971465	185.257419920736	197.616268912426	185.30167321467	147.014818916703	146.070164933677	116.030614686026	92.3524204825744	126.017819066394	107.830880802357	75.4467630617881	69.7706947725618	72.6829606111709	81.7120001233336	72.4031482507545	55.8398198932469	73.6120296857042	57.2120109180023	55.6788805433949	42.0605663232139	48.0195176480266	63.1989739168146	46.1855346181007	46.9619597550737	41.4864559267984	43.2412076228263	30.3513121765126	44.8025230552159	37.8444877555959	31.3920651038789	36.6506854791995	33.7214595607298	33.7433306050233	29.6840845000069	31.4675122844206	35.0403459216852	35.9207394002803	25.196290492568	26.9694452058333	25.2427816633883	33.0754252335893	41.9715388532499
244	5052.68907587128	7121.8761302915	5985.54051667892	3344.31505286839	9973.26614644936	20519.4744564849	6477.91037762768	582.322992902509	556.022500749151	277.931570627012	308.686940648622	237.284008264172	209.603539227356	239.42253640442	156.167104031647	162.813722084705	107.542520724432	124.061887304595	102.57415566501	112.792621415857	94.3968449981177	92.5588283740726	83.7171164755453	82.7516958208485	70.294373869954	60.8056799488311	57.5408952653033	76.8667417887156	45.4739019287811	54.8458482074615	50.986716739936	50.2340855519093	54.2020348518409	55.7483470448308	47.5812679470127	40.2135097053733	40.6869653411259	36.7101730209014	37.9228052894045	36.0260755572032	37.5802165442969	34.7449003061854	38.1306518179234	36.2962930363655	35.2207902325784	34.4896571375463	33.9037002856421	30.0969708339525	24.0802241229063	22.7175605625526	28.1907369117247	27.2048100043498	34.2723279997106
246	5253.83707737034	4811.82728112118	5091.42016511231	3263.00826227592	5084.97681618072	24440.6551946619	17501.1871054705	1862.9327274725	408.315568678138	294.928310422554	290.308055813642	251.943036795716	227.97758775347	181.78067162696	167.360268566052	139.016565691673	147.963292223123	95.5238432230926	89.4796830841167	84.7397002489215	91.8610099629632	66.3805381394314	69.7489850161036	65.6622840505091	70.2943037580244	67.1420882985795	67.6966056903393	63.0416621389088	62.7226453724829	58.6562306069576	46.5729082938587	51.6610122667942	49.3165134214751	49.0189970545017	43.0865563474424	34.0644055225755	49.4406194856921	38.5695297883248	44.7621229674504	45.3859954559204	30.1411380471156	38.5619271023245	24.8194570571412	36.9250066308587	32.1562805464561	30.84867408571	36.1937190140568	26.071024461156	19.82882090796	24.5856369327092	26.2032070274409	30.1506402445666	38.972344713101
248	6469.61694587229	6931.68357560637	7779.70643640028	3268.21431543765	2277.73612092858	20235.3634538163	30172.3259489128	5999.24601367843	363.440192040834	442.860936486078	326.453520239725	289.360123091457	261.772648573426	202.815041825127	156.041537893265	113.032641755648	135.512497464913	122.432332886937	118.300614029283	92.886205995857	89.4641700557863	99.6602832924157	75.2285932122973	82.7743096174456	71.2148720398717	71.5660443660321	75.2964657935424	52.5815171765671	55.6998883857657	47.2904383449287	54.6055653553873	46.6038037535885	46.5446854917447	48.1888664455997	37.2296451525851	47.6299421310634	44.4395802119425	31.6264170609778	36.7267574615924	31.0404258968837	38.7361019133957	33.548947975097	33.7404860845386	36.8738517835935	37.7332778750242	28.9845495685275	29.4280162866101	21.4313276373715	28.9321087611703	26.0000535700482	20.3932736252909	25.3987808378292	28.9087353574281
250	7882.72038869476	5584.31868311784	9274.31322068435	5714.39996412687	1530.79903776683	11361.1051822135	38079.4046264503	14745.5059037899	712.063038630623	329.297813854539	276.605995628472	267.202849891696	240.48422286105	200.072176253147	174.348352461823	145.079290621057	126.805073550282	111.39347199958	105.260896302295	106.110862925035	102.918412911993	96.0544889808396	88.0342274328432	70.654415013592	63.6682642181607	57.2402970746778	83.0249102175929	52.6031453240805	47.0793503297417	53.3582330747883	46.5001477117747	48.0048969529488	47.2197303243116	38.7529949605169	51.4987329488954	42.0777247851218	47.5388253303382	36.7251277535375	41.6610988540251	37.2282343342914	38.130827587681	27.8311487933493	39.4116177552395	31.2846824510805	39.531544069016	32.0602971934957	29.9367408434641	37.0441442886208	34.8327717379544	29.336303665186	27.2057389158887	28.9167884685831	33.6663371776061
252	5451.22238656012	5581.72049136408	6287.78415177357	5710.10695919059	2844.13793288043	5912.77930275419	35520.3610942471	32417.5159678047	3488.87039849315	283.411555616519	253.972456324517	314.833145954697	283.910090965224	197.47691763811	181.037516432638	154.921523407149	151.709007628679	108.138172965148	118.333111659784	100.698761979962	94.334653084842	89.1650275482988	86.908082112541	87.91096843742	63.7060805304623	60.8540870063446	62.6148579472109	58.9654666210092	47.0266516431421	57.8942106660031	53.1700277208108	48.77406242997	48.6112785133058	56.4493789027736	50.2376240289109	42.6883609761386	39.4056613968491	29.1186235988321	45.3755606961033	44.1033873529906	31.4270140007248	37.2904322311858	27.3638507833939	31.3091864091098	26.6046149827958	37.6430184166233	34.4764893520206	27.2061451893593	23.5865755514621	24.6118379192865	33.0131637445213	32.4892267807101	29.5604471488779
254	6061.43406123756	5004.65071749608	7788.92677498981	8156.93029192339	2930.30631004502	1908.51459128917	23999.2533321511	51518.7858551733	13081.2274589999	522.158775223383	308.2274272438	233.714005655878	249.551898245994	184.316756990677	185.337760939574	160.818569879565	140.831567707323	122.364457694665	103.915283195985	103.460660052148	93.0760555158189	82.3143049602376	84.7092044975133	64.6435367863242	74.0596280433392	86.7867856879595	59.2291751954753	54.1781433622184	68.1790716806621	51.0695334165502	56.8111774864343	53.816558595327	56.2894997117941	48.9668486499007	50.9285399481295	37.7208768972785	38.2016569956132	43.6234383879694	29.2378928261891	49.7576322688886	42.4664887183463	34.7236680565471	37.5466633612379	29.3736656793725	44.5041114222374	33.9574248587783	33.3739573111141	31.259465000768	25.1850031988033	25.995416883181	28.1617132105346	25.4387969510052	25.9666592986573
