Wavelength	220	225	230	235	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
240	7250.19509267096	7482.35996152591	6959.14384900254	8182.71253288913	16831.8699344951	6746.5342436631	896.186253364626	648.669275734581	478.499855656788	406.006130702881	414.314182006498	268.692562596925	251.295770655218	237.969047065805	186.642243186703	177.430621805705	143.677263773311	130.200155837552	155.401002501345	137.421681411719	113.655525434239	111.888014678674	94.2111618793719	103.698221456404	89.0174451269093	82.1835928071661	84.438826566852	74.3047944048328	70.4733435714028	63.9039238616736	72.1270168201681	55.050881501057	62.3472011574583	54.257728061439	45.5261281843041	40.7867620024229	43.8127724819618	43.6267827728486	44.0836834595315	41.5758947115009	36.8775417409291	37.8980183327467	31.7879003284753	41.2337075013792	50.6878678804515	44.9645486449969	32.2103097045436	26.6143003560031	30.5117290641086	24.0987274884455	30.6813087168556	39.0420341245943	51.8767457612944
242	8678.7412227485	7293.57860475989	6360.76651743785	4579.03440597105	17100.8475670904	14705.8389781592	2140.57316219165	638.879903794734	559.463748023721	388.784116953974	306.47282163939	243.180697619649	223.390791467039	235.320066937798	213.398021727362	187.66687427235	164.708974834152	126.776439759902	135.193017987484	107.073983238416	117.373809904965	89.1063362100673	106.079633682203	97.74023638832	106.199819899549	82.1638280929563	65.9451632737253	70.3267079145687	69.6472420897082	59.3794737407312	65.5625361229441	52.2499076664628	63.7935179181693	56.2981293377549	44.3040628346823	41.4662198187319	43.1753708943182	48.6930168578113	42.2275331611983	42.18080184062	53.4612705771273	39.770431801422	35.0161538830939	41.8401647511397	32.1611977875235	42.4879665069301	38.3728230647779	27.8049566460466	35.3462035443576	30.201740087425	30.6715138029134	34.2749363785207	43.0438769451043
244	7462.49064235558	7673.5761671478	4143.08952175741	3529.32077699348	12488.9414290382	26003.8776157712	8601.98886606901	547.671966023115	508.318853761864	422.883335096923	369.505623703401	284.080900760907	254.376927614236	227.675847716806	229.276701265404	146.113952249327	150.730369172419	131.50983549516	166.858127083865	129.669402902439	122.325039768565	118.850786715223	87.8786387208938	85.7072785398911	90.149439356061	85.6986912847169	59.2068639478951	74.2350269387271	61.096392736042	55.4960879127095	54.4908263845135	58.6646069652319	64.4537615083323	55.0131418500062	49.476934245991	45.6990934350605	50.0772913986161	56.1808102428692	50.9631978326751	46.5390578084736	39.3280565607012	31.5804259462086	48.3596574167781	45.6493831113158	46.3269503552261	47.9859503868524	40.1287603687286	35.8673157056497	38.5036998273279	32.5423713389228	22.8655167414081	30.1714683253181	34.1997434270773
246	6042.74794409314	6904.88981618568	6369.98483548361	3291.65689429352	6136.88536312436	29790.0576676458	26446.6337963191	1641.33025084869	486.15935146917	372.406182295791	274.695968384756	291.156303324851	270.018036991699	219.4226545064	213.55632417643	177.635302284023	148.894881412283	145.901468711919	126.513582028421	119.066918005792	107.512543148709	107.373604612119	81.3690228199743	95.714552089453	81.5164631133511	96.4500911020742	77.7704881088919	70.2835764467801	74.4113333793892	79.8317743946127	67.7030511653806	54.3415008812374	66.5408998741677	55.009246589014	53.3445424121681	56.2598568385811	50.0961483194504	46.7705009810919	45.9477241504696	42.8276437233558	49.8539786927841	41.7241517282082	47.0679359893707	43.7731072384456	40.165917797491	39.3529724201748	34.4218846401379	30.084442949381	32.601381296629	29.6893014155396	28.2533651050756	37.3157511544486	33.6308140311542
248	8261.24566301628	6907.99477372998	4002.43048866269	3372.6796677131	3479.01237146452	24400.9941087584	46212.516061533	7588.44586528975	523.071361696732	467.443525685362	319.717339693655	313.074214449532	290.720159211338	232.84071692808	193.395005835439	181.66691086511	157.626019614329	142.74791992292	158.323811277421	141.590868899657	92.8606819603346	100.457075923194	109.173840747699	93.5724360985373	78.6312097694375	73.2312319990441	84.4688038638886	82.4351108462871	50.8759058186618	67.6742701046569	64.0790971893509	50.0769536296342	65.2040806096021	54.2793405332806	45.5733019533217	56.260997584387	46.9323626383858	45.5116105546233	39.1255709684778	48.3532944870835	43.0524137033928	36.0411062702539	34.9999139341304	36.8755594386693	35.2215402998155	30.7969265671984	33.3097155565521	24.8656257065566	33.1605180800284	31.1614533490017	26.3214967089445	30.1734084451081	31.8174660697764
250	6849.63600985931	9027.50993774576	6512.07722464853	3371.40997252767	2148.5374566535	15809.7937714105	58409.6755490591	18136.371563068	818.250153961182	445.435830118254	373.995737103178	312.816556281072	232.814197117795	222.394338010273	159.607210661966	140.270209482755	152.505701563585	134.773051158753	138.173445769695	108.411607555454	107.668159965571	119.861312745401	109.339690018956	110.752781189935	72.9886369466082	99.8688858918692	70.2030545309676	91.2061621592777	76.790500579888	67.7428860280469	58.1664395079051	57.9781910994633	63.7883123907181	55.0004320585398	47.5148329953034	48.7855288776099	45.0228703484154	43.5632734387326	40.974750698536	40.3560651305689	36.2665634124067	41.6898099869982	40.7244319696442	37.5208271834089	35.2390232922766	36.9759575032659	28.2432075621967	27.7977455145006	29.4493000639739	30.7037679784283	30.669547989433	30.1655424857809	27.1117720262411
252	8266.64506174859	6523.74536086525	7546.97249306017	6259.96202212799	2146.59797037742	6075.80755244459	56299.5309500608	42670.5955908882	4264.59196446156	467.780504963967	342.532746847808	306.062201282129	300.579022530131	250.945056984844	213.611357778243	165.968705953113	194.492916291176	155.347042188374	117.846482204675	112.37062592284	100.282276219687	128.036413617413	96.5134361753563	94.8422143971766	93.0160129325779	69.5910771340365	84.5191919454211	79.989351643651	72.1213424485051	62.3410446709764	65.5192961293575	57.8858665873384	63.7709292293071	48.1980396372286	67.7115668601048	42.6732566902278	51.2911985149852	43.6076585645821	44.694568204792	46.5834450501808	42.9847479214449	37.8810912635976	48.3210717139025	46.2977179725688	42.6555472893572	36.3059199877336	28.2347534315506	32.4169513803068	29.9598421940634	35.3755051602217	37.957016476155	33.7088212293068	34.2518809326274
254	6656.69669118473	7870.27583151944	9622.83710891317	8671.24524671746	2792.9992960547	2623.40097308718	38034.0857468698	64047.3379025029	15618.6004931583	608.820933637565	360.255103829543	302.515958130455	269.561231442512	196.276304902667	204.426890618785	195.393001025024	142.036105245976	131.488438928779	138.131145387212	125.809044534204	130.714808787895	110.684485100065	123.172598199603	101.741964865105	96.7683648727576	77.7215960190338	69.2618832190264	70.3028817170634	61.8261630098605	67.6285836100285	68.5125422627512	65.0988494693518	65.1827751197497	63.0664364524554	57.9603262889162	61.1771309407381	50.0891387003203	44.9001157375045	45.3085315724161	41.5763526057595	47.9557154353036	34.7360420432106	52.1310356743343	49.9853982002243	34.0137997695226	31.9915916610326	32.1605664217934	35.8784979725258	25.6683939039718	30.6411429288838	36.0289948563797	36.7053561208982	31.8679300631777
