Wavelength	220	225	230	235	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
240	5821.89833726839	5881.9298175898	4165.2049031488	4497.91728854852	10500.4221001233	4586.21670938227	846.328856959089	647.82697200064	553.838249123201	421.818486089607	454.079977362947	346.08464389379	344.570639219516	297.504248991822	249.310592154954	261.020702910514	240.214662726538	240.412972898745	212.395877270379	197.839877139965	190.325983946056	179.012049243768	166.742935944958	158.303896988629	155.683667403118	139.087606662788	122.948552081119	126.063744260312	108.50568231218	107.732544962952	92.1644696363548	90.9535619573661	76.1145215534924	72.02979167851	72.0820533141129	64.0966314501863	59.3678553539511	56.8915920125483	48.5561738076659	52.8054321327387	41.074006528843	46.8381080061842	50.2483964758968	43.2357740994946	37.0145847849142	39.4110779720965	34.5728715036516	35.9998886179632	33.7549282565456	26.5365713312925	24.2467702846244	32.3859972246419	39.6963402324894
242	5623.92360367845	5172.15860170607	3866.09291120347	3422.26847607334	10679.9985336022	10445.1729668549	1439.68024323015	645.18401480034	490.095433264794	397.398408983863	374.949954446642	314.366873102693	329.687680434948	282.531692118511	264.217425605327	227.345746409368	220.855709585829	225.197061118939	221.688842616435	195.937501271956	193.254346303879	190.108348557811	159.936377519108	164.40706157541	153.520989118521	142.394133299781	126.345007630765	128.904305626868	111.690389100114	105.202329388425	95.6172504757752	88.0629137541846	82.7722556323513	71.8657216405794	71.8077550635099	64.0647717657028	62.0398471881345	56.4747874245971	53.2891299523434	49.6669443722844	47.2152519546463	43.4692937901484	37.0498023513621	40.3705384183357	36.4018517611766	37.3284302129315	38.1345583068828	36.6043237044981	32.5235165121994	28.7311872075967	27.2929152263448	26.7245865500057	37.3797824042178
244	5959.90679270928	6385.34054067823	2973.45350875133	2989.17688224293	8041.47149485279	17122.9408978898	5408.72530101135	641.188198027561	515.002080823192	433.298423560762	412.30493690812	388.935491463449	301.818927719284	284.167498133341	259.09540769877	262.368606549253	270.270505232814	229.54435449252	203.866622128619	191.607822441981	207.457708273022	168.204827731379	184.757831197202	159.945679000255	145.028379053908	144.443047045798	126.857736465942	131.497204613384	107.822283110944	100.664598619509	102.698162779149	83.102727835009	89.922133809223	79.247893796708	67.2692662225412	60.8279028830098	61.8308714790722	58.5258082184428	48.8992745175603	53.426353189796	44.1671779538687	39.4611491369996	43.3299418391073	44.3019479640551	42.9417495062834	37.9664042801015	32.9015015706212	36.7698421775298	29.6480987099994	28.577010047268	27.4390198153984	28.699174151327	30.8894403577026
246	6291.91636333276	5687.14155898862	5306.91260791591	2694.73731374347	3547.46751011904	18873.4024469387	14570.1952298661	1454.01333930499	627.037557978055	412.234263386104	395.646281751446	343.67763436071	337.632090551812	302.50045438018	286.152281520345	244.369587188858	225.632507344436	242.668652590141	209.809524718781	184.15089573439	198.902684382942	178.37257341381	171.341824334804	144.983005367147	150.658824026664	127.590754726361	122.682308001704	112.222618541337	102.825257062561	104.964596829898	93.6562196580387	88.572358732922	78.43925943888	84.433564863613	78.7551363841645	64.5077438560594	49.4341963816879	59.3692146026415	52.0097982118167	45.7624494616335	51.8785238075465	48.7045552380539	42.5405906997676	40.3689952271951	38.418553177584	42.2460180134286	38.5266220541248	36.5583233774673	30.5659717575632	32.5227284239627	29.55322785277	29.8483493955873	31.0924042300405
248	5693.19956840301	5494.40780877078	5058.90017679386	3071.04234225607	2284.69009760732	14919.8187280782	24235.0989016544	4924.30644151113	546.089260366678	450.100645294124	396.029566300913	353.485911451973	302.042708449136	300.825617440032	256.801142272584	240.022763814943	238.40243770112	210.552449847038	208.582511326064	206.526839337865	205.002566032298	162.519809633403	173.088523516871	174.393497801102	156.609882416374	147.463851656286	137.502504282186	120.21426214299	113.164519083672	105.875776954531	99.0264211750547	88.1689391330678	80.0055620168789	80.8007811060245	70.9866464217723	61.1891339193722	60.1925296824017	53.5400073756057	56.8018179766781	45.6293340412654	49.0202991155709	48.4862883769665	37.4606645020881	41.3839924350211	38.4462772124187	37.5608704747518	40.7406490595039	30.4307174702917	34.1104680171444	26.0493863433442	24.7211071098186	30.8302783277247	30.7046470977046
250	6029.56624113785	5555.97838971191	6492.55899779685	3287.24929195335	1752.82322349286	9316.812419518	29730.5908759201	12812.3225840133	746.8035116672	444.58931288219	413.518585966496	375.338407109196	301.163169021359	298.074721975211	274.873865272279	233.359295383543	231.246844965021	223.753239503607	208.974296257352	224.051076106014	191.06408710007	169.635299008095	165.592659493216	154.376255275358	147.49320229791	155.167298858419	117.946016085477	113.748432781085	115.581330255952	108.229615390136	95.6570245705773	90.9347729539789	83.2395279206266	74.7830376864702	73.1207085067144	61.3792460061592	59.1406643204529	56.6451066356296	49.1599252771081	52.1450673876457	44.1631882823787	43.0511930007109	39.5925048583894	45.7371692797024	37.4392256656843	35.287420799642	36.8064601501544	28.3642736005419	33.0620274218904	28.1061046360536	30.8214334043485	29.667115766194	27.5695805130899
252	5966.17265068151	5305.11360094941	6098.92123288763	5008.33193112456	1852.1844995389	3863.37967975928	28305.1120462526	27089.3124722449	3139.58636833783	442.712543597724	465.987651582026	348.397517556884	337.639534420757	325.827639224353	300.808277927564	241.277512342945	238.429064484325	205.269467335617	226.266759856686	182.894060937602	181.561060639325	177.17850024916	176.175892566561	160.33025348533	149.696651621379	126.429663845008	136.55368245279	118.867891031307	114.745904970627	105.451208772365	95.1200170250914	79.6014002653012	78.8459511990422	77.047441316409	65.8286075867485	62.2711378046606	65.5858349342781	56.2611408621973	58.9930577466999	48.300323331421	48.0252859490919	46.7954134691667	46.6762838589182	39.9035992147925	37.5992426513633	37.1461375337623	37.9612441235098	34.660163730307	31.7878076553005	33.7659662989646	26.8170213702404	32.5779131063731	32.8369035405145
254	5892.9566956161	6647.05911976698	5999.83298208556	6034.54830165261	2514.36704754505	1989.80039324513	19191.1166846821	41264.6300668941	11336.1363298142	558.037449489577	431.459246976679	375.632496566383	342.709032956808	336.562904837917	253.809142558465	258.791913519036	259.341530777862	242.094815066926	200.228148082247	195.930843366607	198.992358088959	171.877419675129	173.507395102517	158.8142782441	146.90211561413	138.283800462727	119.891455929445	116.199538608887	98.3873739604387	96.5963885383356	97.5452169713739	96.1343359258239	80.9713557860465	76.9910834446285	69.485622299225	63.7096019152374	62.4567016349424	60.2227152869592	50.1943435371677	55.4127521233841	50.8513606140235	45.5591019222	45.6833993139984	39.0905093692235	38.435615160554	43.2177348820243	32.7186002738717	34.8542020711666	31.9701027833018	33.1266232027649	27.14200580739	35.2952026371447	33.6328876513913
