Wavelength	220	225	230	235	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
240	4227.62598603347	5957.73643032249	4038.13422456656	4253.30977865303	8627.46830391994	3846.1574112602	934.334183701313	632.049209214189	599.813801478016	555.847242469267	448.891950249784	456.118040466929	421.76885975674	375.877580066793	323.072211405185	366.864968755204	342.560549970247	352.632169385892	334.059598951298	338.428150539821	331.420882761495	298.128913353257	270.140773763943	299.53869661339	289.106226886854	286.735203267071	272.888946253453	241.878925128614	249.637203133924	219.055924350245	201.256932403591	188.056203753458	186.536726773457	145.142294277907	149.105401386579	122.473788033211	132.329698379936	117.581092836342	116.127705415343	102.260410373149	98.9657598015093	93.3588326585399	79.3401177067421	72.9601172262999	74.0218475803056	65.2664016562745	60.3849854214195	61.3258415397075	52.4660489542195	45.4562134661474	40.1953594813255	34.7493198820488	53.0296622691123
242	4630.06533594043	3842.58406391316	2989.68118732087	2453.28642567198	8100.18705350744	7520.01501899095	1221.68192274742	674.12528668511	518.632793000654	476.654565360023	539.154635484787	410.821208149622	412.740725397032	378.375708684446	402.185727669544	337.178599425598	343.024864713073	347.508262514018	337.258893967082	339.660437337644	296.615190040735	279.739778468988	320.116041952653	288.228858631249	306.127117304999	275.86091157985	270.199610009091	243.079796097687	207.270795913811	225.453589777791	201.636097848308	179.630544734548	163.626931199235	163.335663046006	160.463479573299	132.319569555508	115.013436099034	131.42882800887	114.762024830249	89.9147233311538	95.7435291633176	85.8097747677586	79.3221021216497	77.4704189957238	74.15016513183	64.7259794993056	50.7048451992505	53.7672037354901	52.489061551395	58.6328416448169	50.8199482468374	41.2002296358865	57.2588852550579
244	5631.621963159	4225.6130912299	3137.81781585144	1883.93831178241	5087.49632213161	12486.2580176895	4434.16979331256	897.560536741064	674.865867606176	521.313884978026	435.209535769048	385.282240417728	375.51140028196	389.286064241234	390.804045549023	363.279889120693	306.176719382745	309.395053557592	311.152142807225	325.324109892609	358.63913638524	297.820784792989	288.37662295235	303.09875688848	269.591279377103	261.490240266802	261.286584997891	227.569623229431	233.193820361693	206.456850850445	200.901648610767	174.043615752362	178.729974003508	161.492034488428	142.676210746916	123.601949037637	129.335985514768	112.389365943995	106.180969125711	110.445723365422	85.9329100729905	90.2780117026128	72.3720920605155	69.4145491613553	66.7220025163741	56.6729052737116	59.2569184847579	52.5456281188122	48.6877957365555	38.327738411325	50.7780152388261	50.6299767132385	35.9920406451373
246	7844.9362923926	4229.57097658008	3887.8917409061	2456.69160734251	2806.82789461659	13586.9380763237	11048.5639159907	1233.62814494536	607.697653760016	481.351505315984	553.260080446909	451.920193665079	388.027289087102	407.67590719114	381.660461147979	327.130119398819	363.758621787953	366.992925160271	352.493502100343	344.4390945042	314.279583800105	282.274700800065	307.454888551519	264.165752544978	266.731006736658	283.061407434812	233.471910505685	250.046081384611	206.980627693407	206.988292162727	193.713757835767	202.402735419841	173.061461203042	152.720112389191	167.953316296799	143.305947734098	131.701350595815	119.826712716583	112.543022877029	112.737322568065	87.8292304088625	90.7752225418147	78.2343096063128	67.4323175094917	76.5028085550752	70.7691865059833	49.1266150742251	49.1348419105153	55.6867068115066	43.5414140074697	44.0678291970614	41.8717246951945	45.9761862876324
248	5638.91039268504	5189.55880484118	3892.21762341125	2370.79699900795	1489.18359339356	11092.4185712119	19795.2378612659	4168.96775508826	585.455090480783	634.799324232314	443.71628448586	463.162128662863	421.870254867114	394.255380424108	386.64963528636	339.235265651361	367.059544545724	370.285724402272	329.237021109269	327.943820324921	332.428739659809	333.932367480979	339.523615761718	272.497558809041	262.611911510591	269.199910987453	240.725513599575	252.025023357414	221.632864316894	181.690042574915	194.687169938574	188.735785114739	160.065436657397	169.472796623001	136.611385003186	148.270806881839	119.981816795418	111.139503077018	106.200169555546	92.402996462959	82.9784180289719	99.6108142974009	89.5642086210189	73.6367476733561	61.7911459495812	76.9011739102073	57.5110057572824	56.0562812243763	54.1459603008629	43.977150789626	46.0365651951875	45.3800636045142	55.3985920097749
250	6235.43447196171	6531.79985785939	7170.67328682469	2862.98633596972	1664.96253350235	6733.69865737698	22967.4288035936	9996.54618007995	890.187263517673	561.826639339339	448.778758607677	459.586123626142	433.628545010013	320.778910941381	334.57577142936	342.967670204107	365.574034219342	325.520029530199	341.241558350047	317.393382126167	303.462366093275	327.478326333198	302.435259393513	284.158364656522	260.667355584098	258.996927439339	230.47203863887	245.578736024871	201.124153361408	220.581457502372	196.765639783644	175.27369543369	162.502350587698	146.333697258854	151.930907385821	141.543914557726	119.368362063068	120.76967939962	105.489423711478	86.2130918927621	79.1514069969997	94.0887433913516	84.420633983261	81.1773809018031	68.5546840058104	65.2929562865715	60.9704029061172	62.4193943128686	58.3448849986369	40.691450394962	51.8118071030328	40.6539459202626	45.3884553264187
252	5232.78884233595	4804.06600234297	4183.93749863495	2783.38878277678	1576.62652780337	2610.67548475458	22696.6566187502	21591.7213930939	2587.85480212202	555.48215313758	494.702355224235	399.652942286061	341.675664119285	378.880351626949	422.095077506829	367.190629208021	330.872183066082	344.366081194966	276.745386035796	338.623565995819	306.044674575215	297.936790661316	254.212077261472	272.026055389845	254.173629757666	260.811199276997	256.934850686745	260.604433607313	235.399428379717	197.383033478693	193.684961474498	169.83538592972	173.305082021558	175.466264504813	140.860615369488	144.51612481299	125.502003855605	110.467216491599	97.4015138998286	94.1743845896384	90.8914430696268	100.340123174976	86.27513744076	69.4227535976759	63.5408316370167	62.8710957667168	62.617996739495	67.6746724719719	52.5233960135055	50.1867400069096	50.2826914050429	45.9046378434255	46.6663532933342
254	4829.09511100962	3843.87490223254	4936.28922121463	3519.52334949579	1798.43481141446	1669.69010545554	15673.4013574955	33410.1249286828	9533.04658985534	544.168540300073	389.692794144101	437.041815366599	412.814085177656	402.200606067619	372.759812915881	403.021062517854	376.033897059019	352.716766355453	352.687949738074	344.46249292533	309.422270067042	330.890904106745	281.768562694858	278.027387428087	280.288184325837	247.350349813246	248.889501028323	225.729171929038	222.340438266645	205.532683980476	176.611528864652	189.594308823279	164.816835453948	168.30320954506	158.207483709446	146.413313642797	125.530668076813	116.048257159989	96.8907473641402	90.5404798548745	87.1605268240198	82.5923499574178	73.0487951830689	82.4538668798862	71.0207221797901	67.7146991261369	55.8193178121229	61.2592255542624	48.7662181932143	46.8022997256137	45.4914658093471	39.481971811541	50.0974520042329
