Wavelength	220	225	230	235	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
240	8451.57776627501	7472.730504053	6387.45778473267	10890.2215968653	34449.8811041219	13557.3608417613	1585.55796190183	1143.9656052018	741.565300485874	725.34403505921	724.197790307309	551.766214624802	611.278082743052	438.690268350963	490.725702378795	419.474431710903	360.504448811242	327.057357278801	291.068169837086	316.268984693825	354.573125944461	318.482253092856	288.453432468534	255.958818730796	252.249573047856	241.358744916311	221.418179868769	188.2235096839	198.240077246181	203.932928776937	163.789582361963	155.558287677087	159.630080634945	131.097858771362	116.859392573807	109.176867820309	104.896434046486	109.747512469326	82.3747973825752	102.651799994561	88.2773767261463	87.4442670932282	74.1531752544307	77.9044092777284	72.5970850631521	70.0615852251123	55.8013823468015	64.6215757814694	59.7826008516756	58.8887109660658	60.1391247919852	70.0833168808239	75.9166020523087
242	10670.6080993926	7476.35385918836	5206.71918211262	6850.94999253525	35739.734598921	32539.0324015553	3812.39343983347	1142.77354198702	844.930291334081	899.516405262537	682.994232161314	614.192022293683	535.125520135904	522.85278109811	473.048288822206	403.785653073278	435.391073455277	391.852679072298	283.907013403101	345.394315222711	299.250244526084	303.775795940352	292.95165330159	268.190937659639	253.353284301715	238.4526588561	218.007096686429	176.028795908078	193.398473335045	179.62277530107	165.149215668444	148.975224052928	130.689554399945	147.590492032911	119.642920660511	108.56040130287	118.507843354281	118.44681071931	99.0450901892834	98.2822714030329	67.3855193691499	72.3937194958005	76.7009996072682	87.2173394656516	81.2974240884747	68.1158087404751	66.5066960155021	72.7177788611257	67.8475807083616	53.7353652752381	52.3291412701876	54.209660162322	66.5313338213205
244	9456.60828397827	9393.72234838913	7282.71190151452	4118.53957077692	27337.6897804679	56274.457238728	17019.0408960788	1012.63495981834	897.414068125845	652.491608754808	858.301319910134	709.677236092926	495.554596696857	568.765127691599	493.728301599022	352.597884615071	365.247085225416	322.176321865732	346.787744640899	309.473168356433	294.790337009775	268.622924470386	238.015833513901	268.16218007287	236.364996351639	216.002269270588	237.399639314757	210.115488206436	177.933918215178	185.672621930067	161.393993003349	170.615593373266	141.011771040703	139.384219548609	121.461539919834	115.787259680489	115.926928396069	81.2458648263761	91.5744830293664	98.2767454939439	85.2633765219891	90.7946011212638	96.4693745148751	77.9032821421891	83.252863412666	69.4193092171258	51.845023680499	69.7771917193419	68.371153944879	62.1788754198772	47.4918806126498	54.2258961645265	36.5195209924454
246	8852.36696583775	7869.05060725552	5345.00884307095	3387.92658752488	11594.6391744986	65104.4827590714	47540.8527788936	4040.93629615331	948.059250081218	663.895653486631	692.742669124551	591.972445634143	559.663718515919	501.583231505453	482.35404226274	427.450583848191	363.785629520097	323.929988120683	341.337147172128	312.335624246069	335.212245785057	310.301972360175	278.793352323942	254.83249500244	244.692014818764	218.971468231985	215.863645545198	179.721275670991	184.309130855252	190.279752021574	166.620751619214	181.142946540423	133.367467468842	138.610499307646	134.347140955183	126.241538557944	127.675696873084	96.2838773991132	84.9276336192841	99.0620122617052	84.1286253044327	76.2607737196658	72.3307065357635	74.129924436587	73.9275212958771	73.726340080927	65.856906812372	53.689678183419	52.3227592696315	56.5226136837833	48.970173313153	62.4638167627897	55.9245050346699
248	11475.3478425445	9973.48121645442	10255.1184756513	5722.54772723462	4571.43868400131	51285.3267643659	81094.2076159714	15843.0848953574	1080.64104575717	679.548399007249	615.967842731967	647.468051749772	565.712337906795	533.226811783975	450.398583195841	439.137178396142	414.557772482668	381.06283943598	313.966806848326	315.226760285212	320.231080441941	285.388118171179	270.060385925707	257.980950659916	255.35343971428	251.259442858667	218.970393092356	177.755338060359	198.900591355339	182.75574629814	177.840875069474	143.320131368139	165.251839265845	135.080483856605	127.817023967717	101.066100484141	101.033154956031	88.267333269264	81.1892175116713	97.1484334955908	98.751738860253	86.8791760379163	84.9555353048969	66.0502104558444	70.2224534047221	60.2075394398222	55.160619378601	63.4732146821796	54.458367738561	58.411460306686	51.4091882802193	60.6655812649119	49.4652406849282
250	8248.49052761895	8437.15247411059	7733.19017452771	4275.21018982576	3153.49241734805	31377.3048782041	102711.692392245	42404.0229330032	1863.30791165716	747.887572173942	741.221414129829	658.46781855868	587.535358092337	496.114741868688	572.313069182755	435.788537095685	377.450166673217	395.166311823723	365.139227113993	293.883224007039	291.060715876677	316.531789529109	273.276211166365	269.228730578905	245.693776781961	212.647944000448	220.606572741025	201.089336094073	182.449206956597	162.051332634974	157.770272839271	144.077111341344	134.722351332922	121.739680456002	119.511377286215	122.154389633443	106.100938131333	97.720278955837	98.4335699570181	97.6748961339723	89.4973965484795	96.2505508642477	74.7518157835311	70.4494270704603	69.6318308305408	63.9077426007866	65.4911805315354	62.2759217046957	59.8402574543884	49.4822031115062	56.7044732985525	56.0246996088015	57.0583717017514
252	8650.40954518855	9397.01242460472	7721.90421835651	6859.82011053334	2844.7689297324	11352.1277148133	99594.4192579703	93210.0678895604	8889.93817273728	766.117022537506	796.125969775609	686.858346398134	547.404212677174	525.424052606353	504.493278192757	431.522636098937	367.087170019239	328.708083941538	310.952980064463	333.650869158753	309.42385128289	278.719636590004	260.480075879532	258.901185138538	245.668691682511	217.902126913649	229.677601668889	191.480688789817	162.999082427285	163.755309340044	143.1873328574	149.80892812292	136.020826227259	125.972253345391	117.631079894252	105.919437939729	112.197900886727	100.755858060962	103.907912811576	95.1249065300704	81.4914147853892	68.6386772511861	91.2783723455133	54.165695433454	74.0105954427325	74.985128361036	67.0841542833338	58.297736204555	54.4910987644452	48.0636613449836	46.0973191344581	51.2717965592105	56.5121953415592
254	8447.90800821511	9962.03900716576	8772.26104578002	9105.75061437298	3882.57166177594	4210.7181072822	67687.319182953	144227.374522074	36313.2058137051	1152.13739705875	688.030813228325	714.28857438814	657.116311883085	587.472935088057	482.225113431537	443.039247134662	356.785247458515	312.984329042547	295.492935326955	333.997009868022	296.03913272936	289.84709749812	276.484446482912	262.152685041091	256.129636483534	195.669497413774	229.928956562407	170.044020299416	182.75330580579	172.133989244121	155.656256441837	138.914730591593	116.107134939986	118.300625994804	112.302660582112	133.632740028418	122.10153954654	94.3803994437557	91.6110227812272	100.820807928266	87.1557474487486	86.3740431267231	76.1605712461941	82.2483854001307	72.6652868440071	70.0291964892663	59.677624508376	61.7661333633617	66.163561436169	48.9848813361627	49.958596666879	64.7832943325518	56.5563200607784
