Wavelength	220	225	230	235	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
240	6254.14479911483	5763.56152504521	5073.40275220704	8275.16038216696	25864.377700478	11272.6538274735	1455.0653758384	893.84103212425	876.631494960827	868.072698803016	733.828431950943	711.249718079477	606.023079027189	578.560457607183	622.688524848982	550.558440733296	574.821280934491	538.237723744495	526.813722930184	502.844013586376	515.775619212321	518.805537887731	462.228519027381	470.619310215037	474.847129129971	427.34872659462	443.396487794043	389.862699647888	339.369960228897	349.79035491539	327.822453849161	324.012120647653	276.767618651374	246.202762905871	260.343859358546	203.979889986794	174.483058516328	170.55907712678	175.333830863481	166.941319881178	134.253168437062	140.338526776085	127.444424242248	109.127079908421	110.100692993554	95.2470142030148	102.00147022327	95.2389771080867	85.4034076605039	76.3512995975462	72.6337592539969	79.4918800505816	87.694941607322
242	2822.13075027239	5573.54142819316	3283.56186048609	4953.57380717226	25940.6677116661	25723.6422725095	3220.29695853802	932.844494383913	936.124362922806	867.271652883769	766.634650349914	736.833610867252	655.384203593322	627.685080434111	613.981060981682	586.400181302969	509.782369142285	544.878626418589	496.891143871317	520.599756112598	523.538095795655	489.187469589713	507.852309253208	477.286222553513	426.344355007817	420.400056845058	411.688083601229	380.186394942334	370.388353629938	362.786771318271	322.861426569424	300.995468330554	303.66850277437	239.551239869432	214.482275195045	205.860856762281	201.553794883584	179.391685261409	166.653249767568	143.481713905894	131.202328477949	138.457790419061	129.300828996418	104.117820088424	87.5201085561536	95.7923150492745	99.080782953432	70.923129403428	95.6221620782456	87.7774234956725	69.1522330348551	75.2926503162391	84.138760493778
244	4836.89803544834	4032.94508619712	4617.73676858536	3006.75948170305	19681.5477928804	44019.3712311001	14208.8927264374	1126.30906111479	967.806122471702	732.465544498833	784.954680899809	648.02496372567	625.106590072504	650.920474789985	636.36047669355	621.629433169557	537.769034217217	588.863597372679	518.327008857511	500.439888698251	525.808517089719	456.436960813073	501.186600373382	484.88829560969	447.017144963365	438.79407397238	396.051029195041	395.427297491668	386.36815598258	341.229639342702	292.529275265584	296.802201773697	262.815293269463	254.435641404021	222.344885152059	196.738945053491	201.236529128614	189.288346374872	163.963138697807	171.413043425634	151.425668598834	126.554315990753	114.918046842933	114.614983309697	110.8567408782	103.742774066424	90.5366553163694	91.1139000214048	82.7264130131405	74.9353055898642	81.6908265458391	84.1483658886194	72.935134770536
246	7258.36827789837	4991.24454283101	5666.16969224259	2108.72802364894	8521.12781562162	49762.7232599693	37947.2301579545	3169.16088436831	942.712347032862	824.284266108666	848.05873525093	715.512610504749	685.070961826574	662.205971298186	579.445043419295	530.098778476403	543.3426060013	612.986797105999	538.515898178323	576.422501573739	519.20551293865	449.835149245924	533.974403707911	435.095348996009	464.796872787099	424.880569476773	429.672328330746	396.866793994128	334.757156556471	349.948613019805	330.026573847772	317.505027201667	260.854312225295	250.337827104548	227.842645827202	242.462629517843	189.39046543373	157.425343885422	172.149753501992	175.023925564429	139.706537332805	120.842801939908	136.427961011579	96.614384246847	107.132950904508	91.651480155501	97.9972914199661	94.0659221394502	84.3337744566414	78.2042075838644	66.2619381999622	74.7448937273966	73.5730980133097
248	4440.4758239987	7679.62021432192	6706.57065307488	3652.53946622009	3473.01704950111	40706.681084599	66474.7025357885	13344.9157642156	964.864718446178	896.555090431131	783.90190947158	803.538005821718	673.271080650248	654.573569839943	694.358023681322	598.662680310418	549.587596691717	527.634472579918	520.126928640799	533.16051770495	513.400292157025	466.438784755036	492.786792153805	453.095345903708	473.25660447947	398.607563750229	378.208820228011	373.654218845096	348.934581398534	350.23973995938	304.001861153315	313.066652548513	265.456697104979	253.614871673464	248.115550300179	234.114537892263	181.206594389528	177.732122477957	161.76484733355	152.579261667489	148.788993295537	126.469065837193	126.712101811102	117.06131300697	128.109695965596	92.8889388454905	98.6702741947313	87.7651639961471	83.9084010213152	80.1218570032777	77.8595324454829	67.6362996691968	65.2765709535261
250	6045.83105282524	6335.6682032091	5660.90222539536	3169.48099695355	2128.36579744659	24189.935551473	80884.6179166868	34318.8620411078	1712.30072297812	850.550294325275	820.978178584989	717.551657901395	753.634256907126	698.030851913193	670.976179614897	602.233461735262	613.274971378122	548.974887473099	542.618228799738	528.222485618332	517.440753442494	473.304332235481	464.74421636787	481.49716711997	468.947881200612	428.971662754324	353.421228134902	365.036167791444	336.381578901053	334.625698709796	338.734004752749	295.28365801814	264.20431678952	278.424900594924	243.138685731231	216.149137252394	201.360527794748	189.437428599208	164.542448551142	151.444853809575	140.397284550015	140.401331295905	125.359375358512	122.659460676894	106.58183761721	95.136645604334	92.2978039693108	95.1592834124766	77.4032435424902	71.1631444723398	74.5331871805007	77.097619754891	72.9060259325875
252	7259.68258722423	7102.23968822314	7158.07992079077	3652.98928711926	1651.83605334624	9331.38463181458	76240.5722134306	77694.8432291394	7962.17242187366	1031.65155339112	779.542603128059	703.78138357013	740.901980942822	730.110772736145	568.624594930641	591.810370889114	621.844273049725	504.955442886283	562.459939604281	474.807017796511	492.673812212628	499.836832118124	493.5011092044	456.138319851382	445.9358974225	432.476712663274	387.580694138794	368.223286558164	329.744147554887	307.685168562822	297.711760134419	268.573284958218	264.886728659846	246.196916663784	242.243379073295	222.413210055498	198.260547411082	180.626161786644	159.188451067776	147.292516184993	137.566505364831	127.161537958703	107.165819018224	112.238999247192	94.8039603928066	105.682179335018	88.896554421502	87.041102823146	74.1354964882018	72.0300501825157	79.8292464594133	73.5404853395733	70.5632354273967
254	8878.85605220988	4612.96084036214	5069.09937843261	6410.25272329111	1997.07982956296	3097.79367682904	51774.0814933416	117718.064578827	31557.6462009131	1111.97098210999	900.734720488252	758.493964969999	721.965230261235	698.560852601052	627.052687181365	618.214171326967	596.884896595343	575.446835899211	573.730859562084	508.411049897169	484.364270937377	483.255130165428	475.098270548089	463.22405572923	455.787928151168	420.946497183029	413.282230100679	369.918519572123	354.26285265049	314.044211029494	290.735092436861	297.234458060318	273.069988411472	228.861785045607	236.439907901211	216.288886958268	201.18264868583	172.474453661489	158.53202667832	134.159972037023	142.18490119584	146.572712168333	117.388596930365	114.604608534391	99.6893516481712	99.480435276605	86.0945664167805	89.3874099202528	91.3096081937531	83.4534226233292	67.6687687505377	76.5194426201694	72.3923667245004
