Wavelength	220	225	230	235	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
240	6428.98175312003	7472.50513383019	3999.9690278359	2817.95054019219	1463.1768665104	1097.42922188754	717.110612466423	575.942543900006	352.853842078185	415.091194086774	453.267663805556	367.259154936685	405.459495583066	440.739244952494	432.611524042572	447.201674604972	433.274768609237	503.508026327988	497.582740552778	531.386832267703	538.510129111177	525.543479978208	567.568808497805	589.958669827359	588.158992406387	640.606189786935	562.434663199952	572.204311936318	580.136281794306	544.331014596534	510.797104995365	503.479613933992	531.65043165702	530.670620293859	431.800063059969	376.327017125672	358.799685243444	318.212805733097	350.029300088131	291.510828999636	279.594244492995	254.857563985169	204.072001874823	200.655428733947	195.06937232423	202.669300954032	164.279320869209	127.311188937634	144.423470278986	137.033666574175	112.981039448044	140.890918587671	81.0796225078416
242	10870.7236248867	6321.22755545533	4893.78689823234	2902.78961729991	1464.61070161359	1289.54061671989	1074.71396333986	444.24691566634	448.325072494447	392.895975560601	462.404423551678	352.397037134318	411.632184273994	419.786367385703	396.655562906651	417.597509638152	438.312453446016	429.543764689301	511.623085338025	539.94946494728	605.292507210463	573.094945048681	586.124843987734	603.053576472312	565.213201298127	599.366803903992	578.938826971107	586.388773416417	542.067413907303	586.989939355598	521.232287350813	518.482105365229	535.722246918932	529.396955581418	441.97273223732	359.384265609147	341.634098242375	349.880302284627	351.422041036771	298.377602221734	229.742020840353	287.812519559981	207.183242009067	204.4090847423	194.073539493876	193.25493538936	155.762352182161	134.736377923326	134.460692993138	136.310049754407	137.210228268585	120.206029520944	85.7518127246661
244	4828.30218256199	5368.1792310538	5935.00241372004	2741.2035502489	1982.93070397849	1646.89904494952	895.15868242973	555.741092001812	440.454559304096	438.099778109409	403.639785550222	411.326002025948	401.977923891959	375.339545910335	407.950084112644	407.239615897908	456.088994722189	452.993334685318	508.259634509497	528.009526058875	531.358726334318	579.962169036767	597.242222181854	612.720658559158	615.416092676541	620.263127245124	553.781462563312	602.549253764067	589.939965221578	536.085883765146	520.63861271941	481.656853947737	504.724894440766	541.851756410011	463.17205154913	360.609765204158	332.55246071521	318.898709697402	295.076690652446	326.441276413902	241.032404123021	259.955114155012	249.057441716596	194.252041078176	175.560544514957	200.475913293431	178.945991731332	138.312426368619	142.658907939999	135.083046441872	124.623113030876	136.608612310387	90.6344186165482
246	7841.87301411794	6707.16461674779	6812.68011105871	2257.60869093822	1983.61621450237	1669.82938365057	1090.28920725302	686.723323249193	536.04442795815	460.077995722442	417.308094662714	377.757060575831	326.41648474439	383.253945895471	425.866283505088	397.537685211203	531.53693761565	482.927786189786	487.11723280046	523.612841614378	487.353362858316	580.091682389006	632.709522926138	571.239594088087	568.756596860455	600.042020960083	568.924130880569	573.229459092628	589.975593214236	566.935550179525	509.848651676517	478.265661608071	514.368167282327	550.922000573724	480.18699544483	361.279765281602	305.765736228664	324.723984383574	331.920308350988	288.294662881513	240.889940163618	273.681873046893	212.416546525835	195.523921816378	204.375291180134	192.125201632077	156.675206453855	131.614694522655	132.783683917839	138.362642226205	125.477348663258	127.93782521155	99.8428679356848
248	7241.18179618371	7279.06889060729	6526.06281434859	4432.7869196924	1679.54928737504	1575.86268157463	1449.82266850304	566.162971856317	477.759846500241	494.178227898994	413.199154483995	421.690441970722	390.350928322435	380.663592269572	338.304183797579	417.683249928883	490.666706317116	462.860262967726	478.863949053966	554.322491368513	567.123070912253	575.107071906575	562.918133553733	566.847058940364	569.983154749831	644.373011066383	598.781820061297	552.811166131103	531.49375660089	525.471529013981	496.583309331898	503.00707114432	524.841096446646	550.831289131542	450.233024609532	391.532174587707	343.364380230628	295.802136107459	324.674781334558	300.981963924966	260.220261966948	258.631775218966	238.706244893154	203.273748926086	206.975886105921	198.969989354757	164.93703524243	129.703641316563	144.484798443138	129.391000411935	123.103148973667	122.673606864559	85.8056562136253
250	8446.20824284584	8049.29132597533	5782.53324315293	3787.6294995048	1680.93173492369	979.153291464455	1566.16718039766	1091.58286589452	440.653841350604	454.671836616839	503.017184534749	400.101809460134	414.486485550107	352.199529589222	437.119665730713	426.594624530197	410.524779620945	457.816177386427	496.870389919847	586.215303064706	508.711954570407	609.757900847139	585.921736682862	570.924993532549	581.543953103887	611.480033255627	566.942563873775	558.235356841866	564.994708633359	570.406795173125	530.612731491399	492.609497629534	508.122559823562	521.914540686928	443.284532494886	363.425266609872	358.074660845317	300.920909946482	342.523562641387	272.820480917328	234.628753405128	269.946513806726	212.187108072756	200.426209301926	196.620844062776	220.236556803671	166.476956598517	126.176955949511	147.686513481451	138.093123481767	126.492979217052	114.780785947876	77.6130126623909
252	8844.78218267769	8819.44084297114	6821.16850899483	3302.98233359448	1637.25323241825	1384.18041972218	2043.64965167472	1433.88434160504	601.925957316072	454.761143020216	412.726958594356	433.047564906393	454.526323100261	450.879010294587	376.824997164997	409.848538234531	412.448719784918	499.169794014269	497.089961942704	545.528242687005	523.544051668158	568.683441899395	565.512527612875	587.970179632433	603.452400800823	604.817062914677	629.804898150997	585.897819722867	588.862162525846	529.366237575708	515.265363600416	514.847516344858	519.291016845511	527.384363555895	439.696653991422	363.583754050299	339.021235256237	306.204484275076	332.108532266984	267.795932820977	256.92971464707	260.931849430683	221.331263573605	200.533087496922	187.259391656109	199.437096324321	171.435598322246	128.504009201437	150.56108108228	121.567463662013	133.279764972355	126.094184117989	94.6497377616603
254	5831.99217820865	7466.75726118262	5190.31950285703	3221.2724719572	2409.58021956782	739.682933420271	1329.37770976836	2260.05697165185	926.357736162638	465.728329653315	404.219911157893	465.818017486657	369.255655379318	359.867135535042	380.711507419497	360.260526592074	408.36383724459	485.142462987069	514.592942338441	515.238597338059	555.244967750584	542.244964260211	547.707383446098	578.477228633755	570.355416701343	629.7362050508	586.718250512234	539.023197675331	597.896568969511	547.77833174008	473.273202219774	474.211050495199	493.785371702593	502.55287013458	439.713505964624	367.182627205288	350.118258459689	327.017427916313	330.015944582597	281.915124081894	242.54069221048	241.104564074868	220.519386880674	200.035667447036	187.227500366804	215.981175137362	174.483599961321	145.410230554693	127.64555886915	140.262495434173	122.103141538598	122.05232283503	84.0812621165545
