Wavelength	220	225	230	235	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
240	8450.21379915323	5748.35291976086	6650.90319485675	5754.04110063786	12678.8165584447	6160.40254728241	847.618501488428	503.921701626825	367.057526454165	415.074475459926	305.013585110016	253.007928901277	228.70210576548	190.019301855092	161.078013345727	137.650236941002	97.7899691096847	115.119847313059	105.933638477312	88.2289186465197	114.403454500671	76.0845280060678	74.675363295952	63.2172886825389	62.3194257637381	66.6572667392598	68.9419240927886	49.8820383098244	55.4183065219276	52.295639921605	46.9461580990689	39.2458330023453	43.4956746256469	43.2681059223066	38.9093293469438	31.3875642549606	35.5300523537571	35.222520948017	34.655573290418	32.7659130173974	42.9074393883935	34.6319282100269	36.1409794156819	28.6593083076495	32.047276450688	26.396982240442	29.263563324582	35.1819090756195	27.7305649021433	23.0763619191484	27.1877195868676	28.8908835414432	40.6008863863077
242	7851.24160381407	6138.57399028754	6064.28063334408	3760.56337305643	14944.2149362314	11264.8181530004	1770.21190531459	645.8670589211	315.333328117121	426.201064718803	331.937421483454	238.509598444803	222.61735384449	182.340436751772	161.119690036864	125.742630785921	127.253336123104	127.775744939656	81.6252935680185	98.8119447166221	112.159768632926	91.0181334059467	72.6421919428046	52.1443977576038	67.1084438601113	57.7401414070481	53.8851982582326	56.2820834238263	55.35880991859	50.8129983586549	52.853098543199	44.9224198677521	47.6226831331596	49.3473375233792	35.687649755843	41.2304076544166	30.5442044830557	28.945953828527	39.6001895914982	37.1054973914588	36.1484957802281	35.2742230620375	33.5867584479501	31.1205010425593	36.9164223281968	33.7660652448256	36.0037712316117	27.091066443922	29.3497563769545	21.1740522969379	22.7929575592287	31.2225748508359	33.4856555348164
244	6650.64516068903	5366.2394565103	4438.68647490553	3525.28882068899	10006.2606185108	21009.137547146	6141.75425439845	705.946454286322	461.935965548227	392.158597620444	287.084025343723	245.847926190039	264.953658836363	216.31478513022	203.705340881508	155.264368871417	123.899147164235	108.950092214866	113.1855439958	107.899034063269	115.609704621413	92.1474364589115	78.9198826602987	61.1917991953349	61.3430402537286	73.7317233130477	60.6702409600628	61.0604917273574	65.5606062076864	65.9996031257984	48.4465667443973	39.9017843913125	45.5600689785265	47.3376532600981	51.2779514493223	45.5796041444671	46.0764851737353	38.3809879192184	32.7855330880578	34.6173339749026	31.8732465424087	38.4118019338671	39.9191887183724	29.8771662773565	42.4588735440984	40.4607003045546	23.0893758167796	35.725095886512	33.5832185679488	27.7633800172408	26.2037427288558	30.0680800832854	24.6889192162839
246	7849.32021155682	7856.33298443828	8420.49089878681	4236.59140950186	4832.26346839657	22482.0521623064	17216.0190216199	1551.71069309947	521.248270283398	319.734078333973	331.583066648555	256.578929589221	207.144849905982	208.363796338383	196.756920883749	157.240174992556	171.222615124622	127.91461589397	118.880330710674	75.1110112240647	93.7209755294618	101.22787941448	68.2458424447249	84.4118909086241	72.6602491223343	60.521865921216	52.1659646162296	55.4941443489785	46.7810737850327	49.3002185170546	52.847502956445	49.8899007768506	42.1598941517375	44.5871241719662	38.2559854110786	44.985141198189	39.2332904895297	36.4958457271864	34.0501229799316	37.0476233545909	34.3268874745837	32.7253500458047	36.1192943134546	33.0137879763962	30.7903087885878	25.7878359489336	24.7667170995708	30.5714681287242	25.0470715859469	16.9605551299889	29.6071234159873	30.6516420219698	25.8905094272541
248	6036.04092691072	6135.86552207227	7841.47485674975	3999.04173367743	3243.60296455736	18541.9858037856	29611.0123553121	5502.65844577833	565.388719413469	403.593480887062	291.737430727086	242.075680217702	198.683899169272	190.027283823551	183.57599672728	157.095504673273	125.579508307061	94.6836318049951	111.607043781709	96.206282283184	114.435683932822	82.9041933847954	75.7324379881494	79.3243805343073	50.0030834502348	60.4729873635518	61.3801518112242	51.5476503806632	53.0049820004033	54.5642684015874	39.6177808935123	49.2656680330872	35.9100720834973	34.4564787481146	44.7678088702652	47.97774004689	33.6710151822078	38.354024245921	47.6876845335453	45.1586419083684	31.8665424211701	28.9512770466491	36.7722524001709	31.7338184651261	35.1129749184621	32.5550630350838	31.4956516766416	29.379989044314	28.2236132259266	21.1852449191089	25.7289390088051	32.4023174511147	25.8857040408108
250	9662.63226209073	8049.82988776775	7540.74448690901	4162.08206514044	1666.63096415518	12651.3461888873	35868.691982293	14807.4996564632	733.39966677421	375.3086228297	354.456530160019	275.379746450937	298.897386679248	200.712118720435	147.805692012568	110.079922660954	132.696786666963	83.6907928681754	98.758028957452	104.010677171096	97.4553378655951	88.7236100003751	75.82989409273	75.257313340372	89.7880028443638	54.2127368370891	66.4346008226438	49.8434158182691	46.8441111482463	55.3745348403161	42.6144475051524	42.7635465125199	42.1012301047757	37.8785398126499	38.9710323574485	39.9973055229841	36.1428676811288	39.6071827827815	30.9092190414732	32.138382304297	37.3643817180288	41.5543173027898	26.0097249052548	24.8830591854219	24.034922782285	30.6623499022832	30.4204058164263	28.2388964537513	32.0302444766236	30.5740488318567	29.1105345150793	29.4601801814105	29.9853783495184
252	6039.98775248681	8043.6238066697	8715.56291331296	5034.82894076861	2948.10992539785	5599.29527898567	33740.6893408054	31996.9178945359	3303.03684704787	437.292792387663	363.228450828436	234.539150324509	268.280118447999	164.12124664437	140.868069971613	169.114739317079	151.870119384392	129.326808161945	96.0310068264511	102.756270988009	91.2956465898099	79.7180057073323	73.6762454139828	77.2184860716045	65.1809799297261	74.6163172263525	58.9849486852576	61.0784987326726	53.086205316117	40.2104515348499	35.2400295035625	38.5092547610358	44.82691962648	47.2845979271458	38.2391604809633	29.5522477712027	36.7490112280254	45.3131288222631	33.4221157592266	34.6206623954617	37.992722139794	40.2500154028528	41.7823082616716	37.3755945279765	38.1607805161841	30.0645271326055	28.7039858358787	30.5767574356449	35.2322201702123	32.9214744416631	29.1293874613054	27.0953035050872	33.509269622915
254	8461.65252834412	6897.25779629929	7242.52681422413	9283.82132826364	3033.45500666051	2181.17779515152	23805.244269318	50072.8291911846	12616.0074947664	437.498694056271	376.673699349577	315.584845939317	243.97461837911	200.563461562062	170.098293139651	141.563897252533	123.894916689655	129.402486561325	110.111278302846	93.6067213237366	101.111765182006	79.6339262296477	68.2748374360486	72.3258881032042	67.9712201209814	63.1185217783466	66.4876061110306	50.6503029396448	52.2338977933374	55.3191948253284	46.951679266742	44.1916834302134	51.8158337881052	44.5944341941847	32.4433323949164	32.6302415329613	38.6540738309265	42.1920067155801	43.3272095828359	33.3906774391641	30.6819687484968	35.2694011189861	37.3660339387075	27.3841215951945	33.8408375840902	30.7119836782268	30.9612179961756	31.7055137948172	25.0593929402043	27.3175276769934	28.6376675818554	34.1935448115295	28.7936023555117
