Wavelength	220	225	230	235	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
240	7655.86260743602	6331.8613150666	5647.65715140796	5081.34700192485	11895.1437117597	4608.12639447456	865.134526210782	464.817012950031	477.341907955323	314.455970322671	287.264696728675	271.740786328787	210.653004723046	151.277376713492	147.898157241159	151.740450825551	97.7760442133535	105.700440309921	100.226549847118	100.26695028657	90.0536388828545	72.7894027976513	77.8629453492239	67.339619422921	64.1556846076809	63.9961490421987	63.0378960927987	50.7151752286764	54.5913395399118	48.4964687765699	55.0220865240805	43.4899688998322	33.8527904310603	38.4710808664013	42.1499652433974	23.9950554244892	36.7068153244663	35.8731067259075	35.866075219043	37.07840271638	31.2162363498027	32.0413885578768	32.9640829437653	27.3653035732406	30.7828097505722	34.3467068947231	27.5796640672213	27.6351134770414	26.1151843544002	27.324256948907	22.2608997795405	38.8381581794216	35.8078401868868
242	6240.46683506402	6328.84796574844	4611.40807315349	3791.99705705887	13113.7170981149	10886.8250538707	1463.31470806645	546.308573544739	440.884849264532	325.61825710921	265.21178484618	268.442312866764	189.131332208005	187.791615580077	107.73601889854	171.382028672199	90.7460739162593	126.257963565979	111.907362446551	89.5569081216094	91.2366391152743	77.2763970682592	81.1533621518512	79.3291968388505	68.8552800413867	64.8767528280599	56.362745507573	45.8734851739797	53.810941072521	48.5108566741181	46.2634298349716	39.2142458031055	47.6325097572727	41.2390817662268	32.4530163720086	28.316729066147	22.4086974693437	33.9554103572822	31.5404520026888	30.8952480392896	33.6239910095372	26.4152534678714	22.8151317778245	35.5039693651749	29.5318439640236	26.4260189494273	15.7681491992435	28.232135558338	26.1367701295403	22.6513321705726	19.832550235959	22.9511657687682	47.6386905727718
244	9866.82579521158	7104.26184626395	5797.88819510608	3633.99158007156	10594.4250163996	19643.7718467806	5976.48689312155	475.554640332042	382.971746955884	286.68198782736	283.303872322522	257.049729961285	210.46609614849	138.324340746624	161.538278053054	135.856696404265	124.023778953554	131.195324716012	88.789381510738	85.6265417070655	79.1772983462721	85.3794768011974	71.5431237176706	61.2179737861359	49.0278950962348	49.7841518509514	42.9857545519784	57.0671720323518	58.4801067994073	43.1806069821527	46.9830107963229	32.810343370899	37.3125787072728	52.0881652932317	33.1105929174394	33.2739280315175	33.6472040566673	32.0699993856809	30.309920401103	32.7341046255398	26.9566337766684	30.8198547876081	30.38653515484	28.6643563849944	27.7182061401115	35.5752305344546	29.2615876589309	30.0151016521014	31.5226295837071	22.1368060920674	24.6718033630944	23.5745758410202	35.3124975861339
246	7847.65192525807	7098.32622429913	4607.03025627927	3068.30779655724	5951.46017004109	20949.498180357	16075.739269256	1141.44349163041	367.732501502374	292.496868394903	265.048778348463	242.126030346978	198.406008351594	185.406414319731	145.686733568634	129.838509502906	127.70223399937	71.0673453333112	90.2280415464662	67.1462110707853	76.8168105611557	80.8260969416482	60.7886368076651	61.1639692683213	60.4378385996958	54.3119098255027	62.2509138700372	57.9148971792446	51.4914315919237	43.2221372599749	35.9452313637537	33.512311692318	39.3862960979867	38.5058367303762	41.5263519245478	34.4836749749616	42.9021601746259	24.5422067655158	28.4435395844331	30.2922779024477	30.0343206147208	30.1661072023946	32.3132842043283	31.0800723381313	36.3518911624262	27.5927162737966	29.2761604754775	25.3563253058875	24.5447250127953	19.7761763412786	24.2322023180455	27.085486829871	32.3274884756827
248	7645.92310829332	6133.13217385008	5793.94301132882	4036.06145122529	2458.68146941127	17822.3520284098	26417.1822836365	5484.04867966222	492.552551176165	404.18675168462	300.812313625523	268.044763419066	195.785186564966	187.765838171064	165.764770888238	116.215676142151	131.122825939934	116.816767100578	67.2573875983856	94.9017050780799	69.38177197697	68.2337820200363	88.4419114537079	57.2405278215263	66.1336864829694	55.1530684673173	52.1446983317576	58.7235008642162	51.4490984626772	47.0087687736755	38.1055574924688	36.3482100180222	47.6465802158633	34.4774635116995	34.3878562568191	28.9305348425846	34.8808964419177	33.9495068881838	30.9130463330966	32.113094235967	31.1975503145267	34.6061501997074	28.5271831235997	35.4864460792995	35.0695681113722	33.7252816970995	28.6873759486413	25.9296683688122	29.3354947009249	21.6602043998816	21.3136754305682	34.1360879044839	38.1696967676408
250	7043.68548436259	7477.77016546477	6397.94834961684	3714.62003675305	2117.440721817	12000.6072171236	33852.3780720034	13510.3158698876	676.397318391217	319.972866911599	282.957784591886	239.037429455035	177.045525398732	192.937010210816	159.173742399133	130.121316090236	132.691888098152	89.9356448708152	63.0684714213472	81.7794157906478	80.3091438389103	61.3395895223182	60.797703941268	69.3303244859107	69.8096475586241	51.561031672516	48.7556557207161	63.5520286872504	49.9025234307954	49.9619620764939	40.4072174874763	39.2063291254283	38.6800713500083	34.4959596718979	33.0847250998249	32.0396043156461	25.510577245582	43.9718506034799	30.3135831282722	29.0515847902058	25.0924340667341	39.6018260537526	29.7430100039421	29.9269853376951	32.0309442060075	25.7951297705254	26.9886906578352	26.4979144518449	29.3241211546143	26.8845943967621	28.5350171575821	24.1144748185991	28.7938447793484
252	6646.88330922155	7483.98737218878	7435.0865456411	5407.22944875265	2590.14490530898	5089.01022170089	33820.0139056101	29904.4459420729	2964.36672523802	364.969089582833	301.493589996932	260.951569608403	198.333982192673	224.42091929179	121.244196254371	141.728443792831	99.5004602363656	115.289206185043	126.162768023966	110.606075757917	104.666677915726	71.6603110117999	70.4959906035194	74.2140408126495	64.1327496395286	64.8505777722696	62.2766619183699	59.5401288146794	56.9640288356203	48.4944135532609	60.1998496682087	46.3321498690641	42.8073318614276	41.1820607986547	36.9482578844456	34.4814208499898	36.0958527449516	34.577876530421	33.4047178108934	35.8472759686902	35.5290659162352	22.6114221980033	35.4793082969837	26.1446808637423	31.3869590975858	28.2450711427202	28.1496761941082	25.3550459164174	30.9593144839637	23.5731850394301	29.0157695661099	43.567361999753	27.06649768459
254	7846.30217262136	5176.40637120618	9516.38870585984	7833.66830192772	2891.69159196686	2099.59548314891	22073.9724621128	46288.2883561134	11751.5104930343	399.306840342026	251.62115026974	264.439866570899	173.845990541967	154.126793079017	145.705035502708	137.786164008773	110.075764005707	102.76984549218	114.50513838125	85.5558660902295	87.7694136584896	61.5312534868607	75.7598355153003	58.1141705034153	67.9436451461653	54.261461218709	57.25660012628	50.6905445323087	43.7033296401363	46.2666163594379	51.344948213083	40.6461930898934	33.8094832159307	37.1557918419175	33.7147454176362	27.0789075174165	36.1105456890283	32.7238234286943	24.7293285033819	38.3020432549841	43.5246884399137	27.6773870937193	31.0548292227853	34.247663152214	32.01165731323	38.6302160534273	21.9439782879478	25.3824094792842	28.3118062148898	22.5997814000109	30.4973668871692	24.7558933107573	28.8197567885179
