Wavelength	220	225	230	235	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
240	7366.66973942064	6627.92975392751	4026.593138216	5255.44546594413	14694.255756029	5582.77268551177	924.97754816956	573.711938560568	480.255050965191	364.654199210752	294.644227137693	243.132640311664	274.82621901465	216.282766330366	199.114158795824	169.991386850961	151.832139674788	107.000984800389	121.874515032097	106.763239316458	102.900216441212	92.2242182776536	84.4038463214795	89.3892484419832	79.0459038705949	49.6155826164501	68.7835398274629	60.4576693723744	50.2860317952332	62.4610073984615	55.6511290692496	51.1793472361939	44.602391706216	52.0593421676668	53.5742707904261	42.9930322976742	45.5573905112616	42.6989115585138	39.9014577725756	44.017718242586	36.286250480244	35.6149940151381	32.8856357342178	31.9222620295827	35.6575581221971	38.7873228305413	38.1931421812934	38.3902280426166	27.6978129285313	30.093587723559	26.4937747917737	37.2605390076335	42.6657382472625
242	7359.02362215007	7007.89360249928	4415.11823362167	4302.5665507594	13974.56063908	12820.4334721718	1669.72374304284	628.235574668633	495.380351646797	453.632034979341	312.571113673301	277.628220864635	196.529455095719	202.141539019632	162.044256086478	184.062616292675	149.439152019033	135.267070061246	116.956262198617	118.265108937227	104.297412962947	94.4827742866327	96.4373530165522	82.7369196561623	90.9897460433137	65.0768070258558	69.3484656508599	67.967551902559	72.2067809953706	60.9822461952846	55.5629970705438	54.5113250385589	54.6479304075133	45.4278039558623	42.7081195595548	45.4661185848611	42.3076499543721	47.7894686407371	33.791896385704	42.7758181702628	35.0575797713453	34.7487421493741	43.8482540581443	33.584159108292	38.9445172216518	33.0716244642791	32.602272313813	34.1516359894218	37.2195619089624	26.3299337021925	23.2707530780939	29.804324492282	39.2003047382628
244	8036.87514907318	6498.39534643036	6196.19480526932	3819.75394789018	10705.6208050566	23172.5328442736	6519.62356110742	647.119698106608	461.523732954963	435.459123976247	377.955943695002	286.914712517342	240.657359611434	191.974400988654	185.690918882629	140.939177365011	154.192873722655	160.30087755046	117.044043061668	90.0947319175772	84.2898404415605	86.230036166909	89.3843448547704	79.324343317183	79.7943134613769	58.4704279163867	79.5221145903145	59.9609131665627	59.6534467465892	56.4008727435246	56.6783907815514	54.1197933754688	54.7007216856101	47.6338633812051	49.1449662687462	39.7961378017172	39.8120454823004	38.0864741813199	36.2317771759853	45.6303833817288	35.9156792728577	38.9624563996586	34.1498630664499	36.4658080156482	36.8829124574002	44.5446116899077	35.9493938674654	28.0210078117237	32.6659923412417	33.8172630026683	27.8061293728985	35.2743796570749	30.1324327498867
246	6965.16091387981	5611.58965029186	6385.10720180965	3981.00813004558	5883.990040726	25869.6538354722	18262.0620667699	1670.20261553118	505.107935472899	461.231840119616	333.103235442396	296.834747766006	240.729078705687	229.857183072127	170.860424678749	185.362572213601	135.641955536953	143.575235900495	131.386541628805	101.573920686721	93.7670308266354	87.6323622395011	94.2983116200867	62.7257686945847	70.9116046893042	69.0951621846488	59.8290440286156	68.4101852280841	62.7547031928448	55.3896498412398	55.1679482019158	54.5233696745421	51.0463122710096	61.4896133612757	47.061152019572	35.6278918940621	41.0191645027034	41.422265241489	45.6450049043328	40.7353579546198	42.4062731675503	35.1805383220329	40.4741343915617	37.2984586646925	30.3077843527632	38.7821750847574	31.0483109144342	32.6287521904274	31.9275208002648	27.8755849170982	27.4442028906033	30.1928813150235	28.9568012680932
248	8297.25715167887	9046.04220377871	6678.02033130551	3234.55390977254	2799.76302196402	21336.3999487014	32066.0062798118	6356.28814097584	636.408872480169	438.713374501187	262.21903484847	280.036872210121	315.622180887367	209.334666660067	168.011762443696	154.005082802443	140.248415985946	132.038223606888	117.974998835013	94.5979689896979	92.3120141800601	84.607360552794	97.0721288773848	84.0513580202386	81.5243195718436	72.7566614682748	61.4981288980645	72.2771250518663	63.247443540135	55.4413124788799	58.1072763976655	59.7466374288101	41.7742917570968	53.0346203644049	39.2767979493262	35.621135088748	46.8267406017376	39.4183500017187	35.8368226583532	34.5284132045139	34.279296257447	36.4247893734122	31.6190449481948	37.6793249174909	35.6917481290326	34.3384585446355	26.9649854434271	29.5227056594847	28.3929581896075	28.5267235634552	31.99044784009	28.9868307541858	32.1363783639656
250	6425.3908417171	7399.99843545638	7761.23523610037	3557.11211992593	2119.89879061966	12526.2525912765	39685.9672273046	15767.5615819585	888.771672636322	420.612604474697	365.78390631658	345.643102208273	279.381646208543	209.257891166017	170.782848699125	156.738871450654	136.82245280464	126.882588826792	111.42008034215	109.401934193845	85.7175216092047	80.0898265469974	83.6707490531924	86.0845078151587	76.0628107174767	66.7751671222057	61.59850925823	63.6527172183441	57.0936604460879	57.4231091185147	60.0436129021652	53.1944206960106	51.9273522872292	53.0704127829021	53.0254278170508	41.4323212615988	38.6043539497106	48.1510106396015	31.7065138835752	42.3694066820575	32.6026061125297	41.0736539676808	38.7716222454538	34.3920755067574	37.6720218151331	43.2874678924225	37.8304120092048	33.4014788819768	32.3134138607553	31.9380462926943	36.2113148236874	30.9766250896343	30.5320199258739
252	7369.53175541893	7646.69639610185	8552.45387221913	5683.15643369033	2630.18669388138	5300.89948133272	38449.2270920879	35625.9253031363	3463.36158141229	431.434733317588	321.534239409149	301.989782020567	248.738997563428	221.260375059819	178.349871490848	149.976414709938	133.194868567758	139.428451095342	119.871027364031	100.68857229469	93.1141203111232	87.6241677798363	92.0671866490069	88.7336788818612	73.4103621119189	64.9802108559262	64.8942872572474	62.0315038391111	62.2074397813794	58.9785727688957	57.1430072154786	54.074554562119	46.8495688724268	53.4558274798473	49.1801408102549	44.6499768457199	39.7788127380996	46.8615305121278	43.6037245182164	36.5868500130516	32.6337941140068	38.0736629962247	33.7353816999398	29.3985054579918	32.8113007346968	29.835390654898	30.7135766006487	32.2119764383256	25.1855007428001	23.8152898620448	31.3521647064966	33.321934306918	34.0250650774368
254	6823.97911873373	6371.1837426734	8148.95251610562	10074.9280339153	3305.20121723884	3129.50173263754	26094.9675061498	54769.5373098861	13645.9949576731	572.991125187799	393.222871967327	323.590391299497	248.585341736167	216.350716670428	184.319414483466	195.931800637174	138.026583786197	142.537029931497	119.020176410008	93.612458426879	94.651268312055	92.8923826055474	88.6788111318462	84.6570169968065	82.7870640658	57.3360288003088	60.3646382660559	63.6353599863113	68.3889702689239	52.8592636340027	48.7983652864006	51.6613612978116	47.8031629839307	52.5636071479566	44.9490356036187	48.2956727917085	49.2655486709838	41.4689411154092	34.1663853709856	40.6879811594177	41.1768341716794	32.6864286473749	45.9846678900305	31.9211104810409	39.7310953681652	34.308697325213	31.0591499322117	31.4760633195787	31.2361234530606	25.0823909379882	31.6755654297401	41.9851950598795	36.4131139678142
