Wavelength	220	225	230	235	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
240	8827.10179744632	9677.78731012546	5494.01587201101	5087.4636378106	12660.9230142161	5414.75067246418	904.317937882536	641.346083215262	548.723786247361	461.33768153769	383.829230559561	323.586378808532	325.842760500618	287.058479265093	219.973139436108	260.165976159445	193.466938742672	192.897712296623	188.301221660264	172.274630153253	163.386090820932	146.836014034148	131.218245617742	132.065520284503	116.296924574428	99.3423459853671	101.311221050764	93.7210760850188	82.9822090166573	83.2322644610998	74.2847964466891	93.3744641069942	70.7055486534424	66.5224231792708	58.6318095470922	67.5987367352371	50.1273155802558	62.4056080745952	49.4648436854321	46.0601551850127	52.6287899431906	47.7684066254846	44.289414746414	36.8868582588339	41.353427870104	40.4221709682784	35.5896498856275	37.2407830873791	31.2785900606628	30.0705670921204	29.0924812016567	37.2824681758727	47.7998738493988
242	7362.40653997531	6745.794662033	6676.80328780564	4557.18953851276	14448.9168631498	13659.903091547	1909.63432717935	673.987062582671	524.021899040537	442.352913596348	398.291565302632	338.257350421695	307.370775543215	249.107255094157	232.152816510587	208.899488972713	211.880865622021	171.882945067053	169.344813779683	156.493746790497	157.006916388624	134.439663740823	117.0170841148	122.787183881267	96.0508981363756	106.347374008702	105.326641415675	93.0405372068175	80.9504633086525	98.7567471548927	66.4121530169352	82.0856161323793	75.2466188357867	64.2773737295751	62.1796604064856	67.5276799260168	60.9295963670485	45.6484400868478	53.9711048084668	52.7119091875825	48.1489847110839	38.5274700711756	43.8466977442375	42.6927455454711	43.037907741328	37.1418618606895	42.2966614779868	39.8920386280616	29.1177716290637	27.2592239062456	30.0539245850744	34.1322289004424	40.6920084277784
244	6700.1552159015	7251.64569210188	5594.2235582481	3925.32991360912	9313.44376288681	21227.7375101197	6095.52399982591	707.49203903833	495.564988273153	487.531054146084	341.950685477778	367.407619989646	299.304508027337	358.220014120614	230.436312991141	211.582457182513	200.709868120846	192.041684771183	167.716489956747	167.359411179365	145.68914332915	141.506414997035	118.503069301686	106.768141312409	105.570650421432	99.3832243985138	96.9674616529698	89.9161702489188	74.7678640214981	90.3163256396044	76.7292509541052	72.0181818288467	80.3999078882367	63.4122137808129	57.7387225148288	51.1804044292664	51.8793470159366	46.9040312886152	47.7468089809061	51.8233264112683	42.8505089445256	38.9597171992109	37.9574971464602	47.2561100416847	38.5280103601116	35.5484995943492	35.5762950611607	36.4601000902426	35.828208915873	31.3434145093132	38.4743123175184	29.4384289608567	34.4636742411017
246	5896.1281884956	7135.91153764448	5690.30034904795	2967.11835614955	5240.55201020237	23750.9707567164	17281.8713696575	1684.64987735169	431.898497991589	394.162242644375	362.773553156682	365.072897557117	315.729112010075	281.916706065399	285.397186968787	227.339831582855	228.274915926702	205.677999455321	155.96295941472	134.717034595708	152.167064685367	144.39753752359	129.973525334274	98.6283840592556	99.8906903979405	99.3860411909419	99.0954031441482	102.172496227117	84.5567275494189	86.7176677913494	74.7710065650239	85.3640024567502	70.2669066722964	69.6854230296268	63.0247849393521	58.538573300517	49.3173500501095	48.9535515567773	50.6779597866053	49.4064333668451	42.7979681664371	49.838313111672	46.3750236165222	34.7994348577602	43.8481008160762	40.8084210115587	35.9720989992106	40.721860042147	34.8055682845811	32.2810198323118	29.4062632757951	32.5840753429833	37.590814896333
248	7501.10963165283	6233.51458354996	5694.75538232546	3710.29909858461	2573.58843115758	18328.8985738139	30984.4506645444	5473.00381422976	631.667790073356	431.511692182101	371.956446171872	372.282229894655	355.866267672344	266.605493138669	227.564765413531	240.330546238866	195.726844638244	168.809932788151	161.583186900983	176.605236661876	138.462380033104	125.504202579515	128.362455290958	122.892748108698	109.363530426685	101.706962125561	92.375638386718	108.807449224663	76.7920843195372	92.2593178699838	80.1152325013618	74.4214223361114	60.6452015055252	74.6752046885662	66.0816530541564	65.9596330489974	56.3349209373258	50.6574044582708	47.8434772995587	43.6457330437537	39.9834426816655	49.8711042593303	41.3570716282146	43.9407272858414	36.8915793106622	40.020156432338	30.6994538769141	36.0504096614187	28.0769248348877	30.0689106172393	32.3126472373535	34.8961863368187	36.3992083054554
250	8034.74987423892	8911.11636384889	7654.51359697724	3981.42519565791	2122.76991521774	12782.737960844	37765.3314928204	14702.1825865862	816.133587432276	446.48462180391	371.341582344072	316.133083600057	366.374201611146	285.656936482316	208.037352372162	215.433947065843	190.096310584941	182.474816879037	166.572068905	178.691827633761	139.952396848852	133.949320678312	131.221127602233	120.70393442751	96.8296126991334	81.5859010223384	99.0886298072327	87.7179272758159	91.9261162395401	85.7805107909606	88.9024085135469	72.5841430978672	63.4009666701234	66.1420721885661	56.099205242932	61.4570224954588	55.176213197456	55.7116784079573	41.9936601074634	46.0815477039732	53.8548055727068	47.7807399287701	50.6318133055174	42.7336399713473	48.7487905542397	43.2324964052842	38.5902573623675	37.9946813647057	34.4313712826964	34.4555743309267	32.3483010853093	30.975364874883	35.2611469536753
252	8569.18110366254	7507.16787032848	6187.67786246148	4822.31728517627	2433.04960822497	5143.52260898295	36015.4165455325	31987.3189103811	3341.1488784739	480.107481688165	401.861219312187	358.041862895259	282.92282848534	283.552314448468	227.643738977978	231.47586705594	205.266108958708	165.892732235716	157.983222809125	144.424667907966	155.3115422263	132.199914718548	126.435937936468	119.531208297938	121.341331387767	89.2991888088852	94.1136092595595	87.7819592244552	93.4170023767493	75.5978529824335	75.6767055655204	62.0695818976316	74.8260964345765	62.9226832442608	55.7078529155824	61.8088779155277	56.8120639737263	57.744698509812	52.6919585553351	44.0846950552525	46.4816761458267	41.8757188676168	43.0123981536839	41.4400042185634	41.3769529747273	36.7306602150051	37.4647116199199	38.3637551682041	34.4676062000011	37.3112401183412	31.6658833711558	30.2506684101955	33.6326004288278
254	8167.66766126487	7004.11576065352	7259.36604044551	4988.35984543229	2631.18310706463	2351.75542140945	25273.6932095182	49679.5656701072	13041.7258475615	550.002335843659	469.625705268356	359.71273891266	331.627509354246	268.252677432208	252.664573894094	220.886272839224	215.502151283994	197.158368613357	157.829524197348	138.124093229233	144.147790068429	129.4410718625	122.701937150071	118.199392563078	104.906657661613	116.397463018074	103.043928153937	94.2188940729565	88.1175096521711	78.717104107715	78.5938631917937	71.1630128436787	77.6201507754045	63.4190402283657	65.9756113172743	58.1844816194298	62.1524903299751	51.5292675377247	51.5420449944098	45.6351379095712	43.2537773862346	46.5371547362816	45.147457807671	52.2652195190184	41.8005930650498	38.3596894021422	35.6023181241706	33.0083741730053	35.1733274429042	31.0002220053624	38.4910508944609	40.7753040890515	31.7235301882624
