Wavelength	220	225	230	235	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
240	4858.37185006224	5191.02791154096	4755.61911288335	4897.65385344286	11300.6836211922	4584.27319320873	625.843724046082	556.072219801604	389.082373556075	382.466835952627	324.15579935128	287.089892688657	223.339850067345	261.316054281817	233.675979491459	169.731830373011	168.095664735572	155.073872906884	129.219231075189	134.689038596074	149.015408875705	102.490551890741	113.280438196052	109.61900972692	115.599354022045	98.1239417222405	68.3826548064745	80.7255997974461	88.4173527453629	76.0535527603396	93.4699385031943	66.4933783588047	57.5130087416947	56.2543267809526	55.9964790519598	52.5098303417958	49.3449444035605	37.9241364385106	36.0314883428916	40.2906189407006	37.4801305810445	35.3405270208024	38.1576830542865	33.1259376119131	36.4523748859498	35.6985677231486	37.8044127022497	23.7304937102542	31.5915706079621	25.5336656376862	21.8975585418528	25.3914789742786	31.839704008317
242	3642.4962863916	6536.89535828997	3861.37521575038	3697.88932758564	13762.4750442142	10136.7113029425	1340.75461893491	393.891273200113	433.024898582196	382.018777871927	269.83290103214	294.505112037815	287.038038527727	245.716612294248	238.019526906228	223.10753444618	190.690632178717	164.627288035128	140.714968059468	151.738681146121	135.546329166189	142.497695726249	128.321921602206	112.725146798166	105.942426304988	83.7749047716651	80.1242176764849	49.21860326466	70.3651509723871	69.9063808726699	94.9026008300442	61.4776505099447	60.2242176459771	45.4279594670917	49.4799962760319	51.2343000752912	46.2471895508564	47.9577241554085	49.687590059902	44.0658565186515	38.7373991082757	40.3686415412311	40.0451614631837	30.0022887747709	29.0136283164667	28.9472576669162	35.5676694981097	33.0080860058233	29.9682214035741	31.6745563498879	21.8679788809396	26.5559756124119	30.0578592047775
244	4857.58280410257	4996.52950766627	7717.16124233918	2247.47368741198	8256.13571411437	18348.7166113397	5505.29773816786	535.098304729914	521.151916173609	381.711758135819	292.487184468401	316.144143680716	275.0493686311	268.969833107203	233.416490974217	171.561212902043	176.806221212883	159.906588183246	163.388550760875	144.07316341481	132.966851837038	116.381661109622	124.08941324275	99.6782048845098	107.948643972456	67.7559503125618	81.1064809131604	65.3436150033113	94.6310718296759	75.9484816483128	91.9187700260167	72.9554528460396	56.1052250403748	53.6149567147642	64.3621898204802	48.1228941549667	51.2622283810866	50.4719424621287	47.13577428895	44.0196197582548	31.3332825584132	45.4949434871882	44.4865598671385	33.1001487211165	31.4837549285285	35.1039314495532	34.4529470785143	26.0035998044124	25.1704969291858	31.6438039800426	20.8926816789979	28.9134035810644	25.9622872853213
246	5056.57916237524	7305.01513267719	6534.17099945215	2728.81780142549	3910.81054339374	22106.2926222603	16305.6921083969	1361.96231300758	426.007034458777	433.336794566661	283.443207425473	301.745015924067	250.89862201458	195.831356800374	233.268084196271	187.698739817868	170.019232408219	156.612382046337	139.218025618955	136.09566391618	142.778979769041	99.1438657334804	116.513770823159	104.548382765775	132.706437570818	82.9314605870277	74.364933439937	74.2278099051596	74.3463283924844	60.0475686554637	98.7000223901607	57.2698151509765	58.947268132336	55.5539546731528	59.1790180050781	38.2617299438093	43.0655951532124	46.7138106273949	47.1674893882194	27.8760064288099	37.4677585427278	41.0757397369437	31.1281397124526	32.4956745586079	33.3636934371026	33.2554155461506	29.893034770991	37.0058357583204	17.1411199212515	23.147645583336	26.2376414696059	33.6823042180516	22.4273384401677
248	4858.14633531154	4612.73225247323	4751.88794431737	2170.63164737598	1632.28282754593	16980.2967014291	28689.1517830393	5393.14743065085	439.987325767615	359.952846020031	296.721985581511	324.132931806959	314.894350479689	209.138375658517	258.526387568783	201.370827479438	188.96100315865	177.138796982551	155.363002252416	133.197206695485	156.320718582465	151.584898729707	111.258662222621	95.5257720889168	102.309112596788	72.2761653450407	85.1582899479844	68.6572223440778	79.0397985865407	62.4180207340717	92.8508366719852	60.7071514427995	65.1373521300223	52.9081339000866	56.6465607160486	52.4623559514895	37.4564311490458	50.5592853777269	56.4872284080937	37.8166815359784	36.8868037801949	33.4424006620256	43.2745181989933	36.2510674868341	29.0367944030155	36.9991843852461	31.0299770845417	31.8397384712444	19.8034223386954	21.3020400051861	23.3602989631789	27.1802122646374	34.193150756249
250	4655.69977663349	4991.90385785323	6527.86839440546	3534.55028894181	1892.68997891005	10546.176671	34667.7938816528	14177.0479732185	784.607034255282	359.698165478099	314.608128325812	246.266415170359	268.758487141224	193.405780029002	236.190692332982	191.254435230989	155.855539689602	148.759996220063	109.079215184099	145.261794232439	131.672868774015	119.793818310458	113.359735168489	98.642350512219	98.4706560022338	85.6033564782012	75.161320621823	73.3543889015176	85.2719593262643	69.9059500077759	103.719514691198	67.9511738448994	56.7823820865312	49.4905736129197	62.3954343949969	49.9922185333113	41.8579091972888	40.4340912913386	34.1468360702527	42.7979036241181	42.421787201893	37.918440315421	42.6362311027542	28.7020041287651	37.0288984751673	27.7089174122433	35.0438232165486	35.8727748791743	31.0415575126879	20.3199506546466	29.1998591276503	36.0081126765752	27.7004982009527
252	6072.246208914	2688.71214609195	6976.30676007189	3291.22151397923	1161.43610629937	4540.67634347727	34348.7717088721	32111.9869146141	3499.94588935942	325.989049098132	296.705099669265	298.202259382548	269.100991394817	261.256869554807	222.247633772883	213.215379355057	189.144212263502	156.70862246221	132.051965878408	142.685219511457	147.58620544958	110.523076702652	111.13963196909	110.583208631558	102.273490679755	110.650365381241	86.941379339353	83.9405676203775	93.0507708419127	66.1195824355513	104.407957147843	69.3856500830604	44.975981098935	52.8381621272721	61.1393600340527	48.7200055857201	54.3653593102951	52.3861019524103	49.6376454302972	39.0324687610855	41.1406102914399	39.7785135774696	36.833845045096	36.875946270488	33.9767787385013	34.4381291631199	31.5965493646022	29.4828387526221	21.4228004712599	25.5075240714416	30.6049230689798	31.8542254827624	22.4096065579209
254	5865.69335107091	5191.35292200327	5346.12845687147	6430.67525509899	2577.15445417549	2064.2731353478	23853.7357483772	48440.4029044398	13276.7785809627	556.579411389174	310.108475947848	353.410112604697	250.659838663655	232.782755898389	253.900131896363	205.359241979434	203.051890484766	167.651421148825	147.790993160493	176.733863972604	119.615631594188	139.036837219809	128.254331592667	108.588937379836	86.1244432836942	81.16471443466	60.7671995070963	71.7455461424673	65.7787045586714	74.4106066318394	88.3114225777499	59.3271366693233	64.4820388036451	52.2282947340396	58.5747128300846	57.4511825185017	40.5468249332893	52.3330971703159	41.6011085070491	32.2459185435515	31.3467331391476	30.9281824466569	36.8713429012241	35.0082168660823	35.2242590281324	25.8820135489054	31.5992248873086	25.4557777398125	28.3915335244348	26.0079800957418	27.68407117215	28.9426778699408	27.7602309739444
