Wavelength	220	225	230	235	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
240	2418.83382906892	2305.36047084043	1799.7503596512	3376.42497973332	10765.6431632922	4774.57202381987	602.235436898495	427.952344673526	414.125323284102	333.551680190232	234.809802207849	181.091112748708	183.917902066282	188.860945161265	207.030208908524	174.430903451853	152.878046332822	167.715188534638	147.979734866585	113.396415802455	104.767300947432	104.602978723543	98.2740694576411	100.445769148142	94.3540554321524	84.505143865423	69.8511189749537	74.0616141231158	61.6028933908669	68.9192650092923	63.0623916551843	72.0719605546112	50.4541220902886	56.1412516592479	46.1170663360981	54.1655635657565	30.4802557874542	30.1808873786141	35.9048838781003	38.2313821748949	35.4510835612073	25.1627446529487	27.2297483646787	30.5191636325763	30.1410567077307	25.1611110551796	30.9598356898754	32.2626423881181	29.9856261898687	21.305588932869	24.0844601655532	21.6715722374722	25.3033045809142
242	3830.74487789968	3077.95421342458	2851.11721166015	2226.61530344765	11419.09771488	12379.3179055813	1503.08961572764	397.894839889479	295.685804540549	333.624192850666	271.118514346492	214.315629209212	251.879771030351	246.451978454007	166.665984504324	205.986623322094	157.940433602186	148.866084645043	113.510306864104	123.968699825729	123.281748789033	113.722706721929	88.6701662535099	110.442302097717	86.8533343701251	77.4932059515413	74.1734602303809	81.2010564994485	76.3761363431354	65.1830638737789	55.7840346006607	62.8507397140221	55.8993874437328	60.8385046511864	45.4247751744882	52.9407562069421	38.606177415201	36.4638680166696	44.5485703366044	41.9996421342384	25.7069130649601	33.9565323864732	32.301993238448	32.9901422624377	25.8346912479309	23.9557448180008	21.9289827680025	28.2601405036635	26.7304073382332	19.8660435020456	19.2603319045586	28.1272330392503	26.4492210706458
244	3425.28180995	3846.30422724664	1952.56912048093	2469.30831921375	7094.63991795789	21094.9131953247	5524.33774275577	417.312660490905	339.689373825962	299.247612691097	275.587285303057	236.356999950829	214.984376412762	188.825081183261	157.851685963341	178.011910747605	106.941541952269	122.12145284269	133.439684677457	123.991984034693	120.742142375539	121.675053241889	91.8556524086848	82.2829269889122	89.8088953196249	86.3215510873307	77.4540054277496	73.9028884584663	53.8419795277015	70.4892992988483	63.8648493618257	59.8908126662102	56.6068362227493	58.7542463597925	53.1768723752835	46.9085190187465	43.5148250826058	45.2956914782606	31.5526820433619	35.8822703476996	28.7949081053894	35.1715195145216	33.5340328454517	33.6355792842447	30.7265343052197	25.8236351815437	25.2916897824173	25.926314336644	24.0485120962034	25.5177439949346	24.0857547980242	29.8790659564533	25.2833311637088
246	3222.54115485831	4232.36792255178	3900.10104296626	1729.63827907467	3042.65292876439	22480.5254878766	15658.2061038283	1272.85342003521	384.633338122736	310.942287047384	302.786025094277	236.610443392535	217.683134921751	181.02507452259	196.051700041194	174.009123636739	150.814364477866	145.543762082144	127.649336829123	108.126081532097	116.990874835305	102.571997799935	123.929088204536	86.3629512803663	93.5529070207892	88.8802383309587	77.4341299384339	54.6808934849208	67.1616523783911	52.2716312947158	50.6620925036358	52.7459623501135	42.8285226310932	56.0565130031859	37.0148668303387	48.6703199079122	34.7830897042575	38.3740674015024	35.2254925698783	35.815200631876	29.9666944875076	34.5142177235541	45.5822455498089	41.1347329244592	28.9111959863822	28.8730201920049	29.795656595968	22.4669404108046	25.6567297047923	22.6854189140153	28.394072320855	19.8975249673728	22.9785395889185
248	4030.7042433899	4231.76462540398	5251.07239819391	1730.73230672548	1851.54616632029	16701.6686850194	27079.5616109206	5726.1176213912	406.708490179903	316.652206818411	316.290613798092	214.311989626734	224.11072313178	251.661386831207	200.485873717732	164.409011195132	138.699292424273	147.140717096021	132.067642847743	101.464028697895	111.02253862535	108.099518400659	112.140358861315	76.3093349796347	83.1040031542202	73.753947033532	76.5161664114053	65.2344643417671	58.4917643855331	63.6660267298522	55.0209689494384	60.6957081498958	44.1411859082975	63.4949608735084	38.3530241797812	44.3149621082837	55.3031587818481	37.0971635080816	38.3230281496151	50.6223057683395	33.0082567408635	30.7879190055134	25.3407223915048	31.7195459082889	35.6804333007702	33.7504500476285	24.1568330643862	31.1400770872463	26.1981239338508	21.2807222081857	30.3431168282945	23.4454843871862	25.8562026974821
250	5036.82606356169	2691.90673143614	4500.36713864537	2387.40732925524	1498.54581258582	11161.5988276675	34489.06881722	13901.4868029906	731.531058950331	282.359651975714	216.515332333676	269.567527661915	267.135032569375	217.426715931075	184.572800427745	184.264911514352	124.602007640851	145.910186693128	133.362649834762	118.76396080143	97.6532255335358	103.476981592318	102.567194618689	79.2304033298973	75.4993168833891	80.0124879189079	63.1755222387879	77.9814574323011	75.5998399879186	71.2717390307142	58.0042133666251	55.6274031129803	52.48457020736	50.7587513546457	49.9709027081078	41.2273073216719	38.6211668056542	34.6240807212329	38.3773890800831	38.8867387196088	40.3587025426683	30.8312472413895	33.5090462921629	30.5510845629372	26.4174609044888	21.4929041025911	29.7985222114485	34.0142641177146	28.9083171946445	20.3512060358574	31.8228036094286	34.5856445369724	15.8706535009785
252	3423.04081319281	3846.01796517324	3756.04327637111	3293.29499831967	1631.48740882908	4457.48131073599	31326.5136650987	31120.0173964163	3216.18299684096	350.607358800434	311.54450500618	251.33462480013	230.017274179357	209.711089144057	164.444490705858	191.895866582046	147.332407941287	132.970103798846	140.561126510652	97.6161878719009	94.9855113118554	111.381944450679	87.5804038680686	82.2482572126478	62.3477621501838	77.4048958459645	64.0501484817159	73.122032248467	66.2838108315325	60.6295025523729	60.8586546662713	52.7480756988614	44.2076246555331	58.1131818719019	48.6884314454046	52.3900377108482	38.5661989325606	41.524133578443	38.934477750094	40.1775768185274	30.6556716547788	34.5586517659851	32.2756977073612	34.8662582987859	27.0596731637942	31.301964692928	28.1457289448384	32.2386904527273	28.3345365471688	26.9347299357867	22.1413415819393	25.767254664105	21.7766102643491
254	3424.58245699477	3463.43210994818	4059.50910742319	4860.44310304735	2117.00734648504	2014.97613551799	22295.3190433231	47658.3346483817	12585.0114524781	464.033662165512	284.534672879516	206.971048380278	187.350022769474	233.465601467985	207.491236938563	189.948437436608	141.955602334723	153.513336412393	130.593232006746	83.0409514229196	101.227483701028	128.561433814181	105.664460872208	93.4271370338869	69.9399409123181	83.6102404875889	77.3563411722913	63.4622113631248	71.8706371102014	52.3173528668922	58.683708081408	50.6551119487482	40.0444761845474	54.0254404739314	35.7024792890323	36.9646732936672	44.7543923767023	36.4795944372305	37.7044329400551	39.5542334469077	26.9277286230937	25.1198534935121	31.0367908782937	32.3632026543828	28.9182736769072	38.653259181345	26.9801768410471	27.0780595547256	25.1003123659742	22.2009918546812	25.9768870979241	29.317681295123	28.8339003523797
