Wavelength	220	225	230	235	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
240	6443.9050070801	6524.668234068	5231.17391652062	6190.00726629666	16120.0518807671	6991.87982411647	794.884640813532	679.637256045094	449.169099135938	343.215572001153	261.240051407188	272.442555734156	238.919177349769	183.117999255101	193.355182520757	155.92477555575	169.599973707604	146.974271130385	117.60601906829	93.6203244364562	95.0978752666867	100.08139008729	114.235665323125	67.246821369391	88.7350048797187	73.7767943825678	72.305699129114	68.2895196806074	79.5447513539253	85.6571866623109	57.2435643071857	57.7176628380327	55.2067615982413	73.670475597317	36.3938309428458	47.4135284117405	39.244226559019	48.4363856676979	37.1110967601103	40.8226233390213	56.961257634433	44.6426977925023	41.7821328928213	46.1061591920559	38.7404245740689	33.1468346835547	38.852278860352	35.7423709254047	31.0014650251517	27.8464855670591	34.2903702970521	39.9505630572158	47.6215290689679
242	8047.7260015866	7868.32881793564	6565.97202441556	4236.51436136441	16514.5004958301	15020.8262677178	2155.92876175119	547.258134392525	544.506278116348	359.963507210101	296.638397537598	327.646692116513	238.486068855145	251.210663264651	202.340267145845	106.635018553657	131.318041627769	116.859560194338	113.26141679982	113.373095952035	119.488424790568	100.088998845104	88.5427867002435	96.4114395044822	85.1211547605954	94.3200032282852	80.7691161763662	90.0860885621267	65.5203781853442	71.9828744618977	52.108731182982	60.5914408405986	64.9273632612402	58.1410496466577	55.7880372925985	46.1801797384002	39.8325602656752	47.2211141618157	47.640772249877	37.6791905537987	44.1252573851531	52.7925023262747	51.2295760447504	42.3062884502165	30.7351899728193	40.4740635792536	36.0122733997187	30.5492613623866	35.8107836402585	26.431134838612	28.9499912369266	27.6137627743025	42.9086080925785
244	9465.09259357856	9032.05404085696	7013.31887230612	3099.71397549242	12034.8491339922	25278.7863816009	7765.43723564516	698.7955271124	508.139528421813	432.938162003146	337.449461263916	265.136641023432	272.392017634095	225.147103327424	195.379836996296	203.269235991034	180.28158217306	154.747393614535	116.100563675738	111.919931547303	107.152007240339	104.629365541796	96.0905836547229	79.30692758267	92.5587983670908	85.4118316937035	73.2157159531735	68.387738713427	56.1318012730483	72.802185828531	64.5375181344361	66.3218640535957	60.8654906593183	52.0583696677622	52.5237252341524	51.7527653601221	47.3369183292079	51.653264063541	43.3374386164039	35.2723784882675	40.4059070393453	38.3527782301014	43.6504313343635	49.1727438931455	28.3035043375328	32.500290257945	44.465612362997	25.3348276704036	36.8674883733939	33.9746745499428	26.0859232023508	41.1608391601798	31.7710495288199
246	8652.04145297744	9417.20344249063	5671.06506989943	3421.6949482299	6236.26124148753	27814.5875508762	20442.2610901569	1841.80790921836	515.512126808816	354.76426228068	396.899238011286	309.630376064531	205.234071844387	185.752295837837	159.458192439793	155.941184011044	139.950045523339	104.463590617884	136.238514207	115.937192542032	143.758383583028	113.850790437167	95.0204508490832	96.230487274791	87.832505399497	79.9797010724267	70.6592108342523	69.929238457334	63.1738696844551	74.3211288657567	73.366949452517	51.3417863236279	55.8921839644535	59.4887180283632	54.5398001882179	57.9314052075162	46.7377388638536	42.1692167085183	34.0610804689335	50.1146029531451	37.3872073664543	39.5988119325224	43.0387585600873	42.9149995002123	34.4496026655303	28.2802677239358	37.1479702582878	35.1591019559162	26.1844469856416	30.2547668699228	31.9105103442068	31.7382146149154	33.5600163735903
248	6639.12159837461	7678.29785417689	7022.63351452275	3501.26732766463	2961.57222820516	23369.7447071581	37142.6485490145	6942.85355746158	581.605811900412	371.271326505611	346.457454445929	268.803979312055	266.054159922283	227.436367628869	193.460090738758	177.702232403207	154.110001327817	159.764530767281	123.236218404875	114.814207349435	130.444069382309	105.740182046279	88.634165951451	73.2211911261911	87.8885553467016	80.0706936084164	75.712828532438	80.3845352178922	69.4349768450738	67.4227591898829	68.3611884039573	60.635511594707	60.1016789255098	60.1816525045875	47.3844939750865	50.5185596723483	60.3483686953889	47.1959419360644	38.9705079662154	45.7282347621985	48.428326756113	48.9728270767761	41.1576995717171	43.5176642120155	36.8890767943323	39.2968922538847	28.1154022179576	28.2866019942827	25.1296745834559	33.5569912323294	25.1165014291422	31.7032707531111	40.5645830747574
250	6042.25990694978	8444.55047314034	6871.01625155971	5138.31017451727	2003.12096474612	14863.5390432926	44596.3962485568	17710.4727850618	831.796398998934	427.291000754437	427.444885161879	243.050319814739	247.892092078828	190.74217684879	161.767327825387	187.600555197308	138.371252305363	146.971083300503	114.701209511481	101.585338417897	107.086456038895	89.8503030637409	88.5584499353633	79.3310303910033	90.6733106954867	67.5665078250362	70.7116289511566	69.1478615619287	65.4841593983524	66.754884142445	63.8672907174362	47.777569269036	55.948940608669	56.775262749322	55.8009304778269	41.8560855671303	59.7773405776604	49.709871576904	47.0651642751945	43.2980321847161	35.4914282717202	45.3057152452276	36.7387878577926	44.1689289363015	44.862226942469	41.0954614804231	37.1224194910109	39.1637524511665	43.7795246264619	28.7838552670965	29.92932856512	34.0905576645359	32.9176152048806
252	9062.44587943511	6721.51217626903	8652.58527040749	4808.94624027526	2487.45244209413	6291.981930354	44229.6386159562	39253.1213996956	3928.00493315153	466.766663326505	413.94832149668	350.043036363433	263.296206917465	243.189661754028	172.989418921221	149.99609071698	134.691496006933	137.633783819677	143.268303390507	114.695164379823	113.266675923554	100.08358905983	75.7820051014826	90.2710043872448	84.9645801988142	86.1969093484629	100.097257007865	71.5205595816509	61.6203948973388	60.6878344393862	71.9248746621028	58.5077158222744	51.7867106632632	51.3192918266407	51.2979354257446	55.471452545532	51.0711488641172	39.0207530229779	37.7506612173625	39.6201962235022	52.0741814886938	42.1523980716449	37.9517899948847	36.1027113021447	41.8108716013258	41.7285647877229	34.8980347526034	36.8815489770991	33.1360375228658	31.6085701114137	33.8036499754078	39.9729789011061	40.5667717063993
254	7857.45401869253	8076.53304482449	10146.9746650707	8551.25652584011	3266.39550255607	2499.31367801041	31273.1886325784	61917.0986375975	15259.1729144014	669.805799183075	395.97730017612	335.384193110638	269.335238728532	222.277403135406	184.332557617091	150.017426562601	153.872541025486	120.162503002539	153.373055278551	122.512209884963	99.9400766973643	106.783201665848	87.5341859732853	81.326840492366	91.6735814144168	64.8826613835367	82.3941579368272	63.4535316040747	61.6201364687492	63.6002477911882	64.574217658213	44.1847163789497	42.1325539249743	52.6927636425783	39.6346588266723	53.0962572220506	51.6753243876496	46.5458290474238	42.0751612959931	48.1963637913643	39.8219354342673	44.590094105994	39.8426706917111	44.1519190075619	44.2908939956699	36.2023183787569	35.9848688661993	39.7877781712314	34.7700150465828	30.6929106627204	36.2865330041058	42.2812983093752	28.8510285503572
