Wavelength	220	225	230	235	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
240	9875.33524473644	11517.4950647439	5964.79213242151	13126.7946874213	47140.6301439052	18574.2421733016	1214.25125788441	972.467145235859	846.465591895561	771.928653850965	755.539009007238	647.253195403203	624.139376272433	520.235116693008	429.43900553917	449.891802085463	398.90590379904	379.319733357711	402.2695215949	380.994238647757	360.374189963301	319.236880348832	352.588336742997	328.554851462936	285.328725188304	311.862269705403	344.583373282074	244.943422237426	222.815339959301	250.316804528763	227.377491098708	249.566166431941	206.695105823095	191.88980181308	180.289593987987	161.348421704288	164.163014985181	139.56540245378	128.141058776976	129.847635909899	115.698330742499	99.264047429309	97.4271833803731	113.995088088966	99.1830693899223	90.8623753334056	88.2228990703399	92.1126486928799	86.0010247492222	72.7193611932945	66.7279279383937	73.3461687500988	101.740998540829
242	8861.01615799195	10937.3457031432	6428.0216072175	8714.74359035511	46978.459035589	45279.3289143812	5543.4094247099	1237.00497262068	862.056489578971	849.122027504307	800.548720082404	600.145633445879	577.821937110025	614.030591782501	458.588144971331	433.792699533256	365.738159099401	393.265361302402	377.776555478316	405.982407780507	322.765438482158	361.801679690207	315.016906611553	328.960245195063	306.772859216286	323.260963725052	313.067925953613	254.234418058399	268.455132656112	245.532807390868	227.13035747308	214.723198284903	206.353831775799	179.611823318217	194.411344949821	162.549889451986	155.640690040222	146.715276024079	136.880060440504	116.718188283917	117.501059811362	109.976708909565	110.830353292395	97.9683444254894	105.790778913493	98.7672929958551	83.7000190320222	66.8462607807748	75.4205769653477	66.5939711667346	76.3668725761685	58.1671276218291	97.1119962478983
244	7051.63507311426	8061.90233848637	6573.55160959358	4968.55488187638	37030.7818977145	79487.9464317624	24008.9212363226	1278.3558262499	794.086956690783	866.067954756949	684.978711792427	574.338398132561	595.887128058661	538.430744291463	469.582829458982	455.985304869318	414.848065328068	407.484084259912	373.054014604318	374.285525029121	384.699653615551	348.346089987041	345.608410940792	320.899343752786	329.347561619378	292.596347814788	327.436521141934	241.917746954821	236.166238480973	221.743181966485	234.503082337584	214.511787496732	208.354914910218	214.025631280737	189.435330438046	172.592207387344	144.583363407922	148.54724956745	128.619115754789	134.609240233868	113.223662392558	117.079587955787	109.603828636078	95.3634451360205	89.1409703143857	88.2821262485695	76.4650756965274	80.2189381653005	81.6789113133501	72.1589940005633	68.5887025114386	68.8082771945024	73.4800609392101
246	9064.65591827322	7875.25227884729	8351.35296448447	4560.79680976691	15861.7836727754	91741.6729696112	70214.068959215	5082.02637273445	1051.52676247742	905.674046349655	652.747382066135	643.618637271303	697.99858426258	564.725786655878	465.577986292943	455.673135820224	433.932020283423	392.356744185082	389.994232194802	371.606076290771	368.693036181605	326.171031624657	304.812887182044	329.053886905752	318.432773933586	298.262323641485	298.430654892988	215.284637348259	235.183228403971	252.666234428246	242.600885296289	225.565207890959	193.321674512466	215.030133451054	191.657047318961	166.475329839707	161.144000428077	126.373380308372	148.977190674014	117.419658397376	128.735638119905	103.167991512741	120.877946200045	118.314575159884	92.7649281248955	91.4739227217159	90.6505844130434	78.3827764390998	83.2858346742599	76.8185877791657	70.5977031755294	57.5747485853197	54.6475363920153
248	9864.62024274351	10178.0639872121	7159.51091765038	6432.04182200767	4891.20109803726	73624.8901087514	126202.257791722	20616.679389521	1250.20879196471	732.255068193146	683.232021528638	706.917593802359	675.830609964069	590.260722526648	489.587198770722	473.389928695107	412.886460607611	376.358292820619	395.131519406554	342.847355125542	360.817879284375	324.86169849495	305.124511645309	294.457893589502	278.902046765821	272.835273654736	326.93010696258	215.922821869198	242.846440435568	246.057632392129	202.469087982371	208.472466667429	195.065824694707	189.542595849154	184.893000710894	181.038482891626	134.367474137931	141.975466621429	125.638290569762	121.329538820407	109.614170176212	101.77464804866	103.744748823064	105.158046828523	100.301202613291	104.446956579166	87.1321171368309	65.6731415117783	73.1186682217711	75.0014939944844	63.8749420150906	68.0733551361425	73.4709477304836
250	10469.3934666172	9595.05846335724	8208.3505541792	5539.10526744407	3008.0795771628	45936.7374701531	156130.855580654	57731.7954623671	2240.04676119952	844.093451958998	755.754830111277	545.267882544454	566.157755498699	590.727203406316	536.677686171827	469.85929736029	400.908199545473	383.999486919602	365.33590258311	316.291952835521	311.942202831983	322.730829683317	311.969605105972	335.142973596376	288.066399114326	285.095415628637	322.794080315444	226.671607253881	247.926155784462	227.476836479199	228.03092739928	210.286773389301	195.493930930954	194.570931229666	210.735612143495	168.00540542908	144.346598730394	164.140470714829	115.27223925241	126.060564763256	110.790721703839	109.308561916416	117.749163756061	119.610711825958	104.748117702836	90.7830756889039	89.8905713193747	80.5796092262486	79.1108035937571	84.5751754471995	72.4778134395891	67.5277371058446	66.5391470778422
252	9061.05211331241	10554.3772854905	10011.0360973354	6763.98082191495	3270.78838061213	17404.0409233911	150170.707890821	127118.34715557	12798.7754741039	871.779561739713	774.013841501753	746.577779123726	642.243606151649	575.437311536738	512.869494306693	447.810309644864	399.147036493514	410.390764311817	374.080396000028	347.492201138106	320.346174391932	340.32829359482	344.507686430052	279.882913120652	264.221623574182	256.774596761855	333.349767012748	239.620533345602	233.886729043071	218.177224512363	219.271075120279	199.788053509219	202.926300222841	203.164068751517	188.707766317365	179.225037015901	177.025399045821	162.540619097978	130.568342796958	104.380021516299	119.350544983761	109.418775187354	104.678626188064	101.618876465808	94.7037227927432	82.8246955632645	81.5101897604501	83.6014249529896	80.1697707049027	70.3072764090295	59.845517154188	72.3635280109055	55.3165214460184
254	9874.22448837756	8257.48895889002	8950.1627744195	9773.04229460587	3881.94405185444	5248.59811690023	102671.369454791	203597.397021228	52282.2172046745	1163.5177353398	823.933915731191	724.754025688743	709.096501457477	580.059514458903	509.699481530167	461.336447186792	433.801271374596	423.591465349654	411.970321507621	354.384409254509	348.755601794987	279.808712421591	335.901945735433	291.894502210747	299.239170937348	283.866156149079	301.210638558879	245.737731561007	220.403897729614	270.523949406239	221.624203446089	193.275287159828	182.111337144055	179.061098756786	176.613087757842	159.088238084987	166.264045119372	143.469345812608	136.082979508435	104.925275653052	108.451704510336	121.523378810923	110.152766021697	109.532798204357	90.3436498223763	93.2329309668168	86.6951464299392	87.6531528067842	91.8278322903773	68.3822065852571	69.5163326116558	78.1403705971637	59.3674579130786
