Wavelength	220	225	230	235	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480
nm	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps	CPS / MicroAmps
240	12697.0302773308	12528.3103959105	9623.86303561938	9699.07781515608	12940.900275013	5842.7061861338	998.988748747287	633.192337309494	578.596465153137	395.244561308656	370.949480657104	299.697335319591	276.263810464188	275.549350828021	214.030406317247	196.041115906191	178.796880317292	177.22861035362	146.623328452747	134.467705828937	138.932803774003	125.386797049157	118.559255280004	121.675022690264	87.7311130011438	60.9713288994686	74.5967000567627	64.7177984998726	70.6942146296093	61.8584735511279	68.1311504151942	74.0122984604047	77.9366022660031	64.7441489913318	74.0105531399769	64.5108753194778	64.5332722550899	63.9629833447794	50.4495051825846	54.2126253240998	38.2504296872935	55.0529286705043	52.2079720825967	60.1133776654021	47.7336640202493	51.8837450953519	40.7052714868294	47.4802114674379	41.8074057364257	34.5634979899313	38.3997721476968	52.6195340912653	51.396769469519
242	11272.9867668514	11347.0033792048	9014.62175959755	6851.23268118766	16160.676955197	11307.1458632582	2350.82199143635	921.963587963742	525.708438585482	504.786496160071	333.956928140836	261.920177846299	223.457366992199	294.387646587717	227.996174214976	219.622804189984	155.675774620296	158.390998978953	173.987014565171	113.099744769617	126.781528898752	121.796940784782	96.8602783621738	92.2754928927818	111.692108910064	88.7551266881466	80.4509068000967	77.7550008887213	73.8020884518076	77.0413115987547	84.285107578635	63.9292661672491	60.5211272629711	58.700022286556	56.2655348577951	58.2873118088277	54.4581504878257	41.8082850345155	48.0377497598108	52.3252624172609	42.4969707198171	41.099633194549	64.9864718043232	55.8474275997268	46.4115716389776	51.8439662228911	49.7256669556749	58.5162041207554	46.7215240568076	40.71992205991	34.4658788102418	51.4009665622131	53.1434401682751
244	16602.2796650659	12332.8358022367	9637.88607299574	5104.17906095708	10704.9041357756	19637.4959082994	5956.72128046434	984.754635706036	533.837021707361	458.846564667491	443.346368414887	347.788220361834	248.400444241249	223.020717316756	275.429350041746	211.703344707956	170.02532916588	156.873387755079	172.454514663167	126.445424970386	126.935816812727	94.1668585816891	113.185284521455	102.238649476423	101.936319948617	92.3297652712394	68.652909430422	69.6824810368474	71.4265068335787	64.0610868943406	57.6423069606544	63.9779224537302	63.4101312901419	55.9147389702738	48.4059187672185	63.1878742380234	53.2542980774969	55.8401142022202	43.6121937757795	49.783287404228	52.353765294154	56.9516050676386	62.5369357890166	51.3619322408236	50.7304518624642	43.8197666989508	53.1966444294724	41.7892031868088	43.9852620492043	37.8325614016425	41.2434380415908	49.5787792650306	47.9100087117491
246	10863.8575769306	12730.6767121896	10397.9944441332	5192.42546505377	5829.83113333403	23523.621807991	16972.0064723791	1772.53750072587	564.338997554371	481.186213564275	415.867905314639	292.003264750395	233.202390210829	238.640797988942	232.096822731417	229.607764804049	195.066325466575	145.40912718093	139.071030906333	121.349344988561	130.429525942244	106.745335695794	98.0114115674938	100.40043276897	93.351725495005	91.5072715335357	77.2482321174046	84.1755880918151	74.4677868144919	69.3387827282114	67.2572486447275	57.5864139903243	71.7377730762567	67.4371516323376	50.9813499220224	50.2725647828476	68.4025356881294	51.3226078116247	51.0786685392969	50.9934749803016	43.1456884004749	52.599128448644	49.7199878597513	46.3405562472076	42.6676470440211	51.9014162165283	42.4934957372695	41.1382544895068	44.4719673277146	40.6572776859194	40.7590749988422	47.2611989100855	34.3218380654876
248	13527.7977760937	12127.293762344	12378.8140308696	6192.37207007772	3938.49245521126	18520.578215797	27314.2203144704	5076.46532991625	646.0410181239	446.753421587331	379.678048488728	412.547988541455	248.676309069398	257.168239049823	234.297089566698	195.983679764365	182.438357986416	159.770438732042	139.177630010947	129.218967480129	120.552629552312	103.386709809435	113.076978224372	76.0067251652079	97.2705542133468	95.1615219447103	66.1375328891131	88.9416472353564	80.0417638970772	74.7663681278159	80.6661587187902	62.5864332806783	66.7976673267859	66.0351692887047	69.3576656620185	52.7884966170326	47.6512068775398	53.2078386993747	57.2485108001322	48.5181910960069	46.296097382334	55.729477617725	49.0459468764605	46.3057914601786	53.2509750603207	43.2715549768247	41.8366875601853	45.7404238959408	33.7389592075876	39.7159013704475	41.297486901374	43.7822166543101	44.8833030463202
250	11683.8523808891	14486.8788984728	10550.0776085508	5768.59654403026	3356.91971673528	11743.9088681756	34817.8576400399	13690.4134309969	879.230482364206	492.868588617084	366.635991517166	329.419892203315	332.277422591594	275.765533765416	202.655675290217	191.888048018867	168.212372015014	127.837991676632	156.723665852747	99.860324649213	114.41435797792	117.311822657331	105.567023278023	107.348610686526	71.5102013944627	84.255143666033	86.4694171172459	80.9311345135605	86.4279151830727	72.5529090378046	54.0114239898153	59.660593364745	73.7247948802428	55.8686780389514	47.8290003555103	55.7924811398994	48.2372045438869	53.1820774321851	54.18775524895	43.0019859786624	44.4045449569441	46.8290328765559	58.5610969009075	46.9840782460955	53.2873874245492	54.9508265400322	52.5739862176283	38.2171492579235	45.5756489717504	48.3087857252325	42.2688773111832	46.6855277979896	50.1907836482009
252	12719.3843362829	9396.40273314403	12846.4079968739	8191.59450505934	3358.21772450631	6151.41911743345	32071.0159497324	28569.9741735747	3170.04597355043	499.25914079547	484.828943545511	381.571579748981	335.132610062119	225.645101794517	209.661909878351	219.723551077802	191.079213506155	152.111249392728	144.857305806331	126.405746166546	128.136656193361	103.337171502934	95.9076824261853	106.452260744859	91.5042713623186	96.7725058293425	85.5770920417726	76.2046214837596	75.3215745257689	64.0484259362587	49.5279737095186	60.3401701311894	66.8302043772756	60.7296055621096	60.8059193853438	52.6835951117481	48.2004808313213	60.8477698001984	45.5534292001165	49.1553510285882	59.1645402534408	55.669604591846	49.0776867172081	43.8931773119222	55.6794651290478	49.9639320848448	46.3680954971187	40.6012988649438	38.1173701212329	35.4953961546236	49.5057618800691	41.9448214445042	46.0973826218305
254	11682.2093835095	12133.5865257891	11165.0234071248	7695.15372177904	4169.84210181934	3234.49552340977	22542.102471566	45931.6785867136	11264.4887739307	538.919963467056	429.734849490931	366.466893736847	273.413948886297	276.017219942947	254.872248182021	193.625431273654	186.015863303208	163.209364048229	162.206531236998	137.183243115881	94.8509482443734	102.173422899984	94.8168528767203	94.3223044311288	91.5964087004566	75.3094256776425	77.2041999835462	65.6135418848781	97.2833129345989	72.3903655687896	64.2850126304947	71.1677018011567	53.0045655540428	60.6211368393584	56.8792726829813	70.658331336111	62.6918171077549	56.4565743580762	55.4432994143882	53.4930898588431	49.2730079084416	50.0313456548545	56.7807278942017	51.3281065307658	53.8386092413624	50.6208185539541	41.9138976273797	53.3395595609749	36.9859483792234	36.4188309856541	48.0136695886577	47.2453607637801	53.2744139148588
